date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ALBANY,ulp_91,90.5,93.1,96.8,90.5,17
2002-01-02,ALBANY,ulp_91,90.5,93.1,96.8,90.5,17
2002-01-03,ALBANY,ulp_91,90.5,93.1,96.8,90.5,17
2002-01-04,ALBANY,ulp_91,90.5,93.1,96.8,90.5,17
2002-01-05,ALBANY,ulp_91,89.8,93.1,96.8,89.8,17
2002-01-06,ALBANY,ulp_91,89.8,93.1,96.8,89.8,17
2002-01-07,ALBANY,ulp_91,89.8,93.0,96.8,89.8,17
2002-01-08,ALBANY,ulp_91,89.8,92.9,95.9,89.8,17
2002-01-09,ALBANY,ulp_91,89.8,92.9,95.9,89.8,17
2002-01-10,ALBANY,ulp_91,89.8,92.9,95.9,89.8,17
2002-01-11,ALBANY,ulp_91,89.5,92.6,95.9,89.5,17
2002-01-12,ALBANY,ulp_91,89.5,92.3,95.9,89.5,17
2002-01-13,ALBANY,ulp_91,89.5,92.3,95.9,89.5,17
2002-01-14,ALBANY,ulp_91,89.5,92.3,95.9,89.5,17
2002-01-15,ALBANY,ulp_91,89.5,92.2,95.9,89.5,17
2002-01-16,ALBANY,ulp_91,89.5,92.2,95.9,89.5,17
2002-01-17,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-18,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-19,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-20,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-21,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-22,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-23,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-24,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-25,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-26,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-27,ALBANY,ulp_91,89.5,92.1,95.6,89.5,17
2002-01-28,ALBANY,ulp_91,89.5,92.1,95.9,89.5,17
2002-01-29,ALBANY,ulp_91,89.5,92.1,95.9,89.5,17
2002-01-30,ALBANY,ulp_91,89.5,92.1,95.9,89.5,17
2002-01-31,ALBANY,ulp_91,89.5,92.1,95.9,89.5,17
2002-02-01,ALBANY,ulp_91,89.5,92.3,95.9,89.5,17
2002-02-02,ALBANY,ulp_91,89.5,92.3,95.9,89.5,17
2002-02-03,ALBANY,ulp_91,89.5,92.3,95.9,89.5,17
2002-02-04,ALBANY,ulp_91,89.5,92.3,95.9,89.5,17
2002-02-05,ALBANY,ulp_91,89.5,92.4,95.9,89.5,17
2002-02-06,ALBANY,ulp_91,89.5,92.5,95.9,89.5,17
2002-02-07,ALBANY,ulp_91,89.8,92.9,95.9,89.8,17
2002-02-08,ALBANY,ulp_91,89.8,93.1,95.9,89.8,17
2002-02-09,ALBANY,ulp_91,90.8,93.2,96.9,90.8,17
2002-02-10,ALBANY,ulp_91,90.8,93.3,96.9,90.8,17
2002-02-11,ALBANY,ulp_91,90.8,93.3,96.9,90.8,17
2002-02-12,ALBANY,ulp_91,90.8,93.3,96.9,90.8,17
2002-02-13,ALBANY,ulp_91,90.8,93.4,96.9,90.8,17
2002-02-14,ALBANY,ulp_91,90.9,93.5,97.9,90.9,17
2002-02-15,ALBANY,ulp_91,90.9,94.2,97.9,90.9,17
2002-02-16,ALBANY,ulp_91,90.9,94.3,97.9,90.9,17
2002-02-17,ALBANY,ulp_91,90.9,94.3,97.9,90.9,17
2002-02-18,ALBANY,ulp_91,90.9,94.3,97.9,90.9,17
2002-02-19,ALBANY,ulp_91,90.9,94.4,98.9,90.9,17
2002-02-20,ALBANY,ulp_91,91.9,94.8,98.9,91.9,17
2002-02-21,ALBANY,ulp_91,91.9,95.5,98.9,91.9,17
2002-02-22,ALBANY,ulp_91,92.9,95.8,98.9,92.9,17
2002-02-23,ALBANY,ulp_91,92.9,95.8,98.9,92.9,17
