date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-02,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-03,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-04,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-05,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-06,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-07,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-08,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-09,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-10,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-11,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-12,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-13,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-14,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-15,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-16,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-17,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-18,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-19,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-20,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-21,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-22,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-23,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-24,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-25,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-26,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-27,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-28,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-29,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-30,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-01-31,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-02-01,ALFRED COVE,diesel,87.9,87.9,87.9,87.9,1
2002-02-02,ALFRED COVE,diesel,86.9,86.9,86.9,86.9,1
2002-02-03,ALFRED COVE,diesel,86.9,86.9,86.9,86.9,1
2002-02-04,ALFRED COVE,diesel,86.9,86.9,86.9,86.9,1
2002-02-05,ALFRED COVE,diesel,86.9,86.9,86.9,86.9,1
2002-02-06,ALFRED COVE,diesel,86.9,86.9,86.9,86.9,1
2002-02-07,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-08,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-09,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-10,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-11,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-12,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-13,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-14,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-15,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-16,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-17,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-18,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-19,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-20,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-21,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-22,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-23,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-24,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-25,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-26,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-27,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2002-02-28,ALFRED COVE,diesel,85.9,85.9,85.9,85.9,1
2003-01-01,ALFRED COVE,diesel,98.9,98.9,98.9,98.9,1
