date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2025-01-01,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-02,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-03,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-04,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-05,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-06,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-07,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-08,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-09,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-10,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-11,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-12,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-13,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-14,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-15,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-16,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-17,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-18,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-19,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-20,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-21,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-22,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-23,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-24,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-25,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-26,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-27,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-28,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-29,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-30,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2025-01-31,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-01,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-02,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-03,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-04,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-05,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-06,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-07,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-08,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-09,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-10,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-11,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-12,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-13,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-14,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-15,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-16,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-17,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-18,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-19,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-20,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-21,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-22,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-23,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-24,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-25,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-26,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-27,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-28,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-29,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-30,ANKETELL,e85,279.9,279.9,279.9,279.9,1
2026-01-31,ANKETELL,e85,279.9,279.9,279.9,279.9,1
