date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,APPLECROSS,premium_95,88.5,88.5,88.5,88.5,1
2002-01-02,APPLECROSS,premium_95,87.3,87.3,87.3,87.3,1
2002-01-03,APPLECROSS,premium_95,86.7,86.7,86.7,86.7,1
2002-01-04,APPLECROSS,premium_95,82.7,82.7,82.7,82.7,1
2002-01-05,APPLECROSS,premium_95,81.5,81.5,81.5,81.5,1
2002-01-06,APPLECROSS,premium_95,81.5,81.5,81.5,81.5,1
2002-01-07,APPLECROSS,premium_95,80.5,80.5,80.5,80.5,1
2002-01-08,APPLECROSS,premium_95,92.9,92.9,92.9,92.9,1
2002-01-09,APPLECROSS,premium_95,92.4,92.4,92.4,92.4,1
2002-01-10,APPLECROSS,premium_95,90.9,90.9,90.9,90.9,1
2002-01-11,APPLECROSS,premium_95,90.2,90.2,90.2,90.2,1
2002-01-12,APPLECROSS,premium_95,88.7,88.7,88.7,88.7,1
2002-01-13,APPLECROSS,premium_95,87.3,87.3,87.3,87.3,1
2002-01-14,APPLECROSS,premium_95,86.3,86.3,86.3,86.3,1
2002-01-15,APPLECROSS,premium_95,84.7,84.7,84.7,84.7,1
2002-01-16,APPLECROSS,premium_95,83.8,83.8,83.8,83.8,1
2002-01-17,APPLECROSS,premium_95,90.5,90.5,90.5,90.5,1
2002-01-18,APPLECROSS,premium_95,87.9,87.9,87.9,87.9,1
2002-01-19,APPLECROSS,premium_95,86.9,86.9,86.9,86.9,1
2002-01-20,APPLECROSS,premium_95,86.9,86.9,86.9,86.9,1
2002-01-21,APPLECROSS,premium_95,85.3,85.3,85.3,85.3,1
2002-01-22,APPLECROSS,premium_95,84.7,84.7,84.7,84.7,1
2002-01-23,APPLECROSS,premium_95,83.7,83.7,83.7,83.7,1
2002-01-24,APPLECROSS,premium_95,90.9,90.9,90.9,90.9,1
2002-01-25,APPLECROSS,premium_95,89.9,89.9,89.9,89.9,1
2002-01-26,APPLECROSS,premium_95,87.9,87.9,87.9,87.9,1
2002-01-27,APPLECROSS,premium_95,86.9,86.9,86.9,86.9,1
2002-01-28,APPLECROSS,premium_95,85.5,85.5,85.5,85.5,1
2002-01-29,APPLECROSS,premium_95,83.5,83.5,83.5,83.5,1
2002-01-30,APPLECROSS,premium_95,82.9,82.9,82.9,82.9,1
2002-01-31,APPLECROSS,premium_95,81.8,81.8,81.8,81.8,1
2002-02-01,APPLECROSS,premium_95,91.9,91.9,91.9,91.9,1
2002-02-02,APPLECROSS,premium_95,91.9,91.9,91.9,91.9,1
2002-02-03,APPLECROSS,premium_95,87.5,87.5,87.5,87.5,1
2002-02-04,APPLECROSS,premium_95,84.9,84.9,84.9,84.9,1
2002-02-05,APPLECROSS,premium_95,83.5,83.5,83.5,83.5,1
2002-02-06,APPLECROSS,premium_95,82.3,82.3,82.3,82.3,1
2002-02-07,APPLECROSS,premium_95,82.3,82.3,82.3,82.3,1
2002-02-08,APPLECROSS,premium_95,81.9,81.9,81.9,81.9,1
2002-02-09,APPLECROSS,premium_95,81.3,81.3,81.3,81.3,1
2002-02-10,APPLECROSS,premium_95,81.3,81.3,81.3,81.3,1
2002-02-11,APPLECROSS,premium_95,93.9,93.9,93.9,93.9,1
2002-02-12,APPLECROSS,premium_95,92.3,92.3,92.3,92.3,1
2002-02-13,APPLECROSS,premium_95,91.3,91.3,91.3,91.3,1
2002-02-14,APPLECROSS,premium_95,90.3,90.3,90.3,90.3,1
2002-02-15,APPLECROSS,premium_95,88.9,88.9,88.9,88.9,1
2002-02-16,APPLECROSS,premium_95,86.5,86.5,86.5,86.5,1
2002-02-17,APPLECROSS,premium_95,85.5,85.5,85.5,85.5,1
2002-02-18,APPLECROSS,premium_95,85.5,85.5,85.5,85.5,1
2002-02-19,APPLECROSS,premium_95,96.9,96.9,96.9,96.9,1
2002-02-20,APPLECROSS,premium_95,95.9,95.9,95.9,95.9,1
2002-02-21,APPLECROSS,premium_95,93.9,93.9,93.9,93.9,1
2002-02-22,APPLECROSS,premium_95,91.9,91.9,91.9,91.9,1
2002-02-23,APPLECROSS,premium_95,90.2,90.2,90.2,90.2,1
2002-02-24,APPLECROSS,premium_95,88.9,88.9,88.9,88.9,1
2002-02-25,APPLECROSS,premium_95,88.9,88.9,88.9,88.9,1
2002-02-26,APPLECROSS,premium_95,85.9,85.9,85.9,85.9,1
2002-02-27,APPLECROSS,premium_95,85.5,85.5,85.5,85.5,1
2002-02-28,APPLECROSS,premium_95,85.3,85.3,85.3,85.3,1
2003-01-01,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2003-01-02,APPLECROSS,premium_95,97.5,97.5,97.5,97.5,1
2003-01-03,APPLECROSS,premium_95,96.5,96.5,96.5,96.5,1
2003-01-04,APPLECROSS,premium_95,95.5,95.5,95.5,95.5,1
2003-01-05,APPLECROSS,premium_95,94.9,94.9,94.9,94.9,1
2003-01-06,APPLECROSS,premium_95,94.9,94.9,94.9,94.9,1
2003-01-07,APPLECROSS,premium_95,93.9,93.9,93.9,93.9,1
2003-01-08,APPLECROSS,premium_95,95.9,95.9,95.9,95.9,1
2003-01-09,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-01-10,APPLECROSS,premium_95,102.5,102.5,102.5,102.5,1
2003-01-11,APPLECROSS,premium_95,101.5,101.5,101.5,101.5,1
2003-01-12,APPLECROSS,premium_95,99.5,99.5,99.5,99.5,1
2003-01-13,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2003-01-14,APPLECROSS,premium_95,97.9,97.9,97.9,97.9,1
2003-01-15,APPLECROSS,premium_95,96.5,96.5,96.5,96.5,1
2003-01-16,APPLECROSS,premium_95,95.5,95.5,95.5,95.5,1
2003-01-17,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-01-18,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-01-19,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-01-20,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-01-21,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-01-22,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-01-23,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2003-01-24,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2003-01-25,APPLECROSS,premium_95,99.9,99.9,99.9,99.9,1
2003-01-26,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2003-01-27,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2003-01-28,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2003-01-29,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2003-01-30,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2003-01-31,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2003-02-01,APPLECROSS,premium_95,101.5,101.5,101.5,101.5,1
2003-02-02,APPLECROSS,premium_95,99.5,99.5,99.5,99.5,1
2003-02-03,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2003-02-04,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2003-02-05,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2003-02-06,APPLECROSS,premium_95,98.5,98.5,98.5,98.5,1
2003-02-07,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-02-08,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2003-02-09,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2003-02-10,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2003-02-11,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2003-02-12,APPLECROSS,premium_95,100.5,100.5,100.5,100.5,1
2003-02-13,APPLECROSS,premium_95,100.5,100.5,100.5,100.5,1
2003-02-14,APPLECROSS,premium_95,101.5,101.5,101.5,101.5,1
2003-02-15,APPLECROSS,premium_95,108.9,108.9,108.9,108.9,1
2003-02-16,APPLECROSS,premium_95,107.9,107.9,107.9,107.9,1
2003-02-17,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2003-02-18,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-02-19,APPLECROSS,premium_95,112.9,112.9,112.9,112.9,1
2003-02-20,APPLECROSS,premium_95,111.9,111.9,111.9,111.9,1
2003-02-21,APPLECROSS,premium_95,109.9,109.9,109.9,109.9,1
2003-02-22,APPLECROSS,premium_95,108.9,108.9,108.9,108.9,1
2003-02-23,APPLECROSS,premium_95,107.9,107.9,107.9,107.9,1
2003-02-24,APPLECROSS,premium_95,106.5,106.5,106.5,106.5,1
2003-02-25,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2003-02-26,APPLECROSS,premium_95,103.5,103.5,103.5,103.5,1
2003-02-27,APPLECROSS,premium_95,103.5,103.5,103.5,103.5,1
2003-02-28,APPLECROSS,premium_95,111.9,111.9,111.9,111.9,1
2004-01-01,APPLECROSS,premium_95,99.9,99.9,99.9,99.9,1
2004-01-02,APPLECROSS,premium_95,98.5,98.5,98.5,98.5,1
2004-01-03,APPLECROSS,premium_95,95.9,95.9,95.9,95.9,1
2004-01-04,APPLECROSS,premium_95,94.7,94.7,94.7,94.7,1
2004-01-05,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2004-01-06,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2004-01-07,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2004-01-08,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2004-01-09,APPLECROSS,premium_95,95.9,95.9,95.9,95.9,1
2004-01-10,APPLECROSS,premium_95,95.9,95.9,95.9,95.9,1
2004-01-11,APPLECROSS,premium_95,95.9,95.9,95.9,95.9,1
2004-01-12,APPLECROSS,premium_95,105.9,105.9,105.9,105.9,1
2004-01-13,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2004-01-14,APPLECROSS,premium_95,102.5,102.5,102.5,102.5,1
2004-01-15,APPLECROSS,premium_95,100.5,100.5,100.5,100.5,1
2004-01-16,APPLECROSS,premium_95,98.5,98.5,98.5,98.5,1
2004-01-17,APPLECROSS,premium_95,97.5,97.5,97.5,97.5,1
2004-01-18,APPLECROSS,premium_95,96.5,96.5,96.5,96.5,1
2004-01-19,APPLECROSS,premium_95,105.9,105.9,105.9,105.9,1
2004-01-20,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2004-01-21,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2004-01-22,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2004-01-23,APPLECROSS,premium_95,99.9,99.9,99.9,99.9,1
2004-01-24,APPLECROSS,premium_95,98.5,98.5,98.5,98.5,1
2004-01-25,APPLECROSS,premium_95,96.5,96.5,96.5,96.5,1
2004-01-26,APPLECROSS,premium_95,94.9,94.9,94.9,94.9,1
2004-01-27,APPLECROSS,premium_95,94.9,94.9,94.9,94.9,1
2004-01-28,APPLECROSS,premium_95,105.9,105.9,105.9,105.9,1
2004-01-29,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2004-01-30,APPLECROSS,premium_95,103.5,103.5,103.5,103.5,1
2004-01-31,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2004-02-01,APPLECROSS,premium_95,100.5,100.5,100.5,100.5,1
2004-02-02,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2004-02-03,APPLECROSS,premium_95,94.5,94.5,94.5,94.5,1
2004-02-04,APPLECROSS,premium_95,94.5,94.5,94.5,94.5,1
2004-02-05,APPLECROSS,premium_95,93.9,93.9,93.9,93.9,1
2004-02-06,APPLECROSS,premium_95,93.9,93.9,93.9,93.9,1
2004-02-07,APPLECROSS,premium_95,92.5,92.5,92.5,92.5,1
2004-02-08,APPLECROSS,premium_95,91.9,91.9,91.9,91.9,1
2004-02-09,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2004-02-10,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2004-02-11,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2004-02-12,APPLECROSS,premium_95,97.3,97.3,97.3,97.3,1
2004-02-13,APPLECROSS,premium_95,94.5,94.5,94.5,94.5,1
2004-02-14,APPLECROSS,premium_95,93.2,93.2,93.2,93.2,1
2004-02-15,APPLECROSS,premium_95,92.9,92.9,92.9,92.9,1
2004-02-16,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2004-02-17,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2004-02-18,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2004-02-19,APPLECROSS,premium_95,96.9,96.9,96.9,96.9,1
2004-02-20,APPLECROSS,premium_95,93.9,93.9,93.9,93.9,1
2004-02-21,APPLECROSS,premium_95,91.9,91.9,91.9,91.9,1
2004-02-22,APPLECROSS,premium_95,89.9,89.9,89.9,89.9,1
2004-02-23,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2004-02-24,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2004-02-25,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2004-02-26,APPLECROSS,premium_95,96.9,96.9,96.9,96.9,1
2004-02-27,APPLECROSS,premium_95,94.9,94.9,94.9,94.9,1
2004-02-28,APPLECROSS,premium_95,94.9,94.9,94.9,94.9,1
2004-02-29,APPLECROSS,premium_95,93.9,93.9,93.9,93.9,1
2005-01-01,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2005-01-02,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2005-01-03,APPLECROSS,premium_95,98.9,98.9,98.9,98.9,1
2005-01-04,APPLECROSS,premium_95,109.9,109.9,109.9,109.9,1
2005-01-05,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2005-01-06,APPLECROSS,premium_95,101.9,101.9,101.9,101.9,1
2005-01-07,APPLECROSS,premium_95,99.9,99.9,99.9,99.9,1
2005-01-08,APPLECROSS,premium_95,99.5,99.5,99.5,99.5,1
2005-01-09,APPLECROSS,premium_95,98.5,98.5,98.5,98.5,1
2005-01-10,APPLECROSS,premium_95,97.9,97.9,97.9,97.9,1
2005-01-11,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2005-01-12,APPLECROSS,premium_95,105.9,105.9,105.9,105.9,1
2005-01-13,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2005-01-14,APPLECROSS,premium_95,96.9,96.9,96.9,96.9,1
2005-01-15,APPLECROSS,premium_95,96.9,96.9,96.9,96.9,1
2005-01-16,APPLECROSS,premium_95,96.9,96.9,96.9,96.9,1
2005-01-17,APPLECROSS,premium_95,96.9,96.9,96.9,96.9,1
2005-01-18,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2005-01-19,APPLECROSS,premium_95,105.9,105.9,105.9,105.9,1
2005-01-20,APPLECROSS,premium_95,102.4,102.4,102.4,102.4,1
2005-01-21,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2005-01-22,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2005-01-23,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2005-01-24,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2005-01-25,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2005-01-26,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2005-01-27,APPLECROSS,premium_95,99.9,99.9,99.9,99.9,1
2005-01-28,APPLECROSS,premium_95,100.9,100.9,100.9,100.9,1
2005-01-29,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-01-30,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-01-31,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-01,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-02,APPLECROSS,premium_95,111.9,111.9,111.9,111.9,1
2005-02-03,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2005-02-04,APPLECROSS,premium_95,104.9,104.9,104.9,104.9,1
2005-02-05,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2005-02-06,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-07,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-08,APPLECROSS,premium_95,113.9,113.9,113.9,113.9,1
2005-02-09,APPLECROSS,premium_95,111.9,111.9,111.9,111.9,1
2005-02-10,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2005-02-11,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-12,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-13,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-14,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-15,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-16,APPLECROSS,premium_95,102.9,102.9,102.9,102.9,1
2005-02-17,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2005-02-18,APPLECROSS,premium_95,103.9,103.9,103.9,103.9,1
2005-02-19,APPLECROSS,premium_95,103.7,103.7,103.7,103.7,1
2005-02-20,APPLECROSS,premium_95,103.7,103.7,103.7,103.7,1
2005-02-21,APPLECROSS,premium_95,103.7,103.7,103.7,103.7,1
2005-02-22,APPLECROSS,premium_95,115.9,115.9,115.9,115.9,1
2005-02-23,APPLECROSS,premium_95,114.9,114.9,114.9,114.9,1
2005-02-24,APPLECROSS,premium_95,109.9,109.9,109.9,109.9,1
2005-02-25,APPLECROSS,premium_95,105.5,105.5,105.5,105.5,1
2005-02-26,APPLECROSS,premium_95,105.5,105.5,105.5,105.5,1
2005-02-27,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2005-02-28,APPLECROSS,premium_95,106.9,106.9,106.9,106.9,1
2006-01-01,APPLECROSS,premium_95,116.9,118.4,119.9,116.9,2
2006-01-02,APPLECROSS,premium_95,116.9,117.9,118.9,116.9,2
2006-01-03,APPLECROSS,premium_95,118.5,122.2,125.9,118.5,2
2006-01-04,APPLECROSS,premium_95,125.9,126.9,127.9,125.9,2
2006-01-05,APPLECROSS,premium_95,125.9,126.9,127.9,125.9,2
2006-01-06,APPLECROSS,premium_95,125.5,126.7,127.9,125.5,2
2006-01-07,APPLECROSS,premium_95,124.9,125.7,126.5,124.9,2
2006-01-08,APPLECROSS,premium_95,123.9,124.2,124.5,123.9,2
2006-01-09,APPLECROSS,premium_95,123.9,124.2,124.5,123.9,2
2006-01-10,APPLECROSS,premium_95,123.5,124.0,124.5,123.5,2
2006-01-11,APPLECROSS,premium_95,122.9,123.2,123.5,122.9,2
2006-01-12,APPLECROSS,premium_95,121.9,122.2,122.5,121.9,2
