date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ARMADALE,diesel,81.0,86.2,88.9,81.0,5
2002-01-02,ARMADALE,diesel,81.0,86.2,88.9,81.0,5
2002-01-03,ARMADALE,diesel,81.0,86.2,88.9,81.0,5
2002-01-04,ARMADALE,diesel,81.0,86.2,88.9,81.0,5
2002-01-05,ARMADALE,diesel,81.0,86.2,88.9,81.0,5
2002-01-06,ARMADALE,diesel,81.0,86.2,88.9,81.0,5
2002-01-07,ARMADALE,diesel,81.0,86.2,88.9,81.0,5
2002-01-08,ARMADALE,diesel,81.0,86.2,88.9,81.0,5
2002-01-09,ARMADALE,diesel,81.0,85.4,86.9,81.0,5
2002-01-10,ARMADALE,diesel,81.0,85.3,86.9,81.0,5
2002-01-11,ARMADALE,diesel,81.0,85.1,86.9,81.0,5
2002-01-12,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-13,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-14,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-15,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-16,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-17,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-18,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-19,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-20,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-21,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-22,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-23,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-24,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-25,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-26,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-27,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-28,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-29,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-30,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-01-31,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-02-01,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-02-02,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-02-03,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-02-04,ARMADALE,diesel,82.3,85.2,86.9,82.3,5
2002-02-05,ARMADALE,diesel,82.3,84.0,85.9,82.3,5
2002-02-06,ARMADALE,diesel,82.3,83.6,84.9,82.3,5
2002-02-07,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
2002-02-08,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
2002-02-09,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
2002-02-10,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
2002-02-11,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
2002-02-12,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
2002-02-13,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
2002-02-14,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
2002-02-15,ARMADALE,diesel,82.3,83.3,83.9,82.3,5
