date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ARMADALE,premium_95,86.9,87.8,88.5,86.9,3
2002-01-02,ARMADALE,premium_95,85.8,86.6,87.1,85.8,3
2002-01-03,ARMADALE,premium_95,84.5,85.6,86.3,84.5,3
2002-01-04,ARMADALE,premium_95,83.5,84.8,86.3,83.5,3
2002-01-05,ARMADALE,premium_95,82.2,83.8,86.3,82.2,3
2002-01-06,ARMADALE,premium_95,81.9,83.7,86.3,81.9,3
2002-01-07,ARMADALE,premium_95,81.5,83.6,86.3,81.5,3
2002-01-08,ARMADALE,premium_95,81.5,83.4,86.3,81.5,3
2002-01-09,ARMADALE,premium_95,83.9,87.4,91.9,83.9,3
2002-01-10,ARMADALE,premium_95,86.3,89.0,90.9,86.3,3
2002-01-11,ARMADALE,premium_95,87.3,88.8,89.6,87.3,3
2002-01-12,ARMADALE,premium_95,87.1,87.6,88.5,87.1,3
2002-01-13,ARMADALE,premium_95,85.8,86.7,87.3,85.8,3
2002-01-14,ARMADALE,premium_95,84.8,85.3,85.8,84.8,3
2002-01-15,ARMADALE,premium_95,83.5,84.4,85.1,83.5,3
2002-01-16,ARMADALE,premium_95,82.7,83.4,84.3,82.7,3
2002-01-17,ARMADALE,premium_95,82.7,85.6,89.9,82.7,3
2002-01-18,ARMADALE,premium_95,82.7,85.6,88.9,82.7,3
2002-01-19,ARMADALE,premium_95,85.3,86.0,86.9,85.3,3
2002-01-20,ARMADALE,premium_95,84.9,85.3,85.8,84.9,3
2002-01-21,ARMADALE,premium_95,82.9,84.0,85.3,82.9,3
2002-01-22,ARMADALE,premium_95,82.7,83.4,84.3,82.7,3
2002-01-23,ARMADALE,premium_95,81.5,82.7,84.3,81.5,3
2002-01-24,ARMADALE,premium_95,81.5,82.6,84.3,81.5,3
2002-01-25,ARMADALE,premium_95,81.5,82.6,84.3,81.5,3
2002-01-26,ARMADALE,premium_95,85.3,86.6,87.8,85.3,3
2002-01-27,ARMADALE,premium_95,84.8,85.5,86.5,84.8,3
2002-01-28,ARMADALE,premium_95,82.9,84.0,85.3,82.9,3
