date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ARMADALE,ulp_91,82.7,84.8,86.9,82.7,10
2002-01-02,ARMADALE,ulp_91,81.7,84.0,86.9,81.7,10
2002-01-03,ARMADALE,ulp_91,80.5,82.4,84.8,80.5,10
2002-01-04,ARMADALE,ulp_91,78.6,81.5,84.8,78.6,10
2002-01-05,ARMADALE,ulp_91,77.9,80.9,84.8,77.9,10
2002-01-06,ARMADALE,ulp_91,77.9,80.5,84.8,77.9,10
2002-01-07,ARMADALE,ulp_91,77.5,80.4,84.8,77.5,10
2002-01-08,ARMADALE,ulp_91,76.5,80.1,84.8,76.5,10
2002-01-09,ARMADALE,ulp_91,79.9,84.5,89.9,79.9,10
2002-01-10,ARMADALE,ulp_91,80.9,86.4,89.5,80.9,10
2002-01-11,ARMADALE,ulp_91,79.9,84.9,89.1,79.9,10
2002-01-12,ARMADALE,ulp_91,80.9,84.3,86.7,80.9,10
2002-01-13,ARMADALE,ulp_91,80.9,83.2,85.8,80.9,10
2002-01-14,ARMADALE,ulp_91,80.3,82.3,84.3,80.3,10
2002-01-15,ARMADALE,ulp_91,79.3,81.4,83.9,79.3,10
2002-01-16,ARMADALE,ulp_91,77.3,80.3,82.9,77.3,10
2002-01-17,ARMADALE,ulp_91,76.7,81.5,87.9,76.7,10
2002-01-18,ARMADALE,ulp_91,78.7,82.7,86.9,78.7,10
2002-01-19,ARMADALE,ulp_91,79.9,82.8,85.4,79.9,10
2002-01-20,ARMADALE,ulp_91,79.5,82.0,84.4,79.5,10
2002-01-21,ARMADALE,ulp_91,78.9,80.9,83.8,78.9,10
2002-01-22,ARMADALE,ulp_91,77.9,80.4,82.9,77.9,10
2002-01-23,ARMADALE,ulp_91,77.4,79.9,82.9,77.4,10
2002-01-24,ARMADALE,ulp_91,76.2,79.5,82.9,76.2,10
2002-01-25,ARMADALE,ulp_91,76.9,80.7,86.9,76.9,10
2002-01-26,ARMADALE,ulp_91,77.9,82.9,86.2,77.9,10
2002-01-27,ARMADALE,ulp_91,79.5,82.0,84.5,79.5,10
2002-01-28,ARMADALE,ulp_91,78.9,80.9,83.8,78.9,10
2002-01-29,ARMADALE,ulp_91,77.9,80.5,83.8,77.9,10
2002-01-30,ARMADALE,ulp_91,76.5,79.5,82.9,76.5,10
