date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2014-01-01,ASHBY,diesel,165.9,165.9,165.9,165.9,1
2014-01-02,ASHBY,diesel,165.9,165.9,165.9,165.9,1
2014-01-03,ASHBY,diesel,165.9,165.9,165.9,165.9,1
2014-01-04,ASHBY,diesel,165.9,165.9,165.9,165.9,1
2014-01-05,ASHBY,diesel,165.9,165.9,165.9,165.9,1
2014-01-06,ASHBY,diesel,165.9,165.9,165.9,165.9,1
2014-01-07,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-08,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-09,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-10,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-11,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-12,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-13,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-14,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-15,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-16,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-17,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-18,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-19,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-20,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-21,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-22,ASHBY,diesel,164.9,164.9,164.9,164.9,1
2014-01-23,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-01-24,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-01-25,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-01-26,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-01-27,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-01-28,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-01-29,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-01-30,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-01-31,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-01,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-02,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-03,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-04,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-05,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-06,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-07,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-08,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-09,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-10,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-11,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-12,ASHBY,diesel,163.9,163.9,163.9,163.9,1
2014-02-13,ASHBY,diesel,163.9,163.9,163.9,163.9,1
