date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2014-01-01,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-02,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-03,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-04,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-05,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-06,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-07,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-08,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-09,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-10,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-11,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-12,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-13,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-14,ASHBY,lpg,99.9,99.9,99.9,99.9,1
2014-01-15,ASHBY,lpg,95.9,95.9,95.9,95.9,1
2014-01-16,ASHBY,lpg,95.9,95.9,95.9,95.9,1
2014-01-17,ASHBY,lpg,95.9,95.9,95.9,95.9,1
2014-01-18,ASHBY,lpg,95.9,95.9,95.9,95.9,1
2014-01-19,ASHBY,lpg,95.9,95.9,95.9,95.9,1
2014-01-20,ASHBY,lpg,95.9,95.9,95.9,95.9,1
2014-01-21,ASHBY,lpg,95.9,95.9,95.9,95.9,1
2014-01-22,ASHBY,lpg,95.9,95.9,95.9,95.9,1
2014-01-23,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-01-24,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-01-25,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-01-26,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-01-27,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-01-28,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-01-29,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-01-30,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-01-31,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-01,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-02,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-03,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-04,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-05,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-06,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-07,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-08,ASHBY,lpg,94.9,94.9,94.9,94.9,1
2014-02-09,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-10,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-11,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-12,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-13,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-14,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-15,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-16,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-17,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-18,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-19,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-20,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-21,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-22,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-23,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-24,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-25,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-26,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-27,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2014-02-28,ASHBY,lpg,93.9,93.9,93.9,93.9,1
2015-01-01,ASHBY,lpg,79.9,79.9,79.9,79.9,1
2015-01-02,ASHBY,lpg,79.9,79.9,79.9,79.9,1
2015-01-03,ASHBY,lpg,79.9,79.9,79.9,79.9,1
2015-01-04,ASHBY,lpg,79.9,79.9,79.9,79.9,1
2015-01-05,ASHBY,lpg,79.9,79.9,79.9,79.9,1
