date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ATTADALE,premium_98,89.5,89.5,89.5,89.5,1
2002-01-02,ATTADALE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-03,ATTADALE,premium_98,84.9,84.9,84.9,84.9,1
2002-01-04,ATTADALE,premium_98,84.6,84.6,84.6,84.6,1
2002-01-05,ATTADALE,premium_98,84.5,84.5,84.5,84.5,1
2002-01-06,ATTADALE,premium_98,83.9,83.9,83.9,83.9,1
2002-01-07,ATTADALE,premium_98,83.9,83.9,83.9,83.9,1
2002-01-08,ATTADALE,premium_98,82.1,82.1,82.1,82.1,1
2002-01-09,ATTADALE,premium_98,92.9,92.9,92.9,92.9,1
2002-01-10,ATTADALE,premium_98,92.5,92.5,92.5,92.5,1
2002-01-11,ATTADALE,premium_98,90.9,90.9,90.9,90.9,1
2002-01-12,ATTADALE,premium_98,89.9,89.9,89.9,89.9,1
2002-01-13,ATTADALE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-14,ATTADALE,premium_98,87.6,87.6,87.6,87.6,1
2002-01-15,ATTADALE,premium_98,85.9,85.9,85.9,85.9,1
2002-01-16,ATTADALE,premium_98,84.7,84.7,84.7,84.7,1
2002-01-17,ATTADALE,premium_98,89.5,89.5,89.5,89.5,1
2002-01-18,ATTADALE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-19,ATTADALE,premium_98,87.9,87.9,87.9,87.9,1
2002-01-20,ATTADALE,premium_98,87.5,87.5,87.5,87.5,1
2002-01-21,ATTADALE,premium_98,86.9,86.9,86.9,86.9,1
2002-01-22,ATTADALE,premium_98,85.9,85.9,85.9,85.9,1
2002-01-23,ATTADALE,premium_98,84.5,84.5,84.5,84.5,1
2002-01-24,ATTADALE,premium_98,82.9,82.9,82.9,82.9,1
2002-01-25,ATTADALE,premium_98,89.9,89.9,89.9,89.9,1
2002-01-26,ATTADALE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-27,ATTADALE,premium_98,87.9,87.9,87.9,87.9,1
2002-01-28,ATTADALE,premium_98,85.9,85.9,85.9,85.9,1
2002-01-29,ATTADALE,premium_98,84.9,84.9,84.9,84.9,1
2002-01-30,ATTADALE,premium_98,83.3,83.3,83.3,83.3,1
2002-01-31,ATTADALE,premium_98,88.5,88.5,88.5,88.5,1
2002-02-01,ATTADALE,premium_98,87.5,87.5,87.5,87.5,1
2002-02-02,ATTADALE,premium_98,86.9,86.9,86.9,86.9,1
2002-02-03,ATTADALE,premium_98,85.9,85.9,85.9,85.9,1
2002-02-04,ATTADALE,premium_98,85.5,85.5,85.5,85.5,1
2002-02-05,ATTADALE,premium_98,84.9,84.9,84.9,84.9,1
2002-02-06,ATTADALE,premium_98,83.9,83.9,83.9,83.9,1
2002-02-07,ATTADALE,premium_98,83.7,83.7,83.7,83.7,1
2002-02-08,ATTADALE,premium_98,84.9,84.9,84.9,84.9,1
2002-02-09,ATTADALE,premium_98,84.9,84.9,84.9,84.9,1
2002-02-10,ATTADALE,premium_98,84.9,84.9,84.9,84.9,1
2002-02-11,ATTADALE,premium_98,94.5,94.5,94.5,94.5,1
2002-02-12,ATTADALE,premium_98,93.5,93.5,93.5,93.5,1
2002-02-13,ATTADALE,premium_98,92.3,92.3,92.3,92.3,1
2002-02-14,ATTADALE,premium_98,90.7,90.7,90.7,90.7,1
2002-02-15,ATTADALE,premium_98,89.9,89.9,89.9,89.9,1
2002-02-16,ATTADALE,premium_98,87.7,87.7,87.7,87.7,1
