date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-02,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-03,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-04,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-05,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-06,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-07,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-08,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-09,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-10,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-11,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-12,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-13,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-14,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-15,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-16,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-17,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-18,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-19,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-20,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-21,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-22,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-23,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-24,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-25,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-26,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-27,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-28,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-29,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-30,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
2004-01-31,AUGUSTA,lpg,61.9,61.9,61.9,61.9,1
