date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2010-01-01,AUGUSTA,premium_98,147.9,147.9,147.9,147.9,1
2010-01-02,AUGUSTA,premium_98,147.9,147.9,147.9,147.9,1
2010-01-03,AUGUSTA,premium_98,147.9,147.9,147.9,147.9,1
2010-01-04,AUGUSTA,premium_98,147.9,147.9,147.9,147.9,1
2010-01-05,AUGUSTA,premium_98,147.9,147.9,147.9,147.9,1
2010-01-06,AUGUSTA,premium_98,147.9,147.9,147.9,147.9,1
2010-01-07,AUGUSTA,premium_98,148.9,148.9,148.9,148.9,1
2010-01-08,AUGUSTA,premium_98,148.9,148.9,148.9,148.9,1
2010-01-09,AUGUSTA,premium_98,148.9,148.9,148.9,148.9,1
2010-01-10,AUGUSTA,premium_98,148.9,148.9,148.9,148.9,1
2010-01-11,AUGUSTA,premium_98,148.9,148.9,148.9,148.9,1
2010-01-12,AUGUSTA,premium_98,148.9,148.9,148.9,148.9,1
2010-01-13,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-14,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-15,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-16,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-17,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-18,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-19,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-20,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-21,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-22,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-23,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-24,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-25,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-26,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-27,AUGUSTA,premium_98,149.9,149.9,149.9,149.9,1
2010-01-28,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-01-29,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-01-30,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-01-31,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-01,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-02,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-03,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-04,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-05,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-06,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-07,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-08,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-09,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-10,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-11,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-12,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-13,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-14,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-15,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-16,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-17,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-18,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-19,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-20,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-21,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-22,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-23,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-24,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-25,AUGUSTA,premium_98,145.9,145.9,145.9,145.9,1
2010-02-26,AUGUSTA,premium_98,146.9,146.9,146.9,146.9,1
2010-02-27,AUGUSTA,premium_98,146.9,146.9,146.9,146.9,1
2010-02-28,AUGUSTA,premium_98,146.9,146.9,146.9,146.9,1
2011-01-01,AUGUSTA,premium_98,154.9,154.9,154.9,154.9,1
2011-01-02,AUGUSTA,premium_98,154.9,154.9,154.9,154.9,1
2011-01-03,AUGUSTA,premium_98,154.9,154.9,154.9,154.9,1
2011-01-04,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-05,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-06,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-07,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-08,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-09,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-10,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-11,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-12,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-13,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-14,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-15,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-16,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-17,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
2011-01-18,AUGUSTA,premium_98,155.9,155.9,155.9,155.9,1
