date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,AUSTRALIND,ulp_91,83.9,85.4,86.9,83.9,2
2002-01-02,AUSTRALIND,ulp_91,82.9,84.4,85.9,82.9,2
2002-01-03,AUSTRALIND,ulp_91,83.9,85.4,86.9,83.9,2
2002-01-04,AUSTRALIND,ulp_91,82.9,84.4,85.9,82.9,2
2002-01-05,AUSTRALIND,ulp_91,82.9,84.4,85.9,82.9,2
2002-01-06,AUSTRALIND,ulp_91,83.9,85.4,86.9,83.9,2
2002-01-07,AUSTRALIND,ulp_91,83.9,85.4,86.9,83.9,2
2002-01-08,AUSTRALIND,ulp_91,83.9,85.4,86.9,83.9,2
2002-01-09,AUSTRALIND,ulp_91,87.9,89.4,90.9,87.9,2
2002-01-10,AUSTRALIND,ulp_91,87.9,89.4,90.9,87.9,2
2002-01-11,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-12,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-13,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-14,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-15,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-16,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-17,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-18,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-19,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-20,AUSTRALIND,ulp_91,83.9,85.4,86.9,83.9,2
2002-01-21,AUSTRALIND,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-22,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-23,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-24,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-25,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-26,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-27,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-28,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-29,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-30,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-31,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-01,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-02,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-03,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-04,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-05,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-06,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-07,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-08,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-09,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-10,AUSTRALIND,ulp_91,84.5,86.0,87.5,84.5,2
2002-02-11,AUSTRALIND,ulp_91,88.5,90.0,91.5,88.5,2
