date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2017-01-01,AVELEY,premium_98,144.7,144.7,144.7,144.7,1
2017-01-02,AVELEY,premium_98,139.7,139.7,139.7,139.7,1
2017-01-03,AVELEY,premium_98,162.9,162.9,162.9,162.9,1
2017-01-04,AVELEY,premium_98,153.8,153.8,153.8,153.8,1
2017-01-05,AVELEY,premium_98,153.9,153.9,153.9,153.9,1
2017-01-06,AVELEY,premium_98,149.8,149.8,149.8,149.8,1
2017-01-07,AVELEY,premium_98,145.7,145.7,145.7,145.7,1
2017-01-08,AVELEY,premium_98,142.7,142.7,142.7,142.7,1
2017-01-09,AVELEY,premium_98,142.7,142.7,142.7,142.7,1
2017-01-10,AVELEY,premium_98,162.9,162.9,162.9,162.9,1
2017-01-11,AVELEY,premium_98,160.9,160.9,160.9,160.9,1
2017-01-12,AVELEY,premium_98,158.9,158.9,158.9,158.9,1
2017-01-13,AVELEY,premium_98,140.2,140.2,140.2,140.2,1
2017-01-14,AVELEY,premium_98,154.9,154.9,154.9,154.9,1
2017-01-15,AVELEY,premium_98,137.1,137.1,137.1,137.1,1
2017-01-16,AVELEY,premium_98,136.2,136.2,136.2,136.2,1
2017-01-17,AVELEY,premium_98,160.9,160.9,160.9,160.9,1
2017-01-18,AVELEY,premium_98,138.8,138.8,138.8,138.8,1
2017-01-19,AVELEY,premium_98,156.9,156.9,156.9,156.9,1
2017-01-20,AVELEY,premium_98,136.1,136.1,136.1,136.1,1
2017-01-21,AVELEY,premium_98,152.9,152.9,152.9,152.9,1
2017-01-22,AVELEY,premium_98,150.9,150.9,150.9,150.9,1
2017-01-23,AVELEY,premium_98,136.2,136.2,136.2,136.2,1
2017-01-24,AVELEY,premium_98,158.9,158.9,158.9,158.9,1
2017-01-25,AVELEY,premium_98,132.9,132.9,132.9,132.9,1
2017-01-26,AVELEY,premium_98,154.9,154.9,154.9,154.9,1
2017-01-27,AVELEY,premium_98,152.9,152.9,152.9,152.9,1
2017-01-28,AVELEY,premium_98,150.9,150.9,150.9,150.9,1
2017-01-29,AVELEY,premium_98,143.7,143.7,143.7,143.7,1
2017-01-30,AVELEY,premium_98,141.5,141.5,141.5,141.5,1
2017-01-31,AVELEY,premium_98,160.9,160.9,160.9,160.9,1
2017-02-01,AVELEY,premium_98,141.4,141.4,141.4,141.4,1
2017-02-02,AVELEY,premium_98,154.9,154.9,154.9,154.9,1
2017-02-03,AVELEY,premium_98,152.9,152.9,152.9,152.9,1
2017-02-04,AVELEY,premium_98,148.9,148.9,148.9,148.9,1
2017-02-05,AVELEY,premium_98,146.7,146.7,146.7,146.7,1
2017-02-06,AVELEY,premium_98,143.6,143.6,143.6,143.6,1
2017-02-07,AVELEY,premium_98,158.9,158.9,158.9,158.9,1
2017-02-08,AVELEY,premium_98,141.6,141.6,141.6,141.6,1
2017-02-09,AVELEY,premium_98,154.9,154.9,154.9,154.9,1
2017-02-10,AVELEY,premium_98,152.9,152.9,152.9,152.9,1
2017-02-11,AVELEY,premium_98,148.9,148.9,148.9,148.9,1
2017-02-12,AVELEY,premium_98,146.9,146.9,146.9,146.9,1
2017-02-13,AVELEY,premium_98,144.9,144.9,144.9,144.9,1
2017-02-14,AVELEY,premium_98,158.9,158.9,158.9,158.9,1
2017-02-15,AVELEY,premium_98,156.9,156.9,156.9,156.9,1
2017-02-16,AVELEY,premium_98,154.9,154.9,154.9,154.9,1
2017-02-17,AVELEY,premium_98,152.9,152.9,152.9,152.9,1
2017-02-18,AVELEY,premium_98,148.9,148.9,148.9,148.9,1
2017-02-19,AVELEY,premium_98,146.9,146.9,146.9,146.9,1
2017-02-20,AVELEY,premium_98,141.6,141.6,141.6,141.6,1
2017-02-21,AVELEY,premium_98,158.9,158.9,158.9,158.9,1
2017-02-22,AVELEY,premium_98,156.9,156.9,156.9,156.9,1
2017-02-23,AVELEY,premium_98,154.9,154.9,154.9,154.9,1
2017-02-24,AVELEY,premium_98,150.9,150.9,150.9,150.9,1
2017-02-25,AVELEY,premium_98,145.9,145.9,145.9,145.9,1
2017-02-26,AVELEY,premium_98,138.8,138.8,138.8,138.8,1
2017-02-27,AVELEY,premium_98,137.7,137.7,137.7,137.7,1
2017-02-28,AVELEY,premium_98,158.9,158.9,158.9,158.9,1
2018-01-01,AVELEY,premium_98,143.9,143.9,143.9,143.9,1
2018-01-02,AVELEY,premium_98,168.9,168.9,168.9,168.9,1
2018-01-03,AVELEY,premium_98,165.7,165.7,165.7,165.7,1
2018-01-04,AVELEY,premium_98,161.9,161.9,161.9,161.9,1
2018-01-05,AVELEY,premium_98,154.9,154.9,154.9,154.9,1
2018-01-06,AVELEY,premium_98,151.9,151.9,151.9,151.9,1
2018-01-07,AVELEY,premium_98,147.9,147.9,147.9,147.9,1
