date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BALCATTA,lpg,40.9,42.2,43.9,40.9,4
2002-01-02,BALCATTA,lpg,40.9,42.2,43.9,40.9,4
2002-01-03,BALCATTA,lpg,40.9,42.2,43.9,40.9,4
2002-01-04,BALCATTA,lpg,40.9,42.2,43.9,40.9,4
2002-01-05,BALCATTA,lpg,40.9,42.2,43.9,40.9,4
2002-01-06,BALCATTA,lpg,40.9,42.2,43.9,40.9,4
2002-01-07,BALCATTA,lpg,40.9,42.2,43.9,40.9,4
2002-01-08,BALCATTA,lpg,40.9,41.8,43.9,40.9,4
2002-01-09,BALCATTA,lpg,40.9,42.0,43.9,40.9,4
2002-01-10,BALCATTA,lpg,40.9,43.8,48.9,40.9,4
2002-01-11,BALCATTA,lpg,40.9,46.3,48.9,40.9,4
2002-01-12,BALCATTA,lpg,40.9,46.1,47.9,40.9,4
2002-01-13,BALCATTA,lpg,40.9,46.1,47.9,40.9,4
2002-01-14,BALCATTA,lpg,40.9,45.3,47.9,40.9,4
2002-01-15,BALCATTA,lpg,43.9,45.9,47.9,43.9,4
2002-01-16,BALCATTA,lpg,43.9,45.7,47.9,43.9,4
2002-01-17,BALCATTA,lpg,43.9,45.6,47.9,43.9,4
2002-01-18,BALCATTA,lpg,43.9,45.6,47.9,43.9,4
2002-01-19,BALCATTA,lpg,43.7,43.8,43.9,43.7,4
2002-01-20,BALCATTA,lpg,43.7,43.8,43.9,43.7,4
2002-01-21,BALCATTA,lpg,42.9,43.5,43.9,42.9,4
2002-01-22,BALCATTA,lpg,42.7,43.2,43.7,42.7,4
2002-01-23,BALCATTA,lpg,42.5,42.9,43.7,42.5,4
2002-01-24,BALCATTA,lpg,42.5,42.9,43.7,42.5,4
2002-01-25,BALCATTA,lpg,42.5,42.6,42.9,42.5,4
2002-01-26,BALCATTA,lpg,42.5,42.6,42.9,42.5,4
2002-01-27,BALCATTA,lpg,42.5,42.6,42.9,42.5,4
2002-01-28,BALCATTA,lpg,42.5,42.6,42.9,42.5,4
2002-01-29,BALCATTA,lpg,41.9,42.5,42.9,41.9,4
2002-01-30,BALCATTA,lpg,41.5,42.2,42.9,41.5,4
2002-01-31,BALCATTA,lpg,41.5,42.2,42.9,41.5,4
2002-02-01,BALCATTA,lpg,41.5,42.2,42.9,41.5,4
2002-02-02,BALCATTA,lpg,41.9,44.4,46.9,41.9,4
2002-02-03,BALCATTA,lpg,43.9,45.6,46.9,43.9,4
2002-02-04,BALCATTA,lpg,43.9,45.6,46.9,43.9,4
2002-02-05,BALCATTA,lpg,43.9,45.6,46.9,43.9,4
2002-02-06,BALCATTA,lpg,41.9,44.1,45.9,41.9,4
2002-02-07,BALCATTA,lpg,43.9,45.4,46.9,43.9,4
2002-02-08,BALCATTA,lpg,43.9,45.4,46.9,43.9,4
2002-02-09,BALCATTA,lpg,43.9,45.6,46.9,43.9,4
2002-02-10,BALCATTA,lpg,43.9,45.6,46.9,43.9,4
2002-02-11,BALCATTA,lpg,41.5,44.3,45.9,41.5,4
2002-02-12,BALCATTA,lpg,41.5,42.7,43.9,41.5,4
2002-02-13,BALCATTA,lpg,41.5,42.3,43.9,41.5,4
2002-02-14,BALCATTA,lpg,41.9,41.9,41.9,41.9,4
