date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-02,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-03,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-04,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-05,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-06,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-07,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-08,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-09,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-10,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-11,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-12,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-13,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-14,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-15,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-16,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-17,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-18,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-19,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-20,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-21,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-22,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-23,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-24,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-25,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-26,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-27,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-28,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-29,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-30,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-01-31,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-02-01,BALDIVIS,diesel,87.9,87.9,87.9,87.9,1
2002-02-02,BALDIVIS,diesel,86.9,86.9,86.9,86.9,1
2002-02-03,BALDIVIS,diesel,86.9,86.9,86.9,86.9,1
2002-02-04,BALDIVIS,diesel,86.9,86.9,86.9,86.9,1
2002-02-05,BALDIVIS,diesel,86.9,86.9,86.9,86.9,1
2002-02-06,BALDIVIS,diesel,86.9,86.9,86.9,86.9,1
2002-02-07,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-08,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-09,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-10,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-11,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-12,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-13,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-14,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-15,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-16,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-17,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-18,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-19,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-20,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-21,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-22,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-23,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-24,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-25,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-26,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-27,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2002-02-28,BALDIVIS,diesel,85.9,85.9,85.9,85.9,1
2003-01-01,BALDIVIS,diesel,96.9,96.9,96.9,96.9,2
2003-01-02,BALDIVIS,diesel,96.9,96.9,96.9,96.9,2
2003-01-03,BALDIVIS,diesel,96.9,96.9,96.9,96.9,2
2003-01-04,BALDIVIS,diesel,96.9,96.9,96.9,96.9,2
2003-01-05,BALDIVIS,diesel,96.9,96.9,96.9,96.9,2
2003-01-06,BALDIVIS,diesel,96.9,96.9,96.9,96.9,2
