date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BALDIVIS,ulp_91,81.5,83.2,84.8,81.5,2
2002-01-02,BALDIVIS,ulp_91,80.2,81.8,83.5,80.2,2
2002-01-03,BALDIVIS,ulp_91,79.7,81.3,83.0,79.7,2
2002-01-04,BALDIVIS,ulp_91,78.3,79.9,81.6,78.3,2
2002-01-05,BALDIVIS,ulp_91,77.3,78.9,80.6,77.3,2
2002-01-06,BALDIVIS,ulp_91,77.3,78.9,80.6,77.3,2
2002-01-07,BALDIVIS,ulp_91,76.9,78.6,80.2,76.9,2
2002-01-08,BALDIVIS,ulp_91,86.8,88.4,90.1,86.8,2
2002-01-09,BALDIVIS,ulp_91,86.8,88.4,90.1,86.8,2
2002-01-10,BALDIVIS,ulp_91,84.9,86.6,88.2,84.9,2
2002-01-11,BALDIVIS,ulp_91,83.9,85.6,87.2,83.9,2
2002-01-12,BALDIVIS,ulp_91,82.9,84.6,86.2,82.9,2
2002-01-13,BALDIVIS,ulp_91,81.7,83.3,85.0,81.7,2
2002-01-14,BALDIVIS,ulp_91,80.9,82.6,84.2,80.9,2
2002-01-15,BALDIVIS,ulp_91,79.9,81.6,83.2,79.9,2
2002-01-16,BALDIVIS,ulp_91,78.9,80.6,82.2,78.9,2
2002-01-17,BALDIVIS,ulp_91,84.4,86.1,87.7,84.4,2
2002-01-18,BALDIVIS,ulp_91,81.7,83.3,85.0,81.7,2
2002-01-19,BALDIVIS,ulp_91,81.2,82.8,84.5,81.2,2
2002-01-20,BALDIVIS,ulp_91,81.2,82.8,84.5,81.2,2
2002-01-21,BALDIVIS,ulp_91,80.5,82.2,83.8,80.5,2
2002-01-22,BALDIVIS,ulp_91,78.9,80.6,82.2,78.9,2
2002-01-23,BALDIVIS,ulp_91,77.5,79.2,80.8,77.5,2
2002-01-24,BALDIVIS,ulp_91,84.8,86.4,88.1,84.8,2
2002-01-25,BALDIVIS,ulp_91,83.9,85.6,87.2,83.9,2
2002-01-26,BALDIVIS,ulp_91,81.9,83.6,85.2,81.9,2
2002-01-27,BALDIVIS,ulp_91,80.9,82.6,84.2,80.9,2
2002-01-28,BALDIVIS,ulp_91,79.9,81.6,83.2,79.9,2
2002-01-29,BALDIVIS,ulp_91,78.9,80.6,82.2,78.9,2
2002-01-30,BALDIVIS,ulp_91,77.3,78.9,80.6,77.3,2
2002-01-31,BALDIVIS,ulp_91,76.5,78.2,79.8,76.5,2
2002-02-01,BALDIVIS,ulp_91,85.8,87.4,89.1,85.8,2
2002-02-02,BALDIVIS,ulp_91,85.8,87.4,89.1,85.8,2
2002-02-03,BALDIVIS,ulp_91,82.5,84.2,85.8,82.5,2
2002-02-04,BALDIVIS,ulp_91,79.5,81.2,82.8,79.5,2
2002-02-05,BALDIVIS,ulp_91,77.9,79.6,81.2,77.9,2
2002-02-06,BALDIVIS,ulp_91,77.1,78.8,80.4,77.1,2
2002-02-07,BALDIVIS,ulp_91,76.5,78.2,79.8,76.5,2
2002-02-08,BALDIVIS,ulp_91,76.5,78.2,79.8,76.5,2
2002-02-09,BALDIVIS,ulp_91,76.5,78.2,79.8,76.5,2
2002-02-10,BALDIVIS,ulp_91,76.5,78.2,79.8,76.5,2
2002-02-11,BALDIVIS,ulp_91,87.9,89.6,91.2,87.9,2
2002-02-12,BALDIVIS,ulp_91,86.7,88.3,90.0,86.7,2
2002-02-13,BALDIVIS,ulp_91,84.9,86.6,88.2,84.9,2
2002-02-14,BALDIVIS,ulp_91,83.9,85.6,87.2,83.9,2
2002-02-15,BALDIVIS,ulp_91,82.7,84.3,86.0,82.7,2
2002-02-16,BALDIVIS,ulp_91,81.9,83.6,85.2,81.9,2
2002-02-17,BALDIVIS,ulp_91,80.9,82.6,84.2,80.9,2
2002-02-18,BALDIVIS,ulp_91,80.9,82.6,84.2,80.9,2
2002-02-19,BALDIVIS,ulp_91,90.8,92.4,94.1,90.8,2
2002-02-20,BALDIVIS,ulp_91,89.9,91.6,93.2,89.9,2
2002-02-21,BALDIVIS,ulp_91,87.9,89.6,91.2,87.9,2
2002-02-22,BALDIVIS,ulp_91,85.9,87.6,89.2,85.9,2
2002-02-23,BALDIVIS,ulp_91,84.5,86.2,87.8,84.5,2
2002-02-24,BALDIVIS,ulp_91,83.5,85.2,86.8,83.5,2
2002-02-25,BALDIVIS,ulp_91,83.5,85.2,86.8,83.5,2
2002-02-26,BALDIVIS,ulp_91,81.5,83.2,84.8,81.5,2
2002-02-27,BALDIVIS,ulp_91,80.7,82.3,84.0,80.7,2
2002-02-28,BALDIVIS,ulp_91,79.9,81.6,83.2,79.9,2
2003-01-01,BALDIVIS,ulp_91,93.3,95.3,97.3,93.3,4
2003-01-02,BALDIVIS,ulp_91,91.9,93.9,95.9,91.9,4
2003-01-03,BALDIVIS,ulp_91,90.9,92.9,94.9,90.9,4
2003-01-04,BALDIVIS,ulp_91,89.9,91.9,93.9,89.9,4
2003-01-05,BALDIVIS,ulp_91,89.9,91.9,93.9,89.9,4
2003-01-06,BALDIVIS,ulp_91,89.9,91.9,93.9,89.9,4
2003-01-07,BALDIVIS,ulp_91,88.9,90.9,92.9,88.9,4
2003-01-08,BALDIVIS,ulp_91,89.9,91.9,93.9,89.9,4
2003-01-09,BALDIVIS,ulp_91,98.8,100.8,102.8,98.8,4
2003-01-10,BALDIVIS,ulp_91,97.5,99.5,101.5,97.5,4
2003-01-11,BALDIVIS,ulp_91,95.9,97.9,99.9,95.9,4
2003-01-12,BALDIVIS,ulp_91,94.5,96.5,98.5,94.5,4
2003-01-13,BALDIVIS,ulp_91,93.5,95.5,97.5,93.5,4
2003-01-14,BALDIVIS,ulp_91,92.5,94.5,96.5,92.5,4
2003-01-15,BALDIVIS,ulp_91,91.5,93.5,95.5,91.5,4
2003-01-16,BALDIVIS,ulp_91,90.5,92.5,94.5,90.5,4
2003-01-17,BALDIVIS,ulp_91,98.8,100.8,102.8,98.8,4
2003-01-18,BALDIVIS,ulp_91,98.8,100.8,102.8,98.8,4
2003-01-19,BALDIVIS,ulp_91,98.8,100.8,102.8,98.8,4
2003-01-20,BALDIVIS,ulp_91,98.8,100.8,102.8,98.8,4
