date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2015-01-01,BANKSIA GROVE,premium_95,140.9,140.9,140.9,140.9,1
2015-01-02,BANKSIA GROVE,premium_95,136.9,136.9,136.9,136.9,1
2015-01-03,BANKSIA GROVE,premium_95,134.9,134.9,134.9,134.9,1
2015-01-04,BANKSIA GROVE,premium_95,129.9,129.9,129.9,129.9,1
2015-01-05,BANKSIA GROVE,premium_95,127.9,127.9,127.9,127.9,1
2015-01-06,BANKSIA GROVE,premium_95,124.9,124.9,124.9,124.9,1
2015-01-07,BANKSIA GROVE,premium_95,122.9,122.9,122.9,122.9,1
2015-01-08,BANKSIA GROVE,premium_95,135.9,135.9,135.9,135.9,1
2015-01-09,BANKSIA GROVE,premium_95,132.9,132.9,132.9,132.9,1
2015-01-10,BANKSIA GROVE,premium_95,130.9,130.9,130.9,130.9,1
2015-01-11,BANKSIA GROVE,premium_95,128.9,128.9,128.9,128.9,1
2015-01-12,BANKSIA GROVE,premium_95,126.9,126.9,126.9,126.9,1
2015-01-13,BANKSIA GROVE,premium_95,124.9,124.9,124.9,124.9,1
2015-01-14,BANKSIA GROVE,premium_95,122.9,122.9,122.9,122.9,1
2015-01-15,BANKSIA GROVE,premium_95,130.9,130.9,130.9,130.9,1
2015-01-16,BANKSIA GROVE,premium_95,127.9,127.9,127.9,127.9,1
2015-01-17,BANKSIA GROVE,premium_95,125.9,125.9,125.9,125.9,1
2015-01-18,BANKSIA GROVE,premium_95,123.9,123.9,123.9,123.9,1
2015-01-19,BANKSIA GROVE,premium_95,121.9,121.9,121.9,121.9,1
2015-01-20,BANKSIA GROVE,premium_95,119.9,119.9,119.9,119.9,1
2015-01-21,BANKSIA GROVE,premium_95,117.9,117.9,117.9,117.9,1
2015-01-22,BANKSIA GROVE,premium_95,127.9,127.9,127.9,127.9,1
2015-01-23,BANKSIA GROVE,premium_95,124.9,124.9,124.9,124.9,1
2015-01-24,BANKSIA GROVE,premium_95,122.9,122.9,122.9,122.9,1
2015-01-25,BANKSIA GROVE,premium_95,120.9,120.9,120.9,120.9,1
2015-01-26,BANKSIA GROVE,premium_95,118.9,118.9,118.9,118.9,1
2015-01-27,BANKSIA GROVE,premium_95,116.9,116.9,116.9,116.9,1
2015-01-28,BANKSIA GROVE,premium_95,114.9,114.9,114.9,114.9,1
2015-01-29,BANKSIA GROVE,premium_95,127.9,127.9,127.9,127.9,1
2015-01-30,BANKSIA GROVE,premium_95,125.9,125.9,125.9,125.9,1
2015-01-31,BANKSIA GROVE,premium_95,123.9,123.9,123.9,123.9,1
2015-02-01,BANKSIA GROVE,premium_95,121.9,121.9,121.9,121.9,1
2015-02-02,BANKSIA GROVE,premium_95,119.9,119.9,119.9,119.9,1
2015-02-03,BANKSIA GROVE,premium_95,117.9,117.9,117.9,117.9,1
2015-02-04,BANKSIA GROVE,premium_95,115.9,115.9,115.9,115.9,1
2015-02-05,BANKSIA GROVE,premium_95,130.9,130.9,130.9,130.9,1
2015-02-06,BANKSIA GROVE,premium_95,128.9,128.9,128.9,128.9,1
2015-02-07,BANKSIA GROVE,premium_95,125.9,125.9,125.9,125.9,1
2015-02-08,BANKSIA GROVE,premium_95,123.9,123.9,123.9,123.9,1
2015-02-09,BANKSIA GROVE,premium_95,121.9,121.9,121.9,121.9,1
2015-02-10,BANKSIA GROVE,premium_95,119.9,119.9,119.9,119.9,1
2015-02-11,BANKSIA GROVE,premium_95,117.9,117.9,117.9,117.9,1
2015-02-12,BANKSIA GROVE,premium_95,136.9,136.9,136.9,136.9,1
2015-02-13,BANKSIA GROVE,premium_95,136.9,136.9,136.9,136.9,1
2015-02-14,BANKSIA GROVE,premium_95,134.9,134.9,134.9,134.9,1
2015-02-15,BANKSIA GROVE,premium_95,130.9,130.9,130.9,130.9,1
2015-02-16,BANKSIA GROVE,premium_95,129.9,129.9,129.9,129.9,1
2015-02-17,BANKSIA GROVE,premium_95,126.9,126.9,126.9,126.9,1
2015-02-18,BANKSIA GROVE,premium_95,124.9,124.9,124.9,124.9,1
2015-02-19,BANKSIA GROVE,premium_95,140.9,140.9,140.9,140.9,1
2015-02-20,BANKSIA GROVE,premium_95,140.9,140.9,140.9,140.9,1
2015-02-21,BANKSIA GROVE,premium_95,136.9,136.9,136.9,136.9,1
2015-02-22,BANKSIA GROVE,premium_95,134.9,134.9,134.9,134.9,1
2015-02-23,BANKSIA GROVE,premium_95,132.9,132.9,132.9,132.9,1
2015-02-24,BANKSIA GROVE,premium_95,130.9,130.9,130.9,130.9,1
2015-02-25,BANKSIA GROVE,premium_95,128.9,128.9,128.9,128.9,1
2015-02-26,BANKSIA GROVE,premium_95,146.9,146.9,146.9,146.9,1
2015-02-27,BANKSIA GROVE,premium_95,142.9,142.9,142.9,142.9,1
2015-02-28,BANKSIA GROVE,premium_95,140.9,140.9,140.9,140.9,1
2016-01-01,BANKSIA GROVE,premium_95,132.9,132.9,132.9,132.9,1
