date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2015-01-01,BANKSIA GROVE,ulp_91,129.9,129.9,129.9,129.9,1
2015-01-02,BANKSIA GROVE,ulp_91,125.9,125.9,125.9,125.9,1
2015-01-03,BANKSIA GROVE,ulp_91,123.9,123.9,123.9,123.9,1
2015-01-04,BANKSIA GROVE,ulp_91,118.9,118.9,118.9,118.9,1
2015-01-05,BANKSIA GROVE,ulp_91,116.9,116.9,116.9,116.9,1
2015-01-06,BANKSIA GROVE,ulp_91,113.9,113.9,113.9,113.9,1
2015-01-07,BANKSIA GROVE,ulp_91,111.9,111.9,111.9,111.9,1
2015-01-08,BANKSIA GROVE,ulp_91,124.9,124.9,124.9,124.9,1
2015-01-09,BANKSIA GROVE,ulp_91,121.9,121.9,121.9,121.9,1
2015-01-10,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2015-01-11,BANKSIA GROVE,ulp_91,117.9,117.9,117.9,117.9,1
2015-01-12,BANKSIA GROVE,ulp_91,115.9,115.9,115.9,115.9,1
2015-01-13,BANKSIA GROVE,ulp_91,113.9,113.9,113.9,113.9,1
2015-01-14,BANKSIA GROVE,ulp_91,111.9,111.9,111.9,111.9,1
2015-01-15,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2015-01-16,BANKSIA GROVE,ulp_91,116.9,116.9,116.9,116.9,1
2015-01-17,BANKSIA GROVE,ulp_91,114.9,114.9,114.9,114.9,1
2015-01-18,BANKSIA GROVE,ulp_91,112.9,112.9,112.9,112.9,1
2015-01-19,BANKSIA GROVE,ulp_91,110.9,110.9,110.9,110.9,1
2015-01-20,BANKSIA GROVE,ulp_91,108.9,108.9,108.9,108.9,1
2015-01-21,BANKSIA GROVE,ulp_91,106.9,106.9,106.9,106.9,1
2015-01-22,BANKSIA GROVE,ulp_91,116.9,116.9,116.9,116.9,1
2015-01-23,BANKSIA GROVE,ulp_91,113.9,113.9,113.9,113.9,1
2015-01-24,BANKSIA GROVE,ulp_91,111.9,111.9,111.9,111.9,1
2015-01-25,BANKSIA GROVE,ulp_91,109.9,109.9,109.9,109.9,1
2015-01-26,BANKSIA GROVE,ulp_91,107.9,107.9,107.9,107.9,1
2015-01-27,BANKSIA GROVE,ulp_91,105.9,105.9,105.9,105.9,1
2015-01-28,BANKSIA GROVE,ulp_91,103.9,103.9,103.9,103.9,1
2015-01-29,BANKSIA GROVE,ulp_91,116.9,116.9,116.9,116.9,1
2015-01-30,BANKSIA GROVE,ulp_91,114.9,114.9,114.9,114.9,1
2015-01-31,BANKSIA GROVE,ulp_91,112.9,112.9,112.9,112.9,1
2015-02-01,BANKSIA GROVE,ulp_91,110.9,110.9,110.9,110.9,1
2015-02-02,BANKSIA GROVE,ulp_91,108.9,108.9,108.9,108.9,1
2015-02-03,BANKSIA GROVE,ulp_91,106.9,106.9,106.9,106.9,1
2015-02-04,BANKSIA GROVE,ulp_91,104.9,104.9,104.9,104.9,1
2015-02-05,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2015-02-06,BANKSIA GROVE,ulp_91,117.9,117.9,117.9,117.9,1
2015-02-07,BANKSIA GROVE,ulp_91,114.9,114.9,114.9,114.9,1
2015-02-08,BANKSIA GROVE,ulp_91,112.9,112.9,112.9,112.9,1
2015-02-09,BANKSIA GROVE,ulp_91,110.9,110.9,110.9,110.9,1
2015-02-10,BANKSIA GROVE,ulp_91,108.9,108.9,108.9,108.9,1
2015-02-11,BANKSIA GROVE,ulp_91,106.9,106.9,106.9,106.9,1
2015-02-12,BANKSIA GROVE,ulp_91,125.9,125.9,125.9,125.9,1
2015-02-13,BANKSIA GROVE,ulp_91,125.9,125.9,125.9,125.9,1
2015-02-14,BANKSIA GROVE,ulp_91,123.9,123.9,123.9,123.9,1
2015-02-15,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2015-02-16,BANKSIA GROVE,ulp_91,118.9,118.9,118.9,118.9,1
2015-02-17,BANKSIA GROVE,ulp_91,115.9,115.9,115.9,115.9,1
2015-02-18,BANKSIA GROVE,ulp_91,113.9,113.9,113.9,113.9,1
2015-02-19,BANKSIA GROVE,ulp_91,129.9,129.9,129.9,129.9,1
2015-02-20,BANKSIA GROVE,ulp_91,129.9,129.9,129.9,129.9,1
2015-02-21,BANKSIA GROVE,ulp_91,125.9,125.9,125.9,125.9,1
2015-02-22,BANKSIA GROVE,ulp_91,123.9,123.9,123.9,123.9,1
2015-02-23,BANKSIA GROVE,ulp_91,121.9,121.9,121.9,121.9,1
2015-02-24,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2015-02-25,BANKSIA GROVE,ulp_91,117.9,117.9,117.9,117.9,1
2015-02-26,BANKSIA GROVE,ulp_91,135.9,135.9,135.9,135.9,1
2015-02-27,BANKSIA GROVE,ulp_91,131.9,131.9,131.9,131.9,1
2015-02-28,BANKSIA GROVE,ulp_91,129.9,129.9,129.9,129.9,1
2016-01-01,BANKSIA GROVE,ulp_91,121.9,121.9,121.9,121.9,1
2016-01-02,BANKSIA GROVE,ulp_91,117.9,117.9,117.9,117.9,1
2016-01-03,BANKSIA GROVE,ulp_91,114.9,114.9,114.9,114.9,1
2016-01-04,BANKSIA GROVE,ulp_91,112.9,112.9,112.9,112.9,1
2016-01-05,BANKSIA GROVE,ulp_91,129.9,129.9,129.9,129.9,1
2016-01-06,BANKSIA GROVE,ulp_91,127.9,127.9,127.9,127.9,1
2016-01-07,BANKSIA GROVE,ulp_91,124.9,124.9,124.9,124.9,1
2016-01-08,BANKSIA GROVE,ulp_91,122.9,122.9,122.9,122.9,1
2016-01-09,BANKSIA GROVE,ulp_91,117.9,117.9,117.9,117.9,1
2016-01-10,BANKSIA GROVE,ulp_91,114.9,114.9,114.9,114.9,1
2016-01-11,BANKSIA GROVE,ulp_91,112.9,112.9,112.9,112.9,1
2016-01-12,BANKSIA GROVE,ulp_91,129.9,129.9,129.9,129.9,1
2016-01-13,BANKSIA GROVE,ulp_91,127.9,127.9,127.9,127.9,1
2016-01-14,BANKSIA GROVE,ulp_91,124.9,124.9,124.9,124.9,1
2016-01-15,BANKSIA GROVE,ulp_91,121.9,121.9,121.9,121.9,1
2016-01-16,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2016-01-17,BANKSIA GROVE,ulp_91,114.9,114.9,114.9,114.9,1
2016-01-18,BANKSIA GROVE,ulp_91,112.9,112.9,112.9,112.9,1
2016-01-19,BANKSIA GROVE,ulp_91,127.9,127.9,127.9,127.9,1
2016-01-20,BANKSIA GROVE,ulp_91,124.9,124.9,124.9,124.9,1
2016-01-21,BANKSIA GROVE,ulp_91,122.9,122.9,122.9,122.9,1
2016-01-22,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2016-01-23,BANKSIA GROVE,ulp_91,115.9,115.9,115.9,115.9,1
2016-01-24,BANKSIA GROVE,ulp_91,112.9,112.9,112.9,112.9,1
2016-01-25,BANKSIA GROVE,ulp_91,109.9,109.9,109.9,109.9,1
2016-01-26,BANKSIA GROVE,ulp_91,126.9,126.9,126.9,126.9,1
2016-01-27,BANKSIA GROVE,ulp_91,122.9,122.9,122.9,122.9,1
2016-01-28,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2016-01-29,BANKSIA GROVE,ulp_91,116.9,116.9,116.9,116.9,1
2016-01-30,BANKSIA GROVE,ulp_91,113.9,113.9,113.9,113.9,1
2016-01-31,BANKSIA GROVE,ulp_91,109.9,109.9,109.9,109.9,1
2016-02-01,BANKSIA GROVE,ulp_91,108.6,108.6,108.6,108.6,1
2016-02-02,BANKSIA GROVE,ulp_91,126.9,126.9,126.9,126.9,1
2016-02-03,BANKSIA GROVE,ulp_91,122.9,122.9,122.9,122.9,1
2016-02-04,BANKSIA GROVE,ulp_91,118.9,118.9,118.9,118.9,1
2016-02-05,BANKSIA GROVE,ulp_91,115.9,115.9,115.9,115.9,1
2016-02-06,BANKSIA GROVE,ulp_91,112.9,112.9,112.9,112.9,1
2016-02-07,BANKSIA GROVE,ulp_91,109.9,109.9,109.9,109.9,1
2016-02-08,BANKSIA GROVE,ulp_91,107.9,107.9,107.9,107.9,1
2016-02-09,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2016-02-10,BANKSIA GROVE,ulp_91,119.9,119.9,119.9,119.9,1
2016-02-11,BANKSIA GROVE,ulp_91,114.9,114.9,114.9,114.9,1
2016-02-12,BANKSIA GROVE,ulp_91,110.9,110.9,110.9,110.9,1
2016-02-13,BANKSIA GROVE,ulp_91,107.9,107.9,107.9,107.9,1
2016-02-14,BANKSIA GROVE,ulp_91,103.9,103.9,103.9,103.9,1
