date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-02,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-03,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-04,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-05,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-06,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-07,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-08,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-09,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-10,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-11,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-12,BARRAGUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-13,BARRAGUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-14,BARRAGUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-15,BARRAGUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-16,BARRAGUP,diesel,84.9,84.9,84.9,84.9,1
2002-01-17,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-18,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-19,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-20,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-21,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-22,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-23,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-24,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-25,BARRAGUP,diesel,84.7,84.7,84.7,84.7,1
2002-01-26,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-27,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-28,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-29,BARRAGUP,diesel,84.5,84.5,84.5,84.5,1
2002-01-30,BARRAGUP,diesel,83.5,83.5,83.5,83.5,1
2002-01-31,BARRAGUP,diesel,83.5,83.5,83.5,83.5,1
2002-02-01,BARRAGUP,diesel,83.5,83.5,83.5,83.5,1
2002-02-02,BARRAGUP,diesel,83.5,83.5,83.5,83.5,1
2002-02-03,BARRAGUP,diesel,83.5,83.5,83.5,83.5,1
2002-02-04,BARRAGUP,diesel,83.5,83.5,83.5,83.5,1
2002-02-05,BARRAGUP,diesel,83.3,83.3,83.3,83.3,1
2002-02-06,BARRAGUP,diesel,83.3,83.3,83.3,83.3,1
2002-02-07,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-08,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-09,BARRAGUP,diesel,82.5,82.5,82.5,82.5,1
2002-02-10,BARRAGUP,diesel,82.5,82.5,82.5,82.5,1
2002-02-11,BARRAGUP,diesel,82.5,82.5,82.5,82.5,1
2002-02-12,BARRAGUP,diesel,82.5,82.5,82.5,82.5,1
2002-02-13,BARRAGUP,diesel,82.5,82.5,82.5,82.5,1
2002-02-14,BARRAGUP,diesel,82.5,82.5,82.5,82.5,1
2002-02-15,BARRAGUP,diesel,82.5,82.5,82.5,82.5,1
2002-02-16,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-17,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-18,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-19,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-20,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-21,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-22,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-23,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-24,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-25,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-26,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-27,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2002-02-28,BARRAGUP,diesel,82.7,82.7,82.7,82.7,1
2003-01-01,BARRAGUP,diesel,94.9,94.9,94.9,94.9,1
2003-01-02,BARRAGUP,diesel,94.9,94.9,94.9,94.9,1
2003-01-03,BARRAGUP,diesel,94.9,94.9,94.9,94.9,1
2003-01-04,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-05,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-06,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-07,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-08,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-09,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-10,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-11,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-12,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-13,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
2003-01-14,BARRAGUP,diesel,95.9,95.9,95.9,95.9,1
