date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-01-01,BASSENDEAN,premium_98,137.9,137.9,137.9,137.9,1
2016-01-02,BASSENDEAN,premium_98,134.9,134.9,134.9,134.9,1
2016-01-03,BASSENDEAN,premium_98,132.9,132.9,132.9,132.9,1
2016-01-04,BASSENDEAN,premium_98,128.9,128.9,128.9,128.9,1
2016-01-05,BASSENDEAN,premium_98,147.9,147.9,147.9,147.9,1
2016-01-06,BASSENDEAN,premium_98,145.9,145.9,145.9,145.9,1
2016-01-07,BASSENDEAN,premium_98,141.9,141.9,141.9,141.9,1
2016-01-08,BASSENDEAN,premium_98,138.9,138.9,138.9,138.9,1
2016-01-09,BASSENDEAN,premium_98,133.9,133.9,133.9,133.9,1
2016-01-10,BASSENDEAN,premium_98,131.9,131.9,131.9,131.9,1
2016-01-11,BASSENDEAN,premium_98,127.9,127.9,127.9,127.9,1
2016-01-12,BASSENDEAN,premium_98,147.9,147.9,147.9,147.9,1
2016-01-13,BASSENDEAN,premium_98,145.9,145.9,145.9,145.9,1
2016-01-14,BASSENDEAN,premium_98,142.9,142.9,142.9,142.9,1
2016-01-15,BASSENDEAN,premium_98,139.9,139.9,139.9,139.9,1
2016-01-16,BASSENDEAN,premium_98,134.9,134.9,134.9,134.9,1
2016-01-17,BASSENDEAN,premium_98,132.9,132.9,132.9,132.9,1
2016-01-18,BASSENDEAN,premium_98,128.9,128.9,128.9,128.9,1
2016-01-19,BASSENDEAN,premium_98,145.9,145.9,145.9,145.9,1
2016-01-20,BASSENDEAN,premium_98,143.9,143.9,143.9,143.9,1
2016-01-21,BASSENDEAN,premium_98,139.9,139.9,139.9,139.9,1
2016-01-22,BASSENDEAN,premium_98,136.9,136.9,136.9,136.9,1
2016-01-23,BASSENDEAN,premium_98,132.9,132.9,132.9,132.9,1
2016-01-24,BASSENDEAN,premium_98,128.9,128.9,128.9,128.9,1
2016-01-25,BASSENDEAN,premium_98,125.9,125.9,125.9,125.9,1
2016-01-26,BASSENDEAN,premium_98,143.9,143.9,143.9,143.9,1
2016-01-27,BASSENDEAN,premium_98,139.9,139.9,139.9,139.9,1
