date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BECKENHAM,diesel,83.5,85.7,87.9,83.5,2
2002-01-02,BECKENHAM,diesel,83.5,85.7,87.9,83.5,2
2002-01-03,BECKENHAM,diesel,83.5,85.7,87.9,83.5,2
2002-01-04,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-05,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-06,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-07,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-08,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-09,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-10,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-11,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-12,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-13,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-14,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-15,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-16,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-17,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-18,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-19,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-20,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-21,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-22,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-23,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-24,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-25,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-26,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-27,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-28,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-29,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-30,BECKENHAM,diesel,82.9,85.4,87.9,82.9,2
2002-01-31,BECKENHAM,diesel,82.9,84.9,86.9,82.9,2
2002-02-01,BECKENHAM,diesel,82.9,84.9,86.9,82.9,2
2002-02-02,BECKENHAM,diesel,82.9,84.9,86.9,82.9,2
2002-02-03,BECKENHAM,diesel,82.9,84.9,86.9,82.9,2
2002-02-04,BECKENHAM,diesel,82.9,84.9,86.9,82.9,2
