date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BEDFORD,premium_95,87.7,87.7,87.7,87.7,1
2002-01-02,BEDFORD,premium_95,86.5,86.5,86.5,86.5,1
2002-01-03,BEDFORD,premium_95,85.5,85.5,85.5,85.5,1
2002-01-04,BEDFORD,premium_95,84.3,84.3,84.3,84.3,1
2002-01-05,BEDFORD,premium_95,83.5,83.5,83.5,83.5,1
2002-01-06,BEDFORD,premium_95,83.5,83.5,83.5,83.5,1
2002-01-07,BEDFORD,premium_95,82.5,82.5,82.5,82.5,1
2002-01-08,BEDFORD,premium_95,92.9,92.9,92.9,92.9,1
2002-01-09,BEDFORD,premium_95,92.4,92.4,92.4,92.4,1
2002-01-10,BEDFORD,premium_95,90.9,90.9,90.9,90.9,1
2002-01-11,BEDFORD,premium_95,89.7,89.7,89.7,89.7,1
2002-01-12,BEDFORD,premium_95,88.2,88.2,88.2,88.2,1
2002-01-13,BEDFORD,premium_95,86.3,86.3,86.3,86.3,1
2002-01-14,BEDFORD,premium_95,85.5,85.5,85.5,85.5,1
2002-01-15,BEDFORD,premium_95,83.9,83.9,83.9,83.9,1
2002-01-16,BEDFORD,premium_95,82.9,82.9,82.9,82.9,1
2002-01-17,BEDFORD,premium_95,90.5,90.5,90.5,90.5,1
2002-01-18,BEDFORD,premium_95,87.5,87.5,87.5,87.5,1
2002-01-19,BEDFORD,premium_95,86.9,86.9,86.9,86.9,1
2002-01-20,BEDFORD,premium_95,86.9,86.9,86.9,86.9,1
2002-01-21,BEDFORD,premium_95,85.9,85.9,85.9,85.9,1
2002-01-22,BEDFORD,premium_95,83.7,83.7,83.7,83.7,1
2002-01-23,BEDFORD,premium_95,81.9,81.9,81.9,81.9,1
2002-01-24,BEDFORD,premium_95,90.9,90.9,90.9,90.9,1
2002-01-25,BEDFORD,premium_95,89.9,89.9,89.9,89.9,1
2002-01-26,BEDFORD,premium_95,87.5,87.5,87.5,87.5,1
2002-01-27,BEDFORD,premium_95,86.3,86.3,86.3,86.3,1
2002-01-28,BEDFORD,premium_95,84.3,84.3,84.3,84.3,1
2002-01-29,BEDFORD,premium_95,84.3,84.3,84.3,84.3,1
2002-01-30,BEDFORD,premium_95,82.1,82.1,82.1,82.1,1
2002-01-31,BEDFORD,premium_95,80.8,80.8,80.8,80.8,1
2002-02-01,BEDFORD,premium_95,91.9,91.9,91.9,91.9,1
2002-02-02,BEDFORD,premium_95,91.9,91.9,91.9,91.9,1
2002-02-03,BEDFORD,premium_95,87.5,87.5,87.5,87.5,1
2002-02-04,BEDFORD,premium_95,84.5,84.5,84.5,84.5,1
2002-02-05,BEDFORD,premium_95,82.9,82.9,82.9,82.9,1
2002-02-06,BEDFORD,premium_95,82.3,82.3,82.3,82.3,1
2002-02-07,BEDFORD,premium_95,82.3,82.3,82.3,82.3,1
2002-02-08,BEDFORD,premium_95,81.9,81.9,81.9,81.9,1
2002-02-09,BEDFORD,premium_95,81.5,81.5,81.5,81.5,1
2002-02-10,BEDFORD,premium_95,81.5,81.5,81.5,81.5,1
2002-02-11,BEDFORD,premium_95,94.9,94.9,94.9,94.9,1
2002-02-12,BEDFORD,premium_95,90.3,90.3,90.3,90.3,1
2002-02-13,BEDFORD,premium_95,89.7,89.7,89.7,89.7,1
2002-02-14,BEDFORD,premium_95,88.5,88.5,88.5,88.5,1
2002-02-15,BEDFORD,premium_95,87.5,87.5,87.5,87.5,1
2002-02-16,BEDFORD,premium_95,86.5,86.5,86.5,86.5,1
2002-02-17,BEDFORD,premium_95,85.3,85.3,85.3,85.3,1
2002-02-18,BEDFORD,premium_95,85.3,85.3,85.3,85.3,1
2002-02-19,BEDFORD,premium_95,96.9,96.9,96.9,96.9,1
2002-02-20,BEDFORD,premium_95,95.9,95.9,95.9,95.9,1
2002-02-21,BEDFORD,premium_95,93.5,93.5,93.5,93.5,1
2002-02-22,BEDFORD,premium_95,90.9,90.9,90.9,90.9,1
2002-02-23,BEDFORD,premium_95,88.9,88.9,88.9,88.9,1
2002-02-24,BEDFORD,premium_95,87.9,87.9,87.9,87.9,1
2002-02-25,BEDFORD,premium_95,87.9,87.9,87.9,87.9,1
2002-02-26,BEDFORD,premium_95,86.5,86.5,86.5,86.5,1
2002-02-27,BEDFORD,premium_95,85.9,85.9,85.9,85.9,1
2002-02-28,BEDFORD,premium_95,84.7,84.7,84.7,84.7,1
2003-01-01,BEDFORD,premium_95,102.5,102.5,102.5,102.5,1
2003-01-02,BEDFORD,premium_95,97.3,97.3,97.3,97.3,1
2003-01-03,BEDFORD,premium_95,96.3,96.3,96.3,96.3,1
2003-01-04,BEDFORD,premium_95,95.5,95.5,95.5,95.5,1
2003-01-05,BEDFORD,premium_95,94.9,94.9,94.9,94.9,1
2003-01-06,BEDFORD,premium_95,94.9,94.9,94.9,94.9,1
2003-01-07,BEDFORD,premium_95,94.5,94.5,94.5,94.5,1
2003-01-08,BEDFORD,premium_95,95.9,95.9,95.9,95.9,1
2003-01-09,BEDFORD,premium_95,95.9,95.9,95.9,95.9,1
