date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-02,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-03,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-04,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-05,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-06,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-07,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-08,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-09,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-10,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-11,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-12,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-13,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-14,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-15,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-16,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-17,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-18,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-19,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-20,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-21,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-22,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-23,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-24,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-25,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-26,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-27,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-28,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-29,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-30,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-01-31,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-01,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-02,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-03,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-04,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-05,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-06,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-07,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-08,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-09,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-10,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-11,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-12,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-13,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-14,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-15,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-16,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-17,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-18,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-19,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-20,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-21,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-22,BEECHBORO,diesel,86.9,86.9,86.9,86.9,2
2002-02-23,BEECHBORO,diesel,85.9,86.4,86.9,85.9,2
2002-02-24,BEECHBORO,diesel,85.9,86.4,86.9,85.9,2
2002-02-25,BEECHBORO,diesel,85.9,86.4,86.9,85.9,2
2002-02-26,BEECHBORO,diesel,85.9,86.4,86.9,85.9,2
2002-02-27,BEECHBORO,diesel,85.9,86.4,86.9,85.9,2
2002-02-28,BEECHBORO,diesel,85.9,86.4,86.9,85.9,2
2003-01-01,BEECHBORO,diesel,96.9,96.9,96.9,96.9,2
2003-01-02,BEECHBORO,diesel,96.9,96.9,96.9,96.9,2
2003-01-03,BEECHBORO,diesel,96.9,97.4,97.9,96.9,2
2003-01-04,BEECHBORO,diesel,96.9,97.4,97.9,96.9,2
2003-01-05,BEECHBORO,diesel,96.9,97.4,97.9,96.9,2
2003-01-06,BEECHBORO,diesel,96.9,97.4,97.9,96.9,2
2003-01-07,BEECHBORO,diesel,96.9,97.4,97.9,96.9,2
2003-01-08,BEECHBORO,diesel,99.9,99.9,99.9,99.9,2
2003-01-09,BEECHBORO,diesel,99.9,99.9,99.9,99.9,2
2003-01-10,BEECHBORO,diesel,99.9,99.9,99.9,99.9,2
2003-01-11,BEECHBORO,diesel,99.9,99.9,99.9,99.9,2
2003-01-12,BEECHBORO,diesel,99.9,99.9,99.9,99.9,2
2003-01-13,BEECHBORO,diesel,99.9,99.9,99.9,99.9,2
2003-01-14,BEECHBORO,diesel,97.9,98.9,99.9,97.9,2
2003-01-15,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-16,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-17,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-18,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-19,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-20,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-21,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-22,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-23,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-24,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-25,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-26,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-27,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-28,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-29,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-30,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-01-31,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-02-01,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
2003-02-02,BEECHBORO,diesel,97.9,97.9,97.9,97.9,2
