date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BEECHBORO,ulp_91,83.5,85.3,87.0,83.5,4
2002-01-02,BEECHBORO,ulp_91,81.7,83.5,85.2,81.7,4
2002-01-03,BEECHBORO,ulp_91,80.7,82.4,84.2,80.7,4
2002-01-04,BEECHBORO,ulp_91,79.5,81.3,83.0,79.5,4
2002-01-05,BEECHBORO,ulp_91,78.3,80.1,81.8,78.3,4
2002-01-06,BEECHBORO,ulp_91,78.3,80.1,81.8,78.3,4
2002-01-07,BEECHBORO,ulp_91,77.3,79.1,80.8,77.3,4
2002-01-08,BEECHBORO,ulp_91,87.7,89.5,91.2,87.7,4
2002-01-09,BEECHBORO,ulp_91,87.2,89.0,90.7,87.2,4
2002-01-10,BEECHBORO,ulp_91,85.7,87.5,89.2,85.7,4
2002-01-11,BEECHBORO,ulp_91,84.5,86.3,88.0,84.5,4
2002-01-12,BEECHBORO,ulp_91,83.7,85.5,87.2,83.7,4
2002-01-13,BEECHBORO,ulp_91,82.5,84.3,86.0,82.5,4
2002-01-14,BEECHBORO,ulp_91,80.7,82.5,84.5,80.7,4
2002-01-15,BEECHBORO,ulp_91,78.7,80.5,82.2,78.7,4
2002-01-16,BEECHBORO,ulp_91,77.7,79.4,81.1,77.7,4
2002-01-17,BEECHBORO,ulp_91,85.3,87.1,88.8,85.3,4
2002-01-18,BEECHBORO,ulp_91,82.3,84.1,85.8,82.3,4
2002-01-19,BEECHBORO,ulp_91,82.0,83.8,85.5,82.0,4
2002-01-20,BEECHBORO,ulp_91,82.0,83.8,85.5,82.0,4
2002-01-21,BEECHBORO,ulp_91,80.7,82.5,84.2,80.7,4
2002-01-22,BEECHBORO,ulp_91,78.7,80.5,82.2,78.7,4
2002-01-23,BEECHBORO,ulp_91,77.3,79.1,80.8,77.3,4
2002-01-24,BEECHBORO,ulp_91,85.7,87.5,89.2,85.7,4
2002-01-25,BEECHBORO,ulp_91,84.7,86.5,88.2,84.7,4
2002-01-26,BEECHBORO,ulp_91,82.7,84.5,86.2,82.7,4
2002-01-27,BEECHBORO,ulp_91,80.9,82.8,84.6,80.9,4
2002-01-28,BEECHBORO,ulp_91,79.7,81.5,83.2,79.7,4
2002-01-29,BEECHBORO,ulp_91,78.9,81.0,83.2,78.9,4
2002-01-30,BEECHBORO,ulp_91,76.9,78.7,80.4,76.9,4
2002-01-31,BEECHBORO,ulp_91,75.5,77.3,79.0,75.5,4
2002-02-01,BEECHBORO,ulp_91,86.7,88.5,90.2,86.7,4
2002-02-02,BEECHBORO,ulp_91,86.7,88.5,90.2,86.7,4
2002-02-03,BEECHBORO,ulp_91,82.3,84.1,85.8,82.3,4
2002-02-04,BEECHBORO,ulp_91,79.3,81.1,82.8,79.3,4
2002-02-05,BEECHBORO,ulp_91,77.7,79.5,81.2,77.7,4
2002-02-06,BEECHBORO,ulp_91,76.9,79.0,80.9,76.9,4
2002-02-07,BEECHBORO,ulp_91,76.7,78.5,80.2,76.7,4
2002-02-08,BEECHBORO,ulp_91,76.7,78.5,80.2,76.7,4
2002-02-09,BEECHBORO,ulp_91,76.5,78.5,80.4,76.5,4
2002-02-10,BEECHBORO,ulp_91,76.5,78.5,80.4,76.5,4
2002-02-11,BEECHBORO,ulp_91,89.9,91.5,93.2,89.9,4
2002-02-12,BEECHBORO,ulp_91,87.5,89.3,91.0,87.5,4
2002-02-13,BEECHBORO,ulp_91,86.3,88.1,89.8,86.3,4
