date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2014-01-01,BEELIAR,premium_98,165.9,165.9,165.9,165.9,1
2014-01-02,BEELIAR,premium_98,181.9,181.9,181.9,181.9,1
2014-01-03,BEELIAR,premium_98,178.9,178.9,178.9,178.9,1
2014-01-04,BEELIAR,premium_98,176.9,176.9,176.9,176.9,1
2014-01-05,BEELIAR,premium_98,174.5,174.5,174.5,174.5,1
2014-01-06,BEELIAR,premium_98,172.5,172.5,172.5,172.5,1
2014-01-07,BEELIAR,premium_98,169.9,169.9,169.9,169.9,1
2014-01-08,BEELIAR,premium_98,167.9,167.9,167.9,167.9,1
2014-01-09,BEELIAR,premium_98,181.9,181.9,181.9,181.9,1
2014-01-10,BEELIAR,premium_98,177.9,177.9,177.9,177.9,1
2014-01-11,BEELIAR,premium_98,174.9,174.9,174.9,174.9,1
2014-01-12,BEELIAR,premium_98,173.5,173.5,173.5,173.5,1
2014-01-13,BEELIAR,premium_98,171.5,171.5,171.5,171.5,1
2014-01-14,BEELIAR,premium_98,168.9,168.9,168.9,168.9,1
2014-01-15,BEELIAR,premium_98,166.9,166.9,166.9,166.9,1
2014-01-16,BEELIAR,premium_98,176.9,176.9,176.9,176.9,1
2014-01-17,BEELIAR,premium_98,175.9,175.9,175.9,175.9,1
2014-01-18,BEELIAR,premium_98,172.9,172.9,172.9,172.9,1
2014-01-19,BEELIAR,premium_98,171.9,171.9,171.9,171.9,1
2014-01-20,BEELIAR,premium_98,168.9,168.9,168.9,168.9,1
2014-01-21,BEELIAR,premium_98,166.9,166.9,166.9,166.9,1
2014-01-22,BEELIAR,premium_98,165.9,165.9,165.9,165.9,1
2014-01-23,BEELIAR,premium_98,176.9,176.9,176.9,176.9,1
2014-01-24,BEELIAR,premium_98,175.9,175.9,175.9,175.9,1
2014-01-25,BEELIAR,premium_98,173.5,173.5,173.5,173.5,1
2014-01-26,BEELIAR,premium_98,170.9,170.9,170.9,170.9,1
2014-01-27,BEELIAR,premium_98,169.9,169.9,169.9,169.9,1
2014-01-28,BEELIAR,premium_98,166.9,166.9,166.9,166.9,1
2014-01-29,BEELIAR,premium_98,165.9,165.9,165.9,165.9,1
2014-01-30,BEELIAR,premium_98,178.9,178.9,178.9,178.9,1
2014-01-31,BEELIAR,premium_98,176.9,176.9,176.9,176.9,1
2014-02-01,BEELIAR,premium_98,174.9,174.9,174.9,174.9,1
2014-02-02,BEELIAR,premium_98,172.9,172.9,172.9,172.9,1
2014-02-03,BEELIAR,premium_98,169.9,169.9,169.9,169.9,1
2014-02-04,BEELIAR,premium_98,168.9,168.9,168.9,168.9,1
2014-02-05,BEELIAR,premium_98,166.9,166.9,166.9,166.9,1
2014-02-06,BEELIAR,premium_98,178.9,178.9,178.9,178.9,1
2014-02-07,BEELIAR,premium_98,176.9,176.9,176.9,176.9,1
2014-02-08,BEELIAR,premium_98,175.5,175.5,175.5,175.5,1
2014-02-09,BEELIAR,premium_98,173.5,173.5,173.5,173.5,1
2014-02-10,BEELIAR,premium_98,169.9,169.9,169.9,169.9,1
2014-02-11,BEELIAR,premium_98,168.5,168.5,168.5,168.5,1
2014-02-12,BEELIAR,premium_98,166.9,166.9,166.9,166.9,1
2014-02-13,BEELIAR,premium_98,176.9,176.9,176.9,176.9,1
2014-02-14,BEELIAR,premium_98,174.9,174.9,174.9,174.9,1
2014-02-15,BEELIAR,premium_98,173.5,173.5,173.5,173.5,1
2014-02-16,BEELIAR,premium_98,170.9,170.9,170.9,170.9,1
2014-02-17,BEELIAR,premium_98,168.9,168.9,168.9,168.9,1
2014-02-18,BEELIAR,premium_98,166.9,166.9,166.9,166.9,1
2014-02-19,BEELIAR,premium_98,165.9,165.9,165.9,165.9,1
2014-02-20,BEELIAR,premium_98,176.9,176.9,176.9,176.9,1
2014-02-21,BEELIAR,premium_98,175.9,175.9,175.9,175.9,1
2014-02-22,BEELIAR,premium_98,172.9,172.9,172.9,172.9,1
2014-02-23,BEELIAR,premium_98,171.9,171.9,171.9,171.9,1
2014-02-24,BEELIAR,premium_98,168.9,168.9,168.9,168.9,1
2014-02-25,BEELIAR,premium_98,166.9,166.9,166.9,166.9,1
2014-02-26,BEELIAR,premium_98,165.9,165.9,165.9,165.9,1
2014-02-27,BEELIAR,premium_98,179.9,179.9,179.9,179.9,1
2014-02-28,BEELIAR,premium_98,176.9,176.9,176.9,176.9,1
2015-01-01,BEELIAR,premium_98,146.9,146.9,146.9,146.9,1
2015-01-02,BEELIAR,premium_98,142.9,142.9,142.9,142.9,1
2015-01-03,BEELIAR,premium_98,140.9,140.9,140.9,140.9,1
2015-01-04,BEELIAR,premium_98,135.9,135.9,135.9,135.9,1
