date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BELLEVUE,diesel,84.4,85.6,87.9,84.4,3
2002-01-02,BELLEVUE,diesel,84.4,85.6,87.9,84.4,3
2002-01-03,BELLEVUE,diesel,83.9,85.4,87.9,83.9,3
2002-01-04,BELLEVUE,diesel,83.9,85.2,87.9,83.9,3
2002-01-05,BELLEVUE,diesel,83.9,85.2,87.9,83.9,3
2002-01-06,BELLEVUE,diesel,83.9,85.2,87.9,83.9,3
2002-01-07,BELLEVUE,diesel,83.9,85.2,87.9,83.9,3
2002-01-08,BELLEVUE,diesel,83.5,85.1,87.9,83.5,3
2002-01-09,BELLEVUE,diesel,83.5,84.4,85.9,83.5,3
2002-01-10,BELLEVUE,diesel,82.9,84.1,85.9,82.9,3
2002-01-11,BELLEVUE,diesel,82.9,84.1,85.9,82.9,3
2002-01-12,BELLEVUE,diesel,82.7,83.8,85.9,82.7,3
2002-01-13,BELLEVUE,diesel,82.7,83.8,85.9,82.7,3
2002-01-14,BELLEVUE,diesel,82.7,83.8,85.9,82.7,3
2002-01-15,BELLEVUE,diesel,82.3,83.6,85.9,82.3,3
2002-01-16,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-17,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-18,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-19,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-20,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-21,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-22,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-23,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-24,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-25,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-26,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-27,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-28,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-29,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-30,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-01-31,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-02-01,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-02-02,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-02-03,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-02-04,BELLEVUE,diesel,82.3,83.5,85.9,82.3,3
2002-02-05,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-06,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-07,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-08,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-09,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-10,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-11,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-12,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-13,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-14,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-15,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-16,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-17,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-18,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-19,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-20,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-21,BELLEVUE,diesel,82.3,82.5,82.9,82.3,3
2002-02-22,BELLEVUE,diesel,81.9,82.4,82.9,81.9,3
2002-02-23,BELLEVUE,diesel,81.9,82.4,82.9,81.9,3
2002-02-24,BELLEVUE,diesel,81.9,82.2,82.9,81.9,3
2002-02-25,BELLEVUE,diesel,81.9,82.2,82.9,81.9,3
2002-02-26,BELLEVUE,diesel,81.9,82.2,82.9,81.9,3
2002-02-27,BELLEVUE,diesel,81.9,82.2,82.9,81.9,3
2002-02-28,BELLEVUE,diesel,81.9,82.2,82.9,81.9,3
2003-01-01,BELLEVUE,diesel,90.9,92.9,96.9,90.9,3
2003-01-02,BELLEVUE,diesel,90.9,92.9,96.9,90.9,3
2003-01-03,BELLEVUE,diesel,90.9,92.9,96.9,90.9,3
2003-01-04,BELLEVUE,diesel,90.9,93.6,98.9,90.9,3
2003-01-05,BELLEVUE,diesel,90.9,93.9,98.9,90.9,3
2003-01-06,BELLEVUE,diesel,91.5,94.1,98.9,91.5,3
2003-01-07,BELLEVUE,diesel,91.5,94.1,98.9,91.5,3
2003-01-08,BELLEVUE,diesel,91.5,94.1,98.9,91.5,3
2003-01-09,BELLEVUE,diesel,91.9,93.9,96.9,91.9,3
2003-01-10,BELLEVUE,diesel,91.9,93.9,96.9,91.9,3
2003-01-11,BELLEVUE,diesel,91.9,93.8,96.9,91.9,3
2003-01-12,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-13,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-14,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-15,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-16,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-17,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-18,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-19,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-20,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-21,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-22,BELLEVUE,diesel,91.9,93.6,96.9,91.9,3
2003-01-23,BELLEVUE,diesel,91.9,94.2,96.9,91.9,3
2003-01-24,BELLEVUE,diesel,92.9,94.6,96.9,92.9,3
2003-01-25,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-01-26,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-01-27,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-01-28,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-01-29,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-01-30,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-01-31,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-02-01,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-02-02,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-02-03,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-02-04,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-02-05,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-02-06,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-02-07,BELLEVUE,diesel,92.9,94.2,96.9,92.9,3
2003-02-08,BELLEVUE,diesel,92.9,94.9,96.9,92.9,3
2003-02-09,BELLEVUE,diesel,93.9,95.2,96.9,93.9,3
2003-02-10,BELLEVUE,diesel,93.9,95.1,96.9,93.9,3
2003-02-11,BELLEVUE,diesel,93.9,95.1,96.9,93.9,3
2003-02-12,BELLEVUE,diesel,93.9,95.1,96.9,93.9,3
2003-02-13,BELLEVUE,diesel,93.9,95.8,98.9,93.9,3
2003-02-14,BELLEVUE,diesel,94.5,97.3,102.9,94.5,3
2003-02-15,BELLEVUE,diesel,95.9,98.9,102.9,95.9,3
2003-02-16,BELLEVUE,diesel,97.9,99.6,102.9,97.9,3
2003-02-17,BELLEVUE,diesel,97.9,99.6,102.9,97.9,3
2003-02-18,BELLEVUE,diesel,97.9,99.6,102.9,97.9,3
2003-02-19,BELLEVUE,diesel,97.9,99.6,102.9,97.9,3
2003-02-20,BELLEVUE,diesel,97.9,99.6,102.9,97.9,3
2003-02-21,BELLEVUE,diesel,97.9,99.6,102.9,97.9,3
2003-02-22,BELLEVUE,diesel,97.9,99.9,102.9,97.9,3
2003-02-23,BELLEVUE,diesel,98.9,100.2,102.9,98.9,3
2003-02-24,BELLEVUE,diesel,98.9,100.2,102.9,98.9,3
2003-02-25,BELLEVUE,diesel,98.9,100.2,102.9,98.9,3
2003-02-26,BELLEVUE,diesel,98.9,100.2,102.9,98.9,3
2003-02-27,BELLEVUE,diesel,98.9,100.2,102.9,98.9,3
2003-02-28,BELLEVUE,diesel,98.9,100.2,102.9,98.9,3
2004-01-01,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-02,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-03,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-04,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-05,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-06,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-07,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-08,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-09,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-10,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-11,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
2004-01-12,BELLEVUE,diesel,89.7,90.8,92.9,89.7,3
