date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BELLEVUE,lpg,42.6,42.7,42.9,42.6,3
2002-01-02,BELLEVUE,lpg,42.6,42.7,42.9,42.6,3
2002-01-03,BELLEVUE,lpg,42.6,42.7,42.9,42.6,3
2002-01-04,BELLEVUE,lpg,42.5,42.6,42.6,42.5,3
2002-01-05,BELLEVUE,lpg,42.4,42.5,42.5,42.4,3
2002-01-06,BELLEVUE,lpg,42.4,42.5,42.5,42.4,3
2002-01-07,BELLEVUE,lpg,42.4,42.5,42.5,42.4,3
2002-01-08,BELLEVUE,lpg,42.3,42.4,42.4,42.3,3
2002-01-09,BELLEVUE,lpg,42.2,44.2,47.9,42.2,3
2002-01-10,BELLEVUE,lpg,46.9,47.6,47.9,46.9,3
2002-01-11,BELLEVUE,lpg,46.9,47.6,47.9,46.9,3
2002-01-12,BELLEVUE,lpg,46.9,47.2,47.9,46.9,3
2002-01-13,BELLEVUE,lpg,46.9,47.2,47.9,46.9,3
2002-01-14,BELLEVUE,lpg,46.9,47.2,47.9,46.9,3
2002-01-15,BELLEVUE,lpg,46.9,46.9,46.9,46.9,3
2002-01-16,BELLEVUE,lpg,46.5,46.8,46.9,46.5,3
2002-01-17,BELLEVUE,lpg,46.5,46.6,46.9,46.5,3
2002-01-18,BELLEVUE,lpg,46.5,46.5,46.5,46.5,3
2002-01-19,BELLEVUE,lpg,46.5,46.5,46.5,46.5,3
2002-01-20,BELLEVUE,lpg,45.5,46.2,46.5,45.5,3
2002-01-21,BELLEVUE,lpg,45.5,46.2,46.5,45.5,3
2002-01-22,BELLEVUE,lpg,45.3,45.7,46.3,45.3,3
2002-01-23,BELLEVUE,lpg,45.3,45.6,46.3,45.3,3
2002-01-24,BELLEVUE,lpg,44.9,45.4,46.3,44.9,3
2002-01-25,BELLEVUE,lpg,44.9,45.0,45.1,44.9,3
2002-01-26,BELLEVUE,lpg,44.8,44.9,44.9,44.8,3
2002-01-27,BELLEVUE,lpg,44.8,44.9,44.9,44.8,3
2002-01-28,BELLEVUE,lpg,44.8,44.9,44.9,44.8,3
2002-01-29,BELLEVUE,lpg,44.8,44.9,44.9,44.8,3
2002-01-30,BELLEVUE,lpg,44.7,44.8,44.9,44.7,3
2002-01-31,BELLEVUE,lpg,44.7,44.7,44.8,44.7,3
2002-02-01,BELLEVUE,lpg,44.5,45.0,45.9,44.5,3
2002-02-02,BELLEVUE,lpg,44.5,45.0,45.9,44.5,3
2002-02-03,BELLEVUE,lpg,44.5,45.0,45.9,44.5,3
2002-02-04,BELLEVUE,lpg,44.5,45.0,45.9,44.5,3
2002-02-05,BELLEVUE,lpg,44.5,45.0,45.9,44.5,3
2002-02-06,BELLEVUE,lpg,44.5,45.0,45.9,44.5,3
2002-02-07,BELLEVUE,lpg,43.7,44.7,45.9,43.7,3
2002-02-08,BELLEVUE,lpg,43.7,44.7,45.9,43.7,3
2002-02-09,BELLEVUE,lpg,43.7,44.6,45.9,43.7,3
2002-02-10,BELLEVUE,lpg,43.7,44.6,45.9,43.7,3
2002-02-11,BELLEVUE,lpg,43.7,43.9,44.2,43.7,3
2002-02-12,BELLEVUE,lpg,43.5,43.6,43.7,43.5,3
2002-02-13,BELLEVUE,lpg,43.5,43.6,43.7,43.5,3
2002-02-14,BELLEVUE,lpg,43.5,43.6,43.7,43.5,3
2002-02-15,BELLEVUE,lpg,42.9,43.4,43.7,42.9,3
2002-02-16,BELLEVUE,lpg,42.9,43.1,43.5,42.9,3
2002-02-17,BELLEVUE,lpg,42.9,42.9,42.9,42.9,3
2002-02-18,BELLEVUE,lpg,42.9,42.9,42.9,42.9,3
2002-02-19,BELLEVUE,lpg,42.5,42.8,42.9,42.5,3
2002-02-20,BELLEVUE,lpg,42.5,42.6,42.9,42.5,3
2002-02-21,BELLEVUE,lpg,42.5,42.5,42.5,42.5,3
2002-02-22,BELLEVUE,lpg,42.5,42.5,42.5,42.5,3
2002-02-23,BELLEVUE,lpg,42.3,42.4,42.5,42.3,3
2002-02-24,BELLEVUE,lpg,39.9,41.6,42.5,39.9,3
2002-02-25,BELLEVUE,lpg,39.9,41.2,42.3,39.9,3
2002-02-26,BELLEVUE,lpg,39.9,40.4,41.5,39.9,3
2002-02-27,BELLEVUE,lpg,39.9,41.9,45.9,39.9,3
2002-02-28,BELLEVUE,lpg,39.9,41.9,45.9,39.9,3
2003-01-01,BELLEVUE,lpg,47.5,47.6,47.9,47.5,3
2003-01-02,BELLEVUE,lpg,47.5,47.6,47.9,47.5,3
2003-01-03,BELLEVUE,lpg,47.5,47.6,47.9,47.5,3
2003-01-04,BELLEVUE,lpg,47.5,47.6,47.9,47.5,3
2003-01-05,BELLEVUE,lpg,47.5,50.0,54.9,47.5,3
2003-01-06,BELLEVUE,lpg,47.5,50.0,54.9,47.5,3
2003-01-07,BELLEVUE,lpg,47.5,50.0,54.9,47.5,3
2003-01-08,BELLEVUE,lpg,47.5,50.8,54.9,47.5,3
2003-01-09,BELLEVUE,lpg,46.9,49.8,54.9,46.9,3
2003-01-10,BELLEVUE,lpg,46.9,49.6,54.5,46.9,3
2003-01-11,BELLEVUE,lpg,46.9,49.4,53.9,46.9,3
2003-01-12,BELLEVUE,lpg,46.9,49.1,53.5,46.9,3
2003-01-13,BELLEVUE,lpg,46.9,48.8,52.5,46.9,3
2003-01-14,BELLEVUE,lpg,46.9,48.4,51.3,46.9,3
2003-01-15,BELLEVUE,lpg,46.9,47.9,49.9,46.9,3
2003-01-16,BELLEVUE,lpg,46.9,47.9,49.9,46.9,3
2003-01-17,BELLEVUE,lpg,46.9,47.6,48.9,46.9,3
2003-01-18,BELLEVUE,lpg,46.9,47.6,48.9,46.9,3
2003-01-19,BELLEVUE,lpg,46.9,47.6,48.9,46.9,3
2003-01-20,BELLEVUE,lpg,46.9,50.6,57.9,46.9,3
2003-01-21,BELLEVUE,lpg,46.5,50.4,57.9,46.5,3
2003-01-22,BELLEVUE,lpg,46.5,49.0,53.7,46.5,3
2003-01-23,BELLEVUE,lpg,46.9,51.4,53.7,46.9,3
