date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-02,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-03,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-04,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-05,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-06,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-07,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-08,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-09,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-10,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-11,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-12,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-13,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-14,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-15,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-16,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-17,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-18,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-19,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-20,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-21,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-22,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-23,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-24,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-25,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-26,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-27,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-28,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-29,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-30,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-01-31,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-02-01,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-02-02,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-02-03,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-02-04,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-02-05,BENGER,ulp_91,89.7,91.7,93.7,89.7,2
2002-02-06,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-07,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-08,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-09,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-10,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-11,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-12,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-13,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-14,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-15,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-16,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-17,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-18,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-19,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-20,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-21,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-22,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-23,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-24,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-25,BENGER,ulp_91,93.2,93.7,94.2,93.2,2
2002-02-26,BENGER,ulp_91,96.2,96.7,97.2,96.2,2
2002-02-27,BENGER,ulp_91,96.2,96.7,97.2,96.2,2
2002-02-28,BENGER,ulp_91,96.2,96.7,97.2,96.2,2
2003-01-01,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-02,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-03,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-04,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-05,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-06,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-07,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-08,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-09,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-10,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-11,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-12,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-13,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-14,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-15,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-16,BENGER,ulp_91,99.6,99.6,99.6,99.6,1
2003-01-17,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-18,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-19,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-20,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-21,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-22,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-23,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-24,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-25,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
2003-01-26,BENGER,ulp_91,102.6,102.6,102.6,102.6,1
