date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BENTLEY,lpg,39.9,40.4,40.9,39.9,3
2002-01-02,BENTLEY,lpg,39.9,40.4,40.9,39.9,3
2002-01-03,BENTLEY,lpg,39.9,40.4,40.9,39.9,3
2002-01-04,BENTLEY,lpg,39.9,40.4,40.9,39.9,3
2002-01-05,BENTLEY,lpg,39.9,40.4,40.9,39.9,3
2002-01-06,BENTLEY,lpg,39.9,40.1,40.5,39.9,3
2002-01-07,BENTLEY,lpg,39.9,40.1,40.5,39.9,3
2002-01-08,BENTLEY,lpg,39.9,40.1,40.5,39.9,3
2002-01-09,BENTLEY,lpg,40.5,45.8,48.9,40.5,3
2002-01-10,BENTLEY,lpg,40.5,45.8,48.9,40.5,3
2002-01-11,BENTLEY,lpg,47.5,47.8,47.9,47.5,3
2002-01-12,BENTLEY,lpg,47.5,47.8,47.9,47.5,3
2002-01-13,BENTLEY,lpg,44.7,46.7,47.9,44.7,3
2002-01-14,BENTLEY,lpg,44.7,46.7,47.9,44.7,3
2002-01-15,BENTLEY,lpg,43.9,45.9,47.9,43.9,3
2002-01-16,BENTLEY,lpg,43.9,45.5,47.9,43.9,3
2002-01-17,BENTLEY,lpg,43.9,45.3,47.9,43.9,3
2002-01-18,BENTLEY,lpg,43.9,43.9,43.9,43.9,3
2002-01-19,BENTLEY,lpg,43.9,43.9,43.9,43.9,3
2002-01-20,BENTLEY,lpg,43.5,43.8,43.9,43.5,3
2002-01-21,BENTLEY,lpg,43.5,43.8,43.9,43.5,3
2002-01-22,BENTLEY,lpg,43.5,43.8,43.9,43.5,3
2002-01-23,BENTLEY,lpg,42.9,43.4,43.9,42.9,3
2002-01-24,BENTLEY,lpg,42.9,43.3,43.5,42.9,3
2002-01-25,BENTLEY,lpg,42.9,43.1,43.5,42.9,3
2002-01-26,BENTLEY,lpg,42.9,43.1,43.5,42.9,3
2002-01-27,BENTLEY,lpg,42.9,43.1,43.5,42.9,3
2002-01-28,BENTLEY,lpg,42.9,42.9,42.9,42.9,3
2002-01-29,BENTLEY,lpg,42.9,42.9,42.9,42.9,3
2002-01-30,BENTLEY,lpg,41.5,42.4,42.9,41.5,3
2002-01-31,BENTLEY,lpg,41.5,42.4,42.9,41.5,3
2002-02-01,BENTLEY,lpg,41.5,43.4,45.9,41.5,3
2002-02-02,BENTLEY,lpg,42.9,44.9,45.9,42.9,3
2002-02-03,BENTLEY,lpg,42.9,44.9,45.9,42.9,3
2002-02-04,BENTLEY,lpg,42.9,44.9,45.9,42.9,3
2002-02-05,BENTLEY,lpg,45.9,45.9,45.9,45.9,3
2002-02-06,BENTLEY,lpg,41.5,43.4,45.9,41.5,3
2002-02-07,BENTLEY,lpg,42.9,44.2,45.9,42.9,3
2002-02-08,BENTLEY,lpg,43.9,44.6,45.9,43.9,3
