date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BIBRA LAKE,diesel,84.5,84.5,84.5,84.5,1
2002-01-02,BIBRA LAKE,diesel,84.5,84.5,84.5,84.5,1
2002-01-03,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-04,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-05,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-06,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-07,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-08,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-09,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-10,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-11,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-12,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-13,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-14,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-15,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-16,BIBRA LAKE,diesel,85.4,85.4,85.4,85.4,1
2002-01-17,BIBRA LAKE,diesel,84.4,84.4,84.4,84.4,1
2002-01-18,BIBRA LAKE,diesel,84.4,84.4,84.4,84.4,1
2002-01-19,BIBRA LAKE,diesel,84.4,84.4,84.4,84.4,1
2002-01-20,BIBRA LAKE,diesel,84.4,84.4,84.4,84.4,1
2002-01-21,BIBRA LAKE,diesel,84.4,84.4,84.4,84.4,1
2002-01-22,BIBRA LAKE,diesel,84.4,84.4,84.4,84.4,1
2002-01-23,BIBRA LAKE,diesel,84.4,84.4,84.4,84.4,1
2002-01-24,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-01-25,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-01-26,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-01-27,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-01-28,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-01-29,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-01-30,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-01-31,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-02-01,BIBRA LAKE,diesel,83.5,83.5,83.5,83.5,1
2002-02-02,BIBRA LAKE,diesel,83.5,83.5,83.5,83.5,1
2002-02-03,BIBRA LAKE,diesel,83.5,83.5,83.5,83.5,1
2002-02-04,BIBRA LAKE,diesel,83.5,83.5,83.5,83.5,1
2002-02-05,BIBRA LAKE,diesel,83.5,83.5,83.5,83.5,1
2002-02-06,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-07,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-08,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-09,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-10,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-11,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-12,BIBRA LAKE,diesel,83.9,83.9,83.9,83.9,1
2002-02-13,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-14,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-15,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-16,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-17,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-18,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-19,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-20,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-21,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-22,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-23,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-24,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-25,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-26,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-27,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2002-02-28,BIBRA LAKE,diesel,82.9,82.9,82.9,82.9,1
2003-01-01,BIBRA LAKE,diesel,97.9,97.9,97.9,97.9,1
2003-01-02,BIBRA LAKE,diesel,97.9,97.9,97.9,97.9,1
2003-01-03,BIBRA LAKE,diesel,97.9,97.9,97.9,97.9,1
2003-01-04,BIBRA LAKE,diesel,97.9,97.9,97.9,97.9,1
2003-01-05,BIBRA LAKE,diesel,97.9,97.9,97.9,97.9,1
2003-01-06,BIBRA LAKE,diesel,97.9,97.9,97.9,97.9,1
2003-01-07,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-08,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-09,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-10,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-11,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-12,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-13,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-14,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-15,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-16,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-17,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-18,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-19,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-20,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-21,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-22,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-23,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-24,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-25,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-26,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-27,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-28,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-29,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-30,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-01-31,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-01,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-02,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-03,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-04,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-05,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-06,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-07,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-08,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-09,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-10,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-11,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-12,BIBRA LAKE,diesel,98.9,98.9,98.9,98.9,1
2003-02-13,BIBRA LAKE,diesel,100.9,100.9,100.9,100.9,1
2003-02-14,BIBRA LAKE,diesel,99.9,99.9,99.9,99.9,1
2003-02-15,BIBRA LAKE,diesel,101.0,101.0,101.0,101.0,1
2003-02-16,BIBRA LAKE,diesel,101.0,101.0,101.0,101.0,1
2003-02-17,BIBRA LAKE,diesel,101.0,101.0,101.0,101.0,1
2003-02-18,BIBRA LAKE,diesel,102.0,102.0,102.0,102.0,1
2003-02-19,BIBRA LAKE,diesel,100.2,100.2,100.2,100.2,1
2003-02-20,BIBRA LAKE,diesel,100.2,100.2,100.2,100.2,1
2003-02-21,BIBRA LAKE,diesel,102.0,102.0,102.0,102.0,1
2003-02-22,BIBRA LAKE,diesel,102.0,102.0,102.0,102.0,1
