date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BIBRA LAKE,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-02,BIBRA LAKE,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-03,BIBRA LAKE,ulp_91,79.9,81.4,82.9,79.9,2
2002-01-04,BIBRA LAKE,ulp_91,78.5,80.0,81.5,78.5,2
2002-01-05,BIBRA LAKE,ulp_91,80.5,80.5,80.5,80.5,2
2002-01-06,BIBRA LAKE,ulp_91,80.5,80.5,80.5,80.5,2
2002-01-07,BIBRA LAKE,ulp_91,80.5,80.5,80.5,80.5,2
2002-01-08,BIBRA LAKE,ulp_91,75.7,77.2,78.7,75.7,2
2002-01-09,BIBRA LAKE,ulp_91,87.5,89.0,90.5,87.5,2
2002-01-10,BIBRA LAKE,ulp_91,85.9,87.4,88.9,85.9,2
2002-01-11,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-01-12,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-01-13,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-01-14,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-01-15,BIBRA LAKE,ulp_91,79.5,81.0,82.5,79.5,2
2002-01-16,BIBRA LAKE,ulp_91,85.5,87.0,88.5,85.5,2
2002-01-17,BIBRA LAKE,ulp_91,84.5,86.0,87.5,84.5,2
2002-01-18,BIBRA LAKE,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-19,BIBRA LAKE,ulp_91,82.1,83.6,85.1,82.1,2
2002-01-20,BIBRA LAKE,ulp_91,82.1,83.6,85.1,82.1,2
2002-01-21,BIBRA LAKE,ulp_91,82.1,83.6,85.1,82.1,2
2002-01-22,BIBRA LAKE,ulp_91,79.2,80.7,82.2,79.2,2
2002-01-23,BIBRA LAKE,ulp_91,77.9,79.4,80.9,77.9,2
2002-01-24,BIBRA LAKE,ulp_91,76.5,78.0,79.5,76.5,2
2002-01-25,BIBRA LAKE,ulp_91,85.9,87.4,88.9,85.9,2
2002-01-26,BIBRA LAKE,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-27,BIBRA LAKE,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-28,BIBRA LAKE,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-29,BIBRA LAKE,ulp_91,83.5,85.0,86.5,83.5,2
2002-01-30,BIBRA LAKE,ulp_91,77.9,79.4,80.9,77.9,2
2002-01-31,BIBRA LAKE,ulp_91,76.9,78.4,79.9,76.9,2
2002-02-01,BIBRA LAKE,ulp_91,82.5,84.0,85.5,82.5,2
2002-02-02,BIBRA LAKE,ulp_91,82.5,84.0,85.5,82.5,2
2002-02-03,BIBRA LAKE,ulp_91,82.5,84.0,85.5,82.5,2
2002-02-04,BIBRA LAKE,ulp_91,82.5,84.0,85.5,82.5,2
2002-02-05,BIBRA LAKE,ulp_91,79.5,81.0,82.5,79.5,2
2002-02-06,BIBRA LAKE,ulp_91,77.9,79.4,80.9,77.9,2
2002-02-07,BIBRA LAKE,ulp_91,77.1,78.6,80.1,77.1,2
2002-02-08,BIBRA LAKE,ulp_91,76.5,78.0,79.5,76.5,2
2002-02-09,BIBRA LAKE,ulp_91,75.9,77.4,78.9,75.9,2
2002-02-10,BIBRA LAKE,ulp_91,88.9,90.4,91.9,88.9,2
2002-02-11,BIBRA LAKE,ulp_91,88.9,90.4,91.9,88.9,2
2002-02-12,BIBRA LAKE,ulp_91,88.9,90.4,91.9,88.9,2
2002-02-13,BIBRA LAKE,ulp_91,87.8,89.3,90.8,87.8,2
2002-02-14,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-02-15,BIBRA LAKE,ulp_91,83.9,85.4,86.9,83.9,2
2002-02-16,BIBRA LAKE,ulp_91,82.5,84.0,85.5,82.5,2
2002-02-17,BIBRA LAKE,ulp_91,82.5,84.0,85.5,82.5,2
2002-02-18,BIBRA LAKE,ulp_91,82.5,84.0,85.5,82.5,2
2002-02-19,BIBRA LAKE,ulp_91,81.5,83.0,84.5,81.5,2
2002-02-20,BIBRA LAKE,ulp_91,91.5,93.0,94.5,91.5,2
2002-02-21,BIBRA LAKE,ulp_91,90.5,92.0,93.5,90.5,2
2002-02-22,BIBRA LAKE,ulp_91,87.2,88.7,90.2,87.2,2
2002-02-23,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-02-24,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-02-25,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-02-26,BIBRA LAKE,ulp_91,84.9,86.4,87.9,84.9,2
2002-02-27,BIBRA LAKE,ulp_91,79.1,80.6,82.1,79.1,2
2002-02-28,BIBRA LAKE,ulp_91,79.1,80.6,82.1,79.1,2
2003-01-01,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-01-02,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-01-03,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-04,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-05,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-06,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-07,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-08,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-09,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-10,BIBRA LAKE,ulp_91,98.9,100.4,101.9,98.9,2
2003-01-11,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-01-12,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-01-13,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-01-14,BIBRA LAKE,ulp_91,92.9,94.4,95.9,92.9,2
2003-01-15,BIBRA LAKE,ulp_91,92.9,94.4,95.9,92.9,2
2003-01-16,BIBRA LAKE,ulp_91,92.5,94.0,95.5,92.5,2
2003-01-17,BIBRA LAKE,ulp_91,92.5,94.0,95.5,92.5,2
2003-01-18,BIBRA LAKE,ulp_91,97.9,99.4,100.9,97.9,2
2003-01-19,BIBRA LAKE,ulp_91,97.9,99.4,100.9,97.9,2
2003-01-20,BIBRA LAKE,ulp_91,97.9,99.4,100.9,97.9,2
2003-01-21,BIBRA LAKE,ulp_91,95.9,97.4,98.9,95.9,2
2003-01-22,BIBRA LAKE,ulp_91,95.9,97.4,98.9,95.9,2
2003-01-23,BIBRA LAKE,ulp_91,93.9,95.4,96.9,93.9,2
2003-01-24,BIBRA LAKE,ulp_91,93.9,95.4,96.9,93.9,2
2003-01-25,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-26,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-27,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-28,BIBRA LAKE,ulp_91,91.9,93.4,94.9,91.9,2
2003-01-29,BIBRA LAKE,ulp_91,93.9,95.4,96.9,93.9,2
2003-01-30,BIBRA LAKE,ulp_91,99.9,101.4,102.9,99.9,2
2003-01-31,BIBRA LAKE,ulp_91,98.9,100.4,101.9,98.9,2
2003-02-01,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-02-02,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-02-03,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-02-04,BIBRA LAKE,ulp_91,94.9,96.4,97.9,94.9,2
2003-02-05,BIBRA LAKE,ulp_91,95.9,97.4,98.9,95.9,2
2003-02-06,BIBRA LAKE,ulp_91,95.9,97.4,98.9,95.9,2
2003-02-07,BIBRA LAKE,ulp_91,95.9,97.4,98.9,95.9,2
2003-02-08,BIBRA LAKE,ulp_91,98.9,100.4,101.9,98.9,2
2003-02-09,BIBRA LAKE,ulp_91,98.9,100.4,101.9,98.9,2
2003-02-10,BIBRA LAKE,ulp_91,98.9,100.4,101.9,98.9,2
2003-02-11,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-02-12,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
2003-02-13,BIBRA LAKE,ulp_91,96.9,98.4,99.9,96.9,2
