date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BOORAGOON,diesel,88.9,88.9,88.9,88.9,1
2002-01-02,BOORAGOON,diesel,88.9,88.9,88.9,88.9,1
2002-01-03,BOORAGOON,diesel,88.9,88.9,88.9,88.9,1
2002-01-04,BOORAGOON,diesel,88.9,88.9,88.9,88.9,1
2002-01-05,BOORAGOON,diesel,88.9,88.9,88.9,88.9,1
2002-01-06,BOORAGOON,diesel,88.9,88.9,88.9,88.9,1
2002-01-07,BOORAGOON,diesel,88.9,88.9,88.9,88.9,1
2002-01-08,BOORAGOON,diesel,88.9,88.9,88.9,88.9,1
2002-01-09,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-10,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-11,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-12,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-13,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-14,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-15,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-16,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-17,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-18,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-19,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-20,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-21,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-22,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-23,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-24,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-25,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-26,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-27,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-28,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-29,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-30,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-01-31,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-02-01,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-02-02,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-02-03,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
2002-02-04,BOORAGOON,diesel,86.9,86.9,86.9,86.9,1
