date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2005-01-01,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-02,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-03,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-04,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-05,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-06,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-07,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-08,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-09,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-10,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-11,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-12,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-13,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-14,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-15,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-16,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-17,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-18,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-19,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-20,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-21,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-22,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-23,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-24,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-25,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-26,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-27,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-28,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-29,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-30,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-01-31,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-01,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-02,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-03,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-04,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-05,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-06,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-07,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-08,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-09,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-10,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-11,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-12,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-13,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-14,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-15,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-16,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-17,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-18,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-19,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-20,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-21,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-22,BOULDER,premium_98,119.0,119.0,119.0,119.0,1
2005-02-23,BOULDER,premium_98,118.0,118.0,118.0,118.0,1
2005-02-24,BOULDER,premium_98,118.0,118.0,118.0,118.0,1
2005-02-25,BOULDER,premium_98,118.0,118.0,118.0,118.0,1
2005-02-26,BOULDER,premium_98,118.0,118.0,118.0,118.0,1
2005-02-27,BOULDER,premium_98,118.0,118.0,118.0,118.0,1
2005-02-28,BOULDER,premium_98,118.0,118.0,118.0,118.0,1
2006-01-01,BOULDER,premium_98,132.0,132.0,132.0,132.0,1
2006-01-02,BOULDER,premium_98,132.0,132.0,132.0,132.0,1
2006-01-03,BOULDER,premium_98,132.0,132.0,132.0,132.0,1
2006-01-04,BOULDER,premium_98,132.0,132.0,132.0,132.0,1
2006-01-05,BOULDER,premium_98,132.0,132.0,132.0,132.0,1
2006-01-06,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-07,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-08,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-09,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-10,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-11,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-12,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-13,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-14,BOULDER,premium_98,134.0,134.0,134.0,134.0,1
2006-01-15,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-16,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-17,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-18,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-19,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-20,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-21,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-22,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-23,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-24,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-25,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-26,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-27,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-28,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-29,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-30,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-01-31,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-02-01,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-02-02,BOULDER,premium_98,136.0,136.0,136.0,136.0,1
2006-02-03,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-04,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-05,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-06,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-07,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-08,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-09,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-10,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-11,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-12,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-13,BOULDER,premium_98,138.0,138.0,138.0,138.0,1
2006-02-14,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-15,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-16,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-17,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-18,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-19,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-20,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-21,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-22,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-23,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-24,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-25,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-26,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-27,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2006-02-28,BOULDER,premium_98,137.0,137.0,137.0,137.0,1
2007-01-01,BOULDER,premium_98,135.0,135.0,135.0,135.0,1
2007-01-02,BOULDER,premium_98,135.0,135.0,135.0,135.0,1
2007-01-03,BOULDER,premium_98,135.0,135.0,135.0,135.0,1
