date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2010-01-01,BOYANUP,premium_98,146.9,146.9,146.9,146.9,1
2010-01-02,BOYANUP,premium_98,146.9,146.9,146.9,146.9,1
2010-01-03,BOYANUP,premium_98,146.9,146.9,146.9,146.9,1
2010-01-04,BOYANUP,premium_98,146.9,146.9,146.9,146.9,1
2010-01-05,BOYANUP,premium_98,146.9,146.9,146.9,146.9,1
2010-01-06,BOYANUP,premium_98,146.9,146.9,146.9,146.9,1
2010-01-07,BOYANUP,premium_98,146.9,146.9,146.9,146.9,1
2010-01-08,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-01-09,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-01-10,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-01-11,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-01-12,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-01-13,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-01-14,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-01-15,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-01-16,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-17,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-18,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-19,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-20,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-21,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-22,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-23,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-24,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-25,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-26,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-27,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-28,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-29,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-30,BOYANUP,premium_98,149.9,149.9,149.9,149.9,1
2010-01-31,BOYANUP,premium_98,147.9,147.9,147.9,147.9,1
2010-02-01,BOYANUP,premium_98,147.9,147.9,147.9,147.9,1
2010-02-02,BOYANUP,premium_98,147.9,147.9,147.9,147.9,1
2010-02-03,BOYANUP,premium_98,147.9,147.9,147.9,147.9,1
2010-02-04,BOYANUP,premium_98,147.9,147.9,147.9,147.9,1
2010-02-05,BOYANUP,premium_98,147.9,147.9,147.9,147.9,1
2010-02-06,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-07,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-08,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-09,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-10,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-11,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-12,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-13,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-14,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-15,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-16,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-17,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-18,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-19,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-20,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-21,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-22,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-23,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
2010-02-24,BOYANUP,premium_98,148.9,148.9,148.9,148.9,1
