date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,BRIDGETOWN,premium_95,102.9,104.8,106.5,102.9,4
2004-01-02,BRIDGETOWN,premium_95,102.9,104.8,106.5,102.9,4
2004-01-03,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-04,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-05,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-06,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-07,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-08,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-09,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-10,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-11,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-12,BRIDGETOWN,premium_95,102.9,105.0,106.5,102.9,4
2004-01-13,BRIDGETOWN,premium_95,102.9,105.5,107.8,102.9,4
2004-01-14,BRIDGETOWN,premium_95,102.9,105.5,107.8,102.9,4
2004-01-15,BRIDGETOWN,premium_95,102.9,106.0,107.8,102.9,4
2004-01-16,BRIDGETOWN,premium_95,102.9,106.0,107.8,102.9,4
2004-01-17,BRIDGETOWN,premium_95,102.9,107.0,110.2,102.9,4
2004-01-18,BRIDGETOWN,premium_95,102.9,107.0,110.2,102.9,4
2004-01-19,BRIDGETOWN,premium_95,102.9,107.0,110.2,102.9,4
2004-01-20,BRIDGETOWN,premium_95,102.9,107.0,110.2,102.9,4
2004-01-21,BRIDGETOWN,premium_95,102.9,107.0,110.2,102.9,4
2004-01-22,BRIDGETOWN,premium_95,102.9,107.4,110.2,102.9,4
2004-01-23,BRIDGETOWN,premium_95,102.9,107.4,110.2,102.9,4
2004-01-24,BRIDGETOWN,premium_95,107.9,109.4,110.2,107.9,4
2004-01-25,BRIDGETOWN,premium_95,107.9,109.1,110.0,107.9,4
2004-01-26,BRIDGETOWN,premium_95,107.9,109.1,110.0,107.9,4
2004-01-27,BRIDGETOWN,premium_95,107.9,109.1,110.0,107.9,4
2004-01-28,BRIDGETOWN,premium_95,107.9,108.9,109.5,107.9,4
2004-01-29,BRIDGETOWN,premium_95,107.9,108.6,109.5,107.9,4
2004-01-30,BRIDGETOWN,premium_95,106.9,108.3,109.5,106.9,4
2004-01-31,BRIDGETOWN,premium_95,106.9,108.1,109.5,106.9,4
2004-02-01,BRIDGETOWN,premium_95,106.9,108.1,109.5,106.9,4
2004-02-02,BRIDGETOWN,premium_95,106.9,108.1,109.5,106.9,4
2004-02-03,BRIDGETOWN,premium_95,106.9,108.1,109.5,106.9,4
2004-02-04,BRIDGETOWN,premium_95,106.9,108.1,109.5,106.9,4
2004-02-05,BRIDGETOWN,premium_95,104.9,107.6,109.5,104.9,4
2004-02-06,BRIDGETOWN,premium_95,104.9,107.6,109.5,104.9,4
2004-02-07,BRIDGETOWN,premium_95,104.9,107.6,109.5,104.9,4
2004-02-08,BRIDGETOWN,premium_95,104.9,107.6,109.5,104.9,4
2004-02-09,BRIDGETOWN,premium_95,104.9,107.6,109.5,104.9,4
2004-02-10,BRIDGETOWN,premium_95,104.9,107.6,109.5,104.9,4
2004-02-11,BRIDGETOWN,premium_95,103.9,106.2,108.0,103.9,4
2004-02-12,BRIDGETOWN,premium_95,103.9,106.2,108.0,103.9,4
2004-02-13,BRIDGETOWN,premium_95,103.7,105.1,107.9,103.7,4
2004-02-14,BRIDGETOWN,premium_95,102.9,104.6,107.9,102.9,4
2004-02-15,BRIDGETOWN,premium_95,102.9,104.6,107.9,102.9,4
2004-02-16,BRIDGETOWN,premium_95,102.9,104.6,107.9,102.9,4
2004-02-17,BRIDGETOWN,premium_95,102.9,104.1,105.8,102.9,4
2004-02-18,BRIDGETOWN,premium_95,102.9,104.1,105.8,102.9,4
2004-02-19,BRIDGETOWN,premium_95,102.9,104.1,105.8,102.9,4
2004-02-20,BRIDGETOWN,premium_95,102.9,104.1,105.8,102.9,4
2004-02-21,BRIDGETOWN,premium_95,102.9,104.1,105.8,102.9,4
2004-02-22,BRIDGETOWN,premium_95,102.9,104.1,105.8,102.9,4
2004-02-23,BRIDGETOWN,premium_95,102.9,104.1,105.8,102.9,4
2004-02-24,BRIDGETOWN,premium_95,102.9,103.4,103.9,102.9,4
2004-02-25,BRIDGETOWN,premium_95,102.9,103.4,103.9,102.9,4
2004-02-26,BRIDGETOWN,premium_95,102.9,103.4,103.9,102.9,4
2004-02-27,BRIDGETOWN,premium_95,102.9,103.4,103.9,102.9,4
2004-02-28,BRIDGETOWN,premium_95,102.9,103.4,103.9,102.9,4
2004-02-29,BRIDGETOWN,premium_95,102.9,103.4,103.9,102.9,4
2005-01-01,BRIDGETOWN,premium_95,109.9,111.0,112.9,109.9,4
2005-01-02,BRIDGETOWN,premium_95,109.9,111.0,112.9,109.9,4
2005-01-03,BRIDGETOWN,premium_95,109.9,111.0,112.9,109.9,4
2005-01-04,BRIDGETOWN,premium_95,109.9,111.0,112.9,109.9,4
2005-01-05,BRIDGETOWN,premium_95,109.0,110.0,110.9,109.0,4
2005-01-06,BRIDGETOWN,premium_95,109.0,110.0,110.9,109.0,4
2005-01-07,BRIDGETOWN,premium_95,109.0,110.0,110.9,109.0,4
2005-01-08,BRIDGETOWN,premium_95,109.0,110.0,110.9,109.0,4
2005-01-09,BRIDGETOWN,premium_95,109.9,110.3,110.9,109.9,4
2005-01-10,BRIDGETOWN,premium_95,109.9,110.3,110.9,109.9,4
2005-01-11,BRIDGETOWN,premium_95,109.9,110.3,110.9,109.9,4
2005-01-12,BRIDGETOWN,premium_95,108.9,110.1,110.9,108.9,4
2005-01-13,BRIDGETOWN,premium_95,108.9,110.1,110.9,108.9,4
2005-01-14,BRIDGETOWN,premium_95,108.9,110.1,110.9,108.9,4
2005-01-15,BRIDGETOWN,premium_95,108.9,110.1,110.9,108.9,4
2005-01-16,BRIDGETOWN,premium_95,108.9,110.5,112.0,108.9,4
2005-01-17,BRIDGETOWN,premium_95,108.9,110.5,112.0,108.9,4
2005-01-18,BRIDGETOWN,premium_95,109.9,110.8,112.0,109.9,4
2005-01-19,BRIDGETOWN,premium_95,109.9,110.8,112.0,109.9,4
2005-01-20,BRIDGETOWN,premium_95,109.9,110.8,112.0,109.9,4
2005-01-21,BRIDGETOWN,premium_95,109.9,110.8,112.0,109.9,4
2005-01-22,BRIDGETOWN,premium_95,110.9,111.4,112.0,110.9,4
2005-01-23,BRIDGETOWN,premium_95,110.9,112.3,115.5,110.9,4
2005-01-24,BRIDGETOWN,premium_95,110.9,112.3,115.5,110.9,4
2005-01-25,BRIDGETOWN,premium_95,110.9,112.3,115.5,110.9,4
2005-01-26,BRIDGETOWN,premium_95,110.9,112.3,115.5,110.9,4
2005-01-27,BRIDGETOWN,premium_95,110.9,112.3,115.5,110.9,4
2005-01-28,BRIDGETOWN,premium_95,110.9,113.1,115.5,110.9,4
2005-01-29,BRIDGETOWN,premium_95,110.9,113.8,115.5,110.9,4
2005-01-30,BRIDGETOWN,premium_95,110.9,113.8,115.5,110.9,4
2005-01-31,BRIDGETOWN,premium_95,110.9,114.2,117.3,110.9,4
2005-02-01,BRIDGETOWN,premium_95,112.9,114.7,117.3,112.9,4
2005-02-02,BRIDGETOWN,premium_95,112.9,114.7,117.3,112.9,4
2005-02-03,BRIDGETOWN,premium_95,112.9,114.7,117.3,112.9,4
2005-02-04,BRIDGETOWN,premium_95,112.9,114.7,117.3,112.9,4
2005-02-05,BRIDGETOWN,premium_95,112.9,114.8,117.7,112.9,4
2005-02-06,BRIDGETOWN,premium_95,112.9,114.8,117.7,112.9,4
2005-02-07,BRIDGETOWN,premium_95,112.9,114.8,117.7,112.9,4
2005-02-08,BRIDGETOWN,premium_95,112.9,114.8,117.7,112.9,4
2005-02-09,BRIDGETOWN,premium_95,113.9,115.1,117.7,113.9,4
2005-02-10,BRIDGETOWN,premium_95,113.9,115.4,117.7,113.9,4
2005-02-11,BRIDGETOWN,premium_95,113.9,115.1,116.5,113.9,4
2005-02-12,BRIDGETOWN,premium_95,113.9,115.1,116.5,113.9,4
2005-02-13,BRIDGETOWN,premium_95,113.9,115.1,116.5,113.9,4
2005-02-14,BRIDGETOWN,premium_95,113.9,115.1,116.5,113.9,4
2005-02-15,BRIDGETOWN,premium_95,113.9,115.1,116.5,113.9,4
2005-02-16,BRIDGETOWN,premium_95,113.9,115.1,116.5,113.9,4
2005-02-17,BRIDGETOWN,premium_95,113.9,115.1,116.5,113.9,4
2005-02-18,BRIDGETOWN,premium_95,113.9,115.6,117.6,113.9,4
2005-02-19,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-20,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-21,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-22,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-23,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-24,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-25,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-26,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-27,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2005-02-28,BRIDGETOWN,premium_95,114.9,116.1,117.6,114.9,4
2006-01-01,BRIDGETOWN,premium_95,128.9,129.7,129.9,128.9,4
2006-01-02,BRIDGETOWN,premium_95,128.9,129.7,129.9,128.9,4
2006-01-03,BRIDGETOWN,premium_95,128.9,129.7,129.9,128.9,4
