date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BROADWATER,diesel,85.5,86.0,86.6,85.5,2
2002-01-02,BROADWATER,diesel,85.5,86.0,86.6,85.5,2
2002-01-03,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-04,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-05,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-06,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-07,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-08,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-09,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-10,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-11,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-12,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-13,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-14,BROADWATER,diesel,85.5,86.3,87.1,85.5,2
2002-01-15,BROADWATER,diesel,85.8,86.4,87.1,85.8,2
2002-01-16,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-17,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-18,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-19,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-20,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-21,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-22,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-23,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-24,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-25,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-26,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-27,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-28,BROADWATER,diesel,85.8,86.7,87.6,85.8,2
2002-01-29,BROADWATER,diesel,85.8,86.4,87.1,85.8,2
2002-01-30,BROADWATER,diesel,85.8,86.4,87.1,85.8,2
2002-01-31,BROADWATER,diesel,85.8,86.4,87.1,85.8,2
2002-02-01,BROADWATER,diesel,85.8,86.4,87.1,85.8,2
2002-02-02,BROADWATER,diesel,85.8,86.4,87.1,85.8,2
2002-02-03,BROADWATER,diesel,85.8,86.4,87.1,85.8,2
2002-02-04,BROADWATER,diesel,85.8,86.4,87.1,85.8,2
