date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BROOME,diesel,90.0,94.5,98.9,90.0,9
2002-01-02,BROOME,diesel,90.0,94.5,98.9,90.0,9
2002-01-03,BROOME,diesel,90.0,94.5,98.9,90.0,9
2002-01-04,BROOME,diesel,90.0,94.7,98.9,90.0,9
2002-01-05,BROOME,diesel,90.0,94.7,98.9,90.0,9
2002-01-06,BROOME,diesel,90.0,94.7,98.9,90.0,9
2002-01-07,BROOME,diesel,90.0,94.7,98.9,90.0,9
2002-01-08,BROOME,diesel,90.0,94.6,98.9,90.0,9
2002-01-09,BROOME,diesel,90.0,94.6,98.9,90.0,9
2002-01-10,BROOME,diesel,90.0,94.6,98.9,90.0,9
2002-01-11,BROOME,diesel,90.5,94.7,98.9,90.5,9
2002-01-12,BROOME,diesel,90.5,94.7,98.9,90.5,9
2002-01-13,BROOME,diesel,90.5,94.9,99.7,90.5,9
2002-01-14,BROOME,diesel,90.5,94.9,99.7,90.5,9
2002-01-15,BROOME,diesel,90.5,95.1,99.7,90.5,9
2002-01-16,BROOME,diesel,90.5,95.1,99.7,90.5,9
2002-01-17,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-18,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-19,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-20,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-21,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-22,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-23,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-24,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-25,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-26,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-27,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-28,BROOME,diesel,90.5,95.2,99.7,90.5,9
2002-01-29,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-01-30,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-01-31,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-01,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-02,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-03,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-04,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-05,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-06,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-07,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-08,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-09,BROOME,diesel,90.5,95.3,99.7,90.5,9
2002-02-10,BROOME,diesel,93.0,95.7,99.7,93.0,9
2002-02-11,BROOME,diesel,93.0,95.7,99.7,93.0,9
2002-02-12,BROOME,diesel,93.0,95.7,99.7,93.0,9
2002-02-13,BROOME,diesel,93.0,95.7,99.7,93.0,9
2002-02-14,BROOME,diesel,93.0,95.7,99.7,93.0,9
2002-02-15,BROOME,diesel,93.0,95.7,99.7,93.0,9
2002-02-16,BROOME,diesel,93.0,96.1,99.7,93.0,9
2002-02-17,BROOME,diesel,93.0,96.1,99.7,93.0,9
2002-02-18,BROOME,diesel,93.0,96.1,99.7,93.0,9
2002-02-19,BROOME,diesel,93.0,96.1,99.7,93.0,9
2002-02-20,BROOME,diesel,93.0,96.2,99.7,93.0,9
2002-02-21,BROOME,diesel,93.0,96.4,99.7,93.0,9
2002-02-22,BROOME,diesel,93.0,96.5,100.9,93.0,9
2002-02-23,BROOME,diesel,93.0,96.5,100.9,93.0,9
2002-02-24,BROOME,diesel,93.0,96.5,100.9,93.0,9
2002-02-25,BROOME,diesel,93.0,96.5,100.9,93.0,9
2002-02-26,BROOME,diesel,93.0,96.5,100.9,93.0,9
2002-02-27,BROOME,diesel,93.0,96.5,100.9,93.0,9
2002-02-28,BROOME,diesel,93.0,96.5,100.9,93.0,9
2003-01-01,BROOME,diesel,100.0,105.9,113.5,100.0,10
2003-01-02,BROOME,diesel,100.0,106.0,113.5,100.0,10
2003-01-03,BROOME,diesel,100.0,106.1,113.5,100.0,10
2003-01-04,BROOME,diesel,103.5,106.7,113.5,103.5,10
2003-01-05,BROOME,diesel,103.5,106.7,113.5,103.5,10
2003-01-06,BROOME,diesel,103.5,106.7,113.5,103.5,10
2003-01-07,BROOME,diesel,103.5,107.1,113.5,103.5,10
2003-01-08,BROOME,diesel,103.5,107.3,113.5,103.5,10
2003-01-09,BROOME,diesel,103.5,107.3,113.5,103.5,10
2003-01-10,BROOME,diesel,103.5,107.4,113.5,103.5,10
2003-01-11,BROOME,diesel,103.5,107.4,113.5,103.5,10
2003-01-12,BROOME,diesel,103.5,107.4,113.5,103.5,10
2003-01-13,BROOME,diesel,103.5,107.4,113.5,103.5,10
2003-01-14,BROOME,diesel,103.5,107.5,113.5,103.5,10
2003-01-15,BROOME,diesel,103.5,107.5,113.5,103.5,10
2003-01-16,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-17,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-18,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-19,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-20,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-21,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-22,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-23,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-24,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-25,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-26,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-27,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-28,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-29,BROOME,diesel,104.0,107.5,113.5,104.0,10
2003-01-30,BROOME,diesel,104.0,107.7,113.5,104.0,10
2003-01-31,BROOME,diesel,104.0,107.8,113.5,104.0,10
2003-02-01,BROOME,diesel,104.0,107.8,113.5,104.0,10
2003-02-02,BROOME,diesel,104.0,107.8,113.5,104.0,10
2003-02-03,BROOME,diesel,104.0,107.8,113.5,104.0,10
2003-02-04,BROOME,diesel,104.0,107.8,113.5,104.0,10
2003-02-05,BROOME,diesel,104.0,107.8,113.5,104.0,10
2003-02-06,BROOME,diesel,104.0,107.9,114.5,104.0,10
2003-02-07,BROOME,diesel,104.0,107.9,114.5,104.0,10
2003-02-08,BROOME,diesel,104.0,108.0,114.5,104.0,10
2003-02-09,BROOME,diesel,104.0,108.0,114.5,104.0,10
2003-02-10,BROOME,diesel,104.0,108.0,114.5,104.0,10
2003-02-11,BROOME,diesel,104.0,108.1,114.5,104.0,10
2003-02-12,BROOME,diesel,105.5,108.2,114.5,105.5,10
2003-02-13,BROOME,diesel,105.5,108.4,114.5,105.5,10
2003-02-14,BROOME,diesel,105.5,108.6,116.5,105.5,10
2003-02-15,BROOME,diesel,105.5,108.7,116.5,105.5,10
2003-02-16,BROOME,diesel,105.5,109.0,116.5,105.5,10
2003-02-17,BROOME,diesel,105.5,109.5,116.5,105.5,10
2003-02-18,BROOME,diesel,105.5,109.5,116.5,105.5,10
2003-02-19,BROOME,diesel,105.5,109.8,116.5,105.5,10
2003-02-20,BROOME,diesel,105.5,109.8,116.5,105.5,10
2003-02-21,BROOME,diesel,106.5,110.1,116.5,106.5,10
2003-02-22,BROOME,diesel,106.5,110.2,116.5,106.5,10
2003-02-23,BROOME,diesel,106.5,110.4,116.5,106.5,10
2003-02-24,BROOME,diesel,106.5,110.6,116.5,106.5,10
2003-02-25,BROOME,diesel,106.5,110.7,116.5,106.5,10
2003-02-26,BROOME,diesel,106.5,111.2,120.8,106.5,10
2003-02-27,BROOME,diesel,106.5,111.2,120.8,106.5,10
2003-02-28,BROOME,diesel,106.5,111.6,120.8,106.5,10
2004-01-01,BROOME,diesel,99.0,102.3,108.0,99.0,9
2004-01-02,BROOME,diesel,99.0,102.4,108.0,99.0,9
2004-01-03,BROOME,diesel,99.0,102.4,108.0,99.0,9
2004-01-04,BROOME,diesel,99.0,102.5,108.0,99.0,9
2004-01-05,BROOME,diesel,99.0,102.8,108.0,99.0,9
2004-01-06,BROOME,diesel,99.0,102.8,108.0,99.0,9
2004-01-07,BROOME,diesel,99.0,102.9,108.0,99.0,9
2004-01-08,BROOME,diesel,99.0,103.2,108.0,99.0,9
2004-01-09,BROOME,diesel,101.0,103.4,108.0,101.0,9
2004-01-10,BROOME,diesel,101.0,103.5,108.0,101.0,9
2004-01-11,BROOME,diesel,101.0,103.6,108.0,101.0,9
2004-01-12,BROOME,diesel,101.0,103.6,108.0,101.0,9
2004-01-13,BROOME,diesel,101.0,103.6,108.0,101.0,9
2004-01-14,BROOME,diesel,101.0,104.0,108.0,101.0,9
2004-01-15,BROOME,diesel,101.0,104.0,108.0,101.0,9
2004-01-16,BROOME,diesel,101.0,104.4,111.5,101.0,9
2004-01-17,BROOME,diesel,101.0,105.0,111.5,101.0,9
2004-01-18,BROOME,diesel,101.0,105.0,111.5,101.0,9
2004-01-19,BROOME,diesel,101.0,105.0,111.5,101.0,9
2004-01-20,BROOME,diesel,101.0,105.3,111.5,101.0,9
2004-01-21,BROOME,diesel,101.0,105.4,111.5,101.0,9
2004-01-22,BROOME,diesel,101.0,105.4,111.5,101.0,9
2004-01-23,BROOME,diesel,101.0,105.4,111.5,101.0,9
2004-01-24,BROOME,diesel,101.0,105.4,111.5,101.0,9
2004-01-25,BROOME,diesel,101.0,105.4,111.5,101.0,9
2004-01-26,BROOME,diesel,101.0,105.4,111.5,101.0,9
2004-01-27,BROOME,diesel,101.0,105.7,111.5,101.0,9
2004-01-28,BROOME,diesel,101.0,105.7,111.5,101.0,9
2004-01-29,BROOME,diesel,101.0,105.7,111.5,101.0,9
2004-01-30,BROOME,diesel,101.0,105.7,111.5,101.0,9
2004-01-31,BROOME,diesel,101.0,105.7,111.5,101.0,9
2004-02-01,BROOME,diesel,101.0,105.7,111.5,101.0,9
2004-02-02,BROOME,diesel,101.0,105.7,111.5,101.0,9
2004-02-03,BROOME,diesel,103.0,105.9,111.5,103.0,9
2004-02-04,BROOME,diesel,103.0,105.9,111.5,103.0,9
2004-02-05,BROOME,diesel,103.0,105.9,111.5,103.0,9
2004-02-06,BROOME,diesel,102.5,105.8,111.5,102.5,9
2004-02-07,BROOME,diesel,102.5,105.8,111.5,102.5,9
2004-02-08,BROOME,diesel,102.5,105.8,111.5,102.5,9
2004-02-09,BROOME,diesel,102.5,105.8,111.5,102.5,9
2004-02-10,BROOME,diesel,102.5,105.8,111.5,102.5,9
2004-02-11,BROOME,diesel,102.5,105.8,111.5,102.5,9
2004-02-12,BROOME,diesel,102.5,105.8,111.5,102.5,9
2004-02-13,BROOME,diesel,102.5,105.8,111.5,102.5,9
2004-02-14,BROOME,diesel,102.0,105.8,111.5,102.0,9
2004-02-15,BROOME,diesel,102.0,105.8,111.5,102.0,9
2004-02-16,BROOME,diesel,102.0,105.8,111.5,102.0,9
2004-02-17,BROOME,diesel,102.0,105.8,111.5,102.0,9
2004-02-18,BROOME,diesel,102.0,105.8,111.5,102.0,9
2004-02-19,BROOME,diesel,102.0,105.8,111.5,102.0,9
2004-02-20,BROOME,diesel,102.0,105.8,111.5,102.0,9
2004-02-21,BROOME,diesel,102.0,105.6,111.5,102.0,9
2004-02-22,BROOME,diesel,102.0,105.5,111.5,102.0,9
2004-02-23,BROOME,diesel,102.0,105.4,111.5,102.0,9
2004-02-24,BROOME,diesel,102.0,105.3,111.5,102.0,9
2004-02-25,BROOME,diesel,102.0,105.3,111.5,102.0,9
2004-02-26,BROOME,diesel,102.0,105.3,111.5,102.0,9
2004-02-27,BROOME,diesel,102.0,105.3,111.5,102.0,9
2004-02-28,BROOME,diesel,102.0,105.3,111.5,102.0,9
2004-02-29,BROOME,diesel,102.0,105.3,111.5,102.0,9
2005-01-01,BROOME,diesel,116.0,118.8,126.0,116.0,9
2005-01-02,BROOME,diesel,116.0,118.9,126.0,116.0,9
2005-01-03,BROOME,diesel,116.0,118.9,126.0,116.0,9
2005-01-04,BROOME,diesel,116.0,118.9,126.0,116.0,9
2005-01-05,BROOME,diesel,116.0,119.0,126.0,116.0,9
2005-01-06,BROOME,diesel,116.0,119.0,126.0,116.0,9
2005-01-07,BROOME,diesel,114.5,118.6,126.0,114.5,9
2005-01-08,BROOME,diesel,114.5,118.5,126.0,114.5,9
2005-01-09,BROOME,diesel,114.5,118.5,126.0,114.5,9
2005-01-10,BROOME,diesel,114.5,118.5,126.0,114.5,9
2005-01-11,BROOME,diesel,114.5,118.3,126.0,114.5,9
2005-01-12,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-13,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-14,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-15,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-16,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-17,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-18,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-19,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-20,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-21,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-22,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-23,BROOME,diesel,114.5,117.5,126.0,114.5,9
2005-01-24,BROOME,diesel,114.5,117.5,126.0,114.5,9
