date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2003-01-01,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-02,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-03,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-04,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-05,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-06,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-07,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-08,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-09,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-10,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-11,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-12,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-13,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-14,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-15,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-16,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-17,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-18,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-19,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-20,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-21,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-22,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-23,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-24,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-25,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-26,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-27,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-28,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-29,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-30,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-01-31,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-01,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-02,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-03,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-04,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-05,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-06,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-07,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-08,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-09,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-10,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-11,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-12,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-13,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-14,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-15,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-16,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-17,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-18,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-19,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-20,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-21,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-22,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-23,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-24,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-25,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-26,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-27,BROOME,premium_95,114.9,114.9,114.9,114.9,1
2003-02-28,BROOME,premium_95,117.9,117.9,117.9,117.9,1
2004-01-01,BROOME,premium_95,108.0,108.6,108.9,108.0,3
2004-01-02,BROOME,premium_95,108.0,108.9,109.9,108.0,3
2004-01-03,BROOME,premium_95,108.0,108.9,109.9,108.0,3
2004-01-04,BROOME,premium_95,108.0,108.9,109.9,108.0,3
2004-01-05,BROOME,premium_95,108.0,109.6,111.9,108.0,3
2004-01-06,BROOME,premium_95,108.0,109.6,111.9,108.0,3
2004-01-07,BROOME,premium_95,108.0,110.6,111.9,108.0,3
2004-01-08,BROOME,premium_95,108.0,110.6,111.9,108.0,3
2004-01-09,BROOME,premium_95,108.0,110.6,111.9,108.0,3
2004-01-10,BROOME,premium_95,108.0,110.6,111.9,108.0,3
2004-01-11,BROOME,premium_95,108.0,110.6,111.9,108.0,3
2004-01-12,BROOME,premium_95,108.0,110.6,111.9,108.0,3
2004-01-13,BROOME,premium_95,108.0,110.6,111.9,108.0,3
2004-01-14,BROOME,premium_95,108.0,110.9,112.9,108.0,3
2004-01-15,BROOME,premium_95,108.0,110.9,112.9,108.0,3
2004-01-16,BROOME,premium_95,108.0,110.9,112.9,108.0,3
2004-01-17,BROOME,premium_95,111.8,112.2,112.9,111.8,3
2004-01-18,BROOME,premium_95,111.8,112.2,112.9,111.8,3
2004-01-19,BROOME,premium_95,111.8,112.2,112.9,111.8,3
2004-01-20,BROOME,premium_95,111.8,112.2,112.9,111.8,3
2004-01-21,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-22,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-23,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-24,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-25,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-26,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-27,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-28,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-29,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-30,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-01-31,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-01,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-02,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-03,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-04,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-05,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-06,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-07,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-08,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-09,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-10,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-11,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-12,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-13,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-14,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-15,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-16,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-17,BROOME,premium_95,111.8,112.5,113.9,111.8,3
2004-02-18,BROOME,premium_95,111.9,112.9,113.9,111.9,3
2004-02-19,BROOME,premium_95,111.9,112.9,113.9,111.9,3
2004-02-20,BROOME,premium_95,111.9,112.9,113.9,111.9,3
2004-02-21,BROOME,premium_95,111.9,112.9,113.9,111.9,3
2004-02-22,BROOME,premium_95,110.9,111.9,112.8,110.9,3
2004-02-23,BROOME,premium_95,110.9,111.9,112.8,110.9,3
2004-02-24,BROOME,premium_95,110.9,111.5,111.9,110.9,3
2004-02-25,BROOME,premium_95,110.9,111.5,111.9,110.9,3
2004-02-26,BROOME,premium_95,110.9,111.5,111.9,110.9,3
2004-02-27,BROOME,premium_95,110.9,111.5,111.9,110.9,3
2004-02-28,BROOME,premium_95,110.9,111.5,111.9,110.9,3
2004-02-29,BROOME,premium_95,110.9,111.5,111.9,110.9,3
2005-01-01,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-02,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-03,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-04,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-05,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-06,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-07,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-08,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-09,BROOME,premium_95,117.8,120.4,126.9,117.8,4
2005-01-10,BROOME,premium_95,117.8,120.4,126.9,117.8,4
