date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BROOME,ulp_91,93.6,97.6,104.9,93.6,16
2002-01-02,BROOME,ulp_91,93.6,97.6,104.9,93.6,16
2002-01-03,BROOME,ulp_91,93.6,97.6,104.9,93.6,16
2002-01-04,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-05,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-06,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-07,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-08,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-09,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-10,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-11,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-12,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-01-13,BROOME,ulp_91,93.6,97.6,104.9,93.6,16
2002-01-14,BROOME,ulp_91,93.6,97.6,104.9,93.6,16
2002-01-15,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-16,BROOME,ulp_91,93.6,97.7,104.9,93.6,16
2002-01-17,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-18,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-19,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-20,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-21,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-22,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-23,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-24,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-25,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-26,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-27,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-28,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-29,BROOME,ulp_91,93.6,97.8,104.9,93.6,16
2002-01-30,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-01-31,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-02-01,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-02-02,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-02-03,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-02-04,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-02-05,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-02-06,BROOME,ulp_91,93.6,97.9,104.9,93.6,16
2002-02-07,BROOME,ulp_91,93.6,98.0,104.9,93.6,16
2002-02-08,BROOME,ulp_91,93.6,98.0,104.9,93.6,16
2002-02-09,BROOME,ulp_91,93.6,98.0,104.9,93.6,16
2002-02-10,BROOME,ulp_91,93.6,98.1,104.9,93.6,16
2002-02-11,BROOME,ulp_91,93.6,98.1,104.9,93.6,16
2002-02-12,BROOME,ulp_91,93.6,98.1,102.3,93.6,16
2002-02-13,BROOME,ulp_91,93.6,98.1,102.3,93.6,16
2002-02-14,BROOME,ulp_91,93.6,98.1,102.3,93.6,16
2002-02-15,BROOME,ulp_91,93.6,98.1,102.3,93.6,16
