date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BROWN RANGE,diesel,91.9,92.4,92.9,91.9,2
2002-01-02,BROWN RANGE,diesel,91.9,92.4,92.9,91.9,2
2002-01-03,BROWN RANGE,diesel,91.9,92.4,92.9,91.9,2
2002-01-04,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-05,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-06,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-07,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-08,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-09,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-10,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-11,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-12,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-13,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-14,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-15,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-16,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-17,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-18,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-19,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-20,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-21,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-22,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-23,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-24,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-25,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-26,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-27,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-28,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-29,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-30,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-01-31,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-02-01,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-02-02,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-02-03,BROWN RANGE,diesel,90.9,91.9,92.9,90.9,2
2002-02-04,BROWN RANGE,diesel,91.4,92.2,92.9,91.4,2
2002-02-05,BROWN RANGE,diesel,91.4,92.2,92.9,91.4,2
2002-02-06,BROWN RANGE,diesel,91.4,92.2,92.9,91.4,2
2002-02-07,BROWN RANGE,diesel,91.4,92.2,92.9,91.4,2
2002-02-08,BROWN RANGE,diesel,91.4,92.2,92.9,91.4,2
2002-02-09,BROWN RANGE,diesel,91.4,92.2,92.9,91.4,2
2002-02-10,BROWN RANGE,diesel,91.4,92.2,92.9,91.4,2
2002-02-11,BROWN RANGE,diesel,91.4,92.2,92.9,91.4,2
