date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BRUNSWICK,diesel,82.8,91.9,101.0,82.8,2
2002-01-02,BRUNSWICK,diesel,82.8,91.9,101.0,82.8,2
2002-01-03,BRUNSWICK,diesel,82.8,91.9,101.0,82.8,2
2002-01-04,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-05,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-06,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-07,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-08,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-09,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-10,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-11,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-12,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-13,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-14,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-15,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-16,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-17,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-18,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-19,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-20,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-21,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-22,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-23,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-24,BRUNSWICK,diesel,83.8,92.4,101.0,83.8,2
2002-01-25,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-26,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-27,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-28,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
2002-01-29,BRUNSWICK,diesel,83.4,92.2,101.0,83.4,2
