date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2010-01-01,BRUNSWICK,premium_98,136.9,136.9,136.9,136.9,1
2010-01-02,BRUNSWICK,premium_98,136.9,136.9,136.9,136.9,1
2010-01-03,BRUNSWICK,premium_98,136.9,136.9,136.9,136.9,1
2010-01-04,BRUNSWICK,premium_98,137.9,137.9,137.9,137.9,1
2010-01-05,BRUNSWICK,premium_98,139.9,139.9,139.9,139.9,1
2010-01-06,BRUNSWICK,premium_98,139.9,139.9,139.9,139.9,1
2010-01-07,BRUNSWICK,premium_98,139.9,139.9,139.9,139.9,1
2010-01-08,BRUNSWICK,premium_98,139.9,139.9,139.9,139.9,1
2010-01-09,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-01-10,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-01-11,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-01-12,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-01-13,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-01-14,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-01-15,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-16,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-17,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-18,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-19,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-20,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-21,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-22,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-23,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-24,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-25,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-26,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-01-27,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-01-28,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-01-29,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-01-30,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-01-31,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-02-01,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-02-02,BRUNSWICK,premium_98,141.9,141.9,141.9,141.9,1
2010-02-03,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-02-04,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-02-05,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-02-06,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-02-07,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-02-08,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-02-09,BRUNSWICK,premium_98,140.9,140.9,140.9,140.9,1
2010-02-10,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-02-11,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
2010-02-12,BRUNSWICK,premium_98,142.9,142.9,142.9,142.9,1
