date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BULL CREEK,premium_98,91.5,91.5,91.5,91.5,1
2002-01-02,BULL CREEK,premium_98,91.5,91.5,91.5,91.5,1
2002-01-03,BULL CREEK,premium_98,88.9,88.9,88.9,88.9,1
2002-01-04,BULL CREEK,premium_98,88.9,88.9,88.9,88.9,1
2002-01-05,BULL CREEK,premium_98,88.9,88.9,88.9,88.9,1
2002-01-06,BULL CREEK,premium_98,88.9,88.9,88.9,88.9,1
2002-01-07,BULL CREEK,premium_98,88.9,88.9,88.9,88.9,1
2002-01-08,BULL CREEK,premium_98,88.9,88.9,88.9,88.9,1
2002-01-09,BULL CREEK,premium_98,88.9,88.9,88.9,88.9,1
2002-01-10,BULL CREEK,premium_98,93.5,93.5,93.5,93.5,1
2002-01-11,BULL CREEK,premium_98,93.5,93.5,93.5,93.5,1
2002-01-12,BULL CREEK,premium_98,90.7,90.7,90.7,90.7,1
2002-01-13,BULL CREEK,premium_98,90.7,90.7,90.7,90.7,1
2002-01-14,BULL CREEK,premium_98,90.7,90.7,90.7,90.7,1
2002-01-15,BULL CREEK,premium_98,87.5,87.5,87.5,87.5,1
2002-01-16,BULL CREEK,premium_98,87.5,87.5,87.5,87.5,1
2002-01-17,BULL CREEK,premium_98,91.5,91.5,91.5,91.5,1
2002-01-18,BULL CREEK,premium_98,91.5,91.5,91.5,91.5,1
2002-01-19,BULL CREEK,premium_98,91.5,91.5,91.5,91.5,1
2002-01-20,BULL CREEK,premium_98,91.5,91.5,91.5,91.5,1
2002-01-21,BULL CREEK,premium_98,91.5,91.5,91.5,91.5,1
2002-01-22,BULL CREEK,premium_98,86.9,86.9,86.9,86.9,1
2002-01-23,BULL CREEK,premium_98,86.9,86.9,86.9,86.9,1
2002-01-24,BULL CREEK,premium_98,86.9,86.9,86.9,86.9,1
2002-01-25,BULL CREEK,premium_98,85.5,85.5,85.5,85.5,1
2002-01-26,BULL CREEK,premium_98,90.3,90.3,90.3,90.3,1
2002-01-27,BULL CREEK,premium_98,90.3,90.3,90.3,90.3,1
2002-01-28,BULL CREEK,premium_98,90.3,90.3,90.3,90.3,1
2002-01-29,BULL CREEK,premium_98,90.3,90.3,90.3,90.3,1
2002-01-30,BULL CREEK,premium_98,85.4,85.4,85.4,85.4,1
2002-01-31,BULL CREEK,premium_98,85.4,85.4,85.4,85.4,1
2002-02-01,BULL CREEK,premium_98,89.3,89.3,89.3,89.3,1
2002-02-02,BULL CREEK,premium_98,89.3,89.3,89.3,89.3,1
2002-02-03,BULL CREEK,premium_98,89.3,89.3,89.3,89.3,1
2002-02-04,BULL CREEK,premium_98,89.3,89.3,89.3,89.3,1
2002-02-05,BULL CREEK,premium_98,89.3,89.3,89.3,89.3,1
2002-02-06,BULL CREEK,premium_98,86.9,86.9,86.9,86.9,1
2002-02-07,BULL CREEK,premium_98,86.9,86.9,86.9,86.9,1
