date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-02,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-03,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-04,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-05,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-06,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-07,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-08,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-09,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-10,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-11,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-12,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-13,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-14,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-15,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-16,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-17,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-18,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-19,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-20,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-21,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-22,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-23,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-24,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-25,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-26,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-27,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-28,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-29,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
2002-01-30,BUNBURY,lpg,49.9,49.9,49.9,49.9,7
