date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2012-01-01,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2012-01-02,BURSWOOD,premium_98,150.9,150.9,150.9,150.9,1
2012-01-03,BURSWOOD,premium_98,148.9,148.9,148.9,148.9,1
2012-01-04,BURSWOOD,premium_98,147.5,147.5,147.5,147.5,1
2012-01-05,BURSWOOD,premium_98,157.9,157.9,157.9,157.9,1
2012-01-06,BURSWOOD,premium_98,155.9,155.9,155.9,155.9,1
2012-01-07,BURSWOOD,premium_98,155.9,155.9,155.9,155.9,1
2012-01-08,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2012-01-09,BURSWOOD,premium_98,152.9,152.9,152.9,152.9,1
2012-01-10,BURSWOOD,premium_98,150.9,150.9,150.9,150.9,1
2012-01-11,BURSWOOD,premium_98,149.9,149.9,149.9,149.9,1
2012-01-12,BURSWOOD,premium_98,159.9,159.9,159.9,159.9,1
2012-01-13,BURSWOOD,premium_98,147.9,147.9,147.9,147.9,1
2012-01-14,BURSWOOD,premium_98,155.9,155.9,155.9,155.9,1
2012-01-15,BURSWOOD,premium_98,155.9,155.9,155.9,155.9,1
2012-01-16,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2012-01-17,BURSWOOD,premium_98,151.9,151.9,151.9,151.9,1
2012-01-18,BURSWOOD,premium_98,150.5,150.5,150.5,150.5,1
2012-01-19,BURSWOOD,premium_98,160.9,160.9,160.9,160.9,1
2012-01-20,BURSWOOD,premium_98,157.9,157.9,157.9,157.9,1
2012-01-21,BURSWOOD,premium_98,157.9,157.9,157.9,157.9,1
2012-01-22,BURSWOOD,premium_98,155.9,155.9,155.9,155.9,1
2012-01-23,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2012-01-24,BURSWOOD,premium_98,152.5,152.5,152.5,152.5,1
2012-01-25,BURSWOOD,premium_98,151.5,151.5,151.5,151.5,1
2012-01-26,BURSWOOD,premium_98,150.9,150.9,150.9,150.9,1
2012-01-27,BURSWOOD,premium_98,157.9,157.9,157.9,157.9,1
2012-01-28,BURSWOOD,premium_98,157.9,157.9,157.9,157.9,1
2012-01-29,BURSWOOD,premium_98,155.9,155.9,155.9,155.9,1
2012-01-30,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2012-01-31,BURSWOOD,premium_98,152.9,152.9,152.9,152.9,1
2012-02-01,BURSWOOD,premium_98,151.9,151.9,151.9,151.9,1
2012-02-02,BURSWOOD,premium_98,160.9,160.9,160.9,160.9,1
2012-02-03,BURSWOOD,premium_98,158.9,158.9,158.9,158.9,1
2012-02-04,BURSWOOD,premium_98,157.9,157.9,157.9,157.9,1
2012-02-05,BURSWOOD,premium_98,156.9,156.9,156.9,156.9,1
2012-02-06,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2012-02-07,BURSWOOD,premium_98,152.9,152.9,152.9,152.9,1
2012-02-08,BURSWOOD,premium_98,150.9,150.9,150.9,150.9,1
2012-02-09,BURSWOOD,premium_98,159.9,159.9,159.9,159.9,1
2012-02-10,BURSWOOD,premium_98,149.9,149.9,149.9,149.9,1
2012-02-11,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2012-02-12,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2012-02-13,BURSWOOD,premium_98,152.9,152.9,152.9,152.9,1
2012-02-14,BURSWOOD,premium_98,152.5,152.5,152.5,152.5,1
2012-02-15,BURSWOOD,premium_98,150.9,150.9,150.9,150.9,1
2012-02-16,BURSWOOD,premium_98,160.9,160.9,160.9,160.9,1
2012-02-17,BURSWOOD,premium_98,150.9,150.9,150.9,150.9,1
2012-02-18,BURSWOOD,premium_98,157.9,157.9,157.9,157.9,1
2012-02-19,BURSWOOD,premium_98,156.9,156.9,156.9,156.9,1
2012-02-20,BURSWOOD,premium_98,154.9,154.9,154.9,154.9,1
2012-02-21,BURSWOOD,premium_98,153.5,153.5,153.5,153.5,1
2012-02-22,BURSWOOD,premium_98,151.9,151.9,151.9,151.9,1
2012-02-23,BURSWOOD,premium_98,161.9,161.9,161.9,161.9,1
2012-02-24,BURSWOOD,premium_98,151.9,151.9,151.9,151.9,1
2012-02-25,BURSWOOD,premium_98,159.9,159.9,159.9,159.9,1
2012-02-26,BURSWOOD,premium_98,158.9,158.9,158.9,158.9,1
2012-02-27,BURSWOOD,premium_98,156.9,156.9,156.9,156.9,1
2012-02-28,BURSWOOD,premium_98,155.5,155.5,155.5,155.5,1
2012-02-29,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2013-01-01,BURSWOOD,premium_98,147.9,147.9,147.9,147.9,1
2013-01-02,BURSWOOD,premium_98,145.9,145.9,145.9,145.9,1
2013-01-03,BURSWOOD,premium_98,160.9,160.9,160.9,160.9,1
2013-01-04,BURSWOOD,premium_98,158.9,158.9,158.9,158.9,1
2013-01-05,BURSWOOD,premium_98,156.9,156.9,156.9,156.9,1
2013-01-06,BURSWOOD,premium_98,154.9,154.9,154.9,154.9,1
2013-01-07,BURSWOOD,premium_98,151.9,151.9,151.9,151.9,1
2013-01-08,BURSWOOD,premium_98,149.9,149.9,149.9,149.9,1
2013-01-09,BURSWOOD,premium_98,148.9,148.9,148.9,148.9,1
2013-01-10,BURSWOOD,premium_98,159.9,159.9,159.9,159.9,1
2013-01-11,BURSWOOD,premium_98,159.9,159.9,159.9,159.9,1
2013-01-12,BURSWOOD,premium_98,156.9,156.9,156.9,156.9,1
2013-01-13,BURSWOOD,premium_98,155.9,155.9,155.9,155.9,1
2013-01-14,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2013-01-15,BURSWOOD,premium_98,150.9,150.9,150.9,150.9,1
2013-01-16,BURSWOOD,premium_98,148.9,148.9,148.9,148.9,1
2013-01-17,BURSWOOD,premium_98,158.9,158.9,158.9,158.9,1
2013-01-18,BURSWOOD,premium_98,156.9,156.9,156.9,156.9,1
2013-01-19,BURSWOOD,premium_98,154.9,154.9,154.9,154.9,1
2013-01-20,BURSWOOD,premium_98,151.9,151.9,151.9,151.9,1
2013-01-21,BURSWOOD,premium_98,149.9,149.9,149.9,149.9,1
2013-01-22,BURSWOOD,premium_98,147.9,147.9,147.9,147.9,1
2013-01-23,BURSWOOD,premium_98,145.9,145.9,145.9,145.9,1
2013-01-24,BURSWOOD,premium_98,160.9,160.9,160.9,160.9,1
2013-01-25,BURSWOOD,premium_98,156.9,156.9,156.9,156.9,1
2013-01-26,BURSWOOD,premium_98,155.9,155.9,155.9,155.9,1
2013-01-27,BURSWOOD,premium_98,153.9,153.9,153.9,153.9,1
2013-01-28,BURSWOOD,premium_98,151.9,151.9,151.9,151.9,1
2013-01-29,BURSWOOD,premium_98,149.5,149.5,149.5,149.5,1
2013-01-30,BURSWOOD,premium_98,147.5,147.5,147.5,147.5,1
2013-01-31,BURSWOOD,premium_98,162.9,162.9,162.9,162.9,1
2013-02-01,BURSWOOD,premium_98,159.9,159.9,159.9,159.9,1
2013-02-02,BURSWOOD,premium_98,157.9,157.9,157.9,157.9,1
