date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2020-01-01,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-02,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-03,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-04,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-05,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-06,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-07,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-08,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-09,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-10,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-11,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-12,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-13,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-14,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-15,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-16,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-17,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-18,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-19,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-20,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-21,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-22,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-23,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-24,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-25,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-26,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-27,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-28,BYFORD,e85,189.9,189.9,189.9,189.9,1
2020-01-29,BYFORD,e85,189.9,189.9,189.9,189.9,1
