date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,BYFORD,premium_95,88.8,88.8,88.8,88.8,1
2002-01-02,BYFORD,premium_95,87.9,87.9,87.9,87.9,1
2002-01-03,BYFORD,premium_95,85.8,85.8,85.8,85.8,1
2002-01-04,BYFORD,premium_95,84.9,84.9,84.9,84.9,1
2002-01-05,BYFORD,premium_95,83.5,83.5,83.5,83.5,1
2002-01-06,BYFORD,premium_95,83.5,83.5,83.5,83.5,1
2002-01-07,BYFORD,premium_95,82.5,82.5,82.5,82.5,1
2002-01-08,BYFORD,premium_95,91.8,91.8,91.8,91.8,1
2002-01-09,BYFORD,premium_95,91.8,91.8,91.8,91.8,1
2002-01-10,BYFORD,premium_95,90.9,90.9,90.9,90.9,1
2002-01-11,BYFORD,premium_95,89.7,89.7,89.7,89.7,1
2002-01-12,BYFORD,premium_95,88.5,88.5,88.5,88.5,1
2002-01-13,BYFORD,premium_95,87.5,87.5,87.5,87.5,1
2002-01-14,BYFORD,premium_95,85.3,85.3,85.3,85.3,1
2002-01-15,BYFORD,premium_95,83.9,83.9,83.9,83.9,1
2002-01-16,BYFORD,premium_95,83.3,83.3,83.3,83.3,1
2002-01-17,BYFORD,premium_95,89.4,89.4,89.4,89.4,1
2002-01-18,BYFORD,premium_95,88.9,88.9,88.9,88.9,1
2002-01-19,BYFORD,premium_95,87.9,87.9,87.9,87.9,1
2002-01-20,BYFORD,premium_95,87.9,87.9,87.9,87.9,1
2002-01-21,BYFORD,premium_95,85.8,85.8,85.8,85.8,1
2002-01-22,BYFORD,premium_95,82.9,82.9,82.9,82.9,1
2002-01-23,BYFORD,premium_95,81.9,81.9,81.9,81.9,1
2002-01-24,BYFORD,premium_95,89.8,89.8,89.8,89.8,1
2002-01-25,BYFORD,premium_95,88.9,88.9,88.9,88.9,1
2002-01-26,BYFORD,premium_95,87.5,87.5,87.5,87.5,1
2002-01-27,BYFORD,premium_95,86.3,86.3,86.3,86.3,1
2002-01-28,BYFORD,premium_95,86.3,86.3,86.3,86.3,1
2002-01-29,BYFORD,premium_95,82.9,82.9,82.9,82.9,1
2002-01-30,BYFORD,premium_95,82.5,82.5,82.5,82.5,1
2002-01-31,BYFORD,premium_95,81.5,81.5,81.5,81.5,1
2002-02-01,BYFORD,premium_95,90.8,90.8,90.8,90.8,1
2002-02-02,BYFORD,premium_95,90.8,90.8,90.8,90.8,1
2002-02-03,BYFORD,premium_95,87.5,87.5,87.5,87.5,1
2002-02-04,BYFORD,premium_95,84.5,84.5,84.5,84.5,1
2002-02-05,BYFORD,premium_95,82.5,82.5,82.5,82.5,1
2002-02-06,BYFORD,premium_95,82.4,82.4,82.4,82.4,1
2002-02-07,BYFORD,premium_95,81.7,81.7,81.7,81.7,1
2002-02-08,BYFORD,premium_95,81.7,81.7,81.7,81.7,1
2002-02-09,BYFORD,premium_95,81.7,81.7,81.7,81.7,1
2002-02-10,BYFORD,premium_95,81.7,81.7,81.7,81.7,1
2002-02-11,BYFORD,premium_95,93.5,93.5,93.5,93.5,1
2002-02-12,BYFORD,premium_95,92.9,92.9,92.9,92.9,1
2002-02-13,BYFORD,premium_95,91.9,91.9,91.9,91.9,1
2002-02-14,BYFORD,premium_95,89.9,89.9,89.9,89.9,1
2002-02-15,BYFORD,premium_95,88.2,88.2,88.2,88.2,1
2002-02-16,BYFORD,premium_95,86.9,86.9,86.9,86.9,1
2002-02-17,BYFORD,premium_95,85.5,85.5,85.5,85.5,1
2002-02-18,BYFORD,premium_95,85.5,85.5,85.5,85.5,1
2002-02-19,BYFORD,premium_95,95.8,95.8,95.8,95.8,1
2002-02-20,BYFORD,premium_95,94.9,94.9,94.9,94.9,1
2002-02-21,BYFORD,premium_95,94.5,94.5,94.5,94.5,1
2002-02-22,BYFORD,premium_95,91.5,91.5,91.5,91.5,1
2002-02-23,BYFORD,premium_95,90.5,90.5,90.5,90.5,1
2002-02-24,BYFORD,premium_95,88.5,88.5,88.5,88.5,1
2002-02-25,BYFORD,premium_95,88.5,88.5,88.5,88.5,1
2002-02-26,BYFORD,premium_95,86.5,86.5,86.5,86.5,1
2002-02-27,BYFORD,premium_95,85.5,85.5,85.5,85.5,1
2002-02-28,BYFORD,premium_95,83.9,83.9,83.9,83.9,1
2003-01-01,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2003-01-02,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-03,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-04,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-05,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-06,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-07,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-08,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-09,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2003-01-10,BYFORD,premium_95,102.9,102.9,102.9,102.9,1
2003-01-11,BYFORD,premium_95,101.9,101.9,101.9,101.9,1
2003-01-12,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2003-01-13,BYFORD,premium_95,97.9,97.9,97.9,97.9,1
2003-01-14,BYFORD,premium_95,97.9,97.9,97.9,97.9,1
2003-01-15,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-16,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-17,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2003-01-18,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2003-01-19,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2003-01-20,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2003-01-21,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2003-01-22,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2003-01-23,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-24,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-25,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-26,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-27,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-28,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-29,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-30,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-31,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-02-01,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2003-02-02,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2003-02-03,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-02-04,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2003-02-05,BYFORD,premium_95,99.9,99.9,99.9,99.9,1
2003-02-06,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2003-02-07,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2003-02-08,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2003-02-09,BYFORD,premium_95,102.9,102.9,102.9,102.9,1
2003-02-10,BYFORD,premium_95,102.9,102.9,102.9,102.9,1
2003-02-11,BYFORD,premium_95,102.9,102.9,102.9,102.9,1
2003-02-12,BYFORD,premium_95,102.9,102.9,102.9,102.9,1
2003-02-13,BYFORD,premium_95,102.9,102.9,102.9,102.9,1
2003-02-14,BYFORD,premium_95,102.9,102.9,102.9,102.9,1
2003-02-15,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2003-02-16,BYFORD,premium_95,107.9,107.9,107.9,107.9,1
2003-02-17,BYFORD,premium_95,107.9,107.9,107.9,107.9,1
2003-02-18,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2003-02-19,BYFORD,premium_95,111.8,111.8,111.8,111.8,1
2003-02-20,BYFORD,premium_95,111.8,111.8,111.8,111.8,1
2003-02-21,BYFORD,premium_95,110.9,110.9,110.9,110.9,1
2003-02-22,BYFORD,premium_95,108.9,108.9,108.9,108.9,1
2003-02-23,BYFORD,premium_95,108.9,108.9,108.9,108.9,1
2003-02-24,BYFORD,premium_95,108.9,108.9,108.9,108.9,1
2003-02-25,BYFORD,premium_95,105.9,105.9,105.9,105.9,1
2003-02-26,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2003-02-27,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2003-02-28,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2004-01-01,BYFORD,premium_95,98.5,98.5,98.5,98.5,1
2004-01-02,BYFORD,premium_95,96.5,96.5,96.5,96.5,1
2004-01-03,BYFORD,premium_95,95.5,95.5,95.5,95.5,1
2004-01-04,BYFORD,premium_95,94.5,94.5,94.5,94.5,1
2004-01-05,BYFORD,premium_95,97.9,97.9,97.9,97.9,1
2004-01-06,BYFORD,premium_95,101.9,101.9,101.9,101.9,1
2004-01-07,BYFORD,premium_95,99.9,99.9,99.9,99.9,1
2004-01-08,BYFORD,premium_95,98.5,98.5,98.5,98.5,1
2004-01-09,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2004-01-10,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2004-01-11,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2004-01-12,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2004-01-13,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2004-01-14,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2004-01-15,BYFORD,premium_95,101.9,101.9,101.9,101.9,1
2004-01-16,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2004-01-17,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2004-01-18,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2004-01-19,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2004-01-20,BYFORD,premium_95,104.9,104.9,104.9,104.9,1
2004-01-21,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2004-01-22,BYFORD,premium_95,101.9,101.9,101.9,101.9,1
2004-01-23,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2004-01-24,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2004-01-25,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2004-01-26,BYFORD,premium_95,97.9,97.9,97.9,97.9,1
2004-01-27,BYFORD,premium_95,97.9,97.9,97.9,97.9,1
2004-01-28,BYFORD,premium_95,105.9,105.9,105.9,105.9,1
2004-01-29,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2004-01-30,BYFORD,premium_95,102.9,102.9,102.9,102.9,1
2004-01-31,BYFORD,premium_95,99.9,99.9,99.9,99.9,1
2004-02-01,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2004-02-02,BYFORD,premium_95,97.9,97.9,97.9,97.9,1
2004-02-03,BYFORD,premium_95,97.9,97.9,97.9,97.9,1
2004-02-04,BYFORD,premium_95,95.9,95.9,95.9,95.9,1
2004-02-05,BYFORD,premium_95,95.9,95.9,95.9,95.9,1
2004-02-06,BYFORD,premium_95,94.9,94.9,94.9,94.9,1
2004-02-07,BYFORD,premium_95,93.9,93.9,93.9,93.9,1
2004-02-08,BYFORD,premium_95,93.9,93.9,93.9,93.9,1
2004-02-09,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2004-02-10,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2004-02-11,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2004-02-12,BYFORD,premium_95,95.5,95.5,95.5,95.5,1
2004-02-13,BYFORD,premium_95,95.5,95.5,95.5,95.5,1
2004-02-14,BYFORD,premium_95,94.5,94.5,94.5,94.5,1
2004-02-15,BYFORD,premium_95,92.9,92.9,92.9,92.9,1
2004-02-16,BYFORD,premium_95,95.9,95.9,95.9,95.9,1
2004-02-17,BYFORD,premium_95,101.9,101.9,101.9,101.9,1
2004-02-18,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2004-02-19,BYFORD,premium_95,95.9,95.9,95.9,95.9,1
2004-02-20,BYFORD,premium_95,92.9,92.9,92.9,92.9,1
2004-02-21,BYFORD,premium_95,92.9,92.9,92.9,92.9,1
2004-02-22,BYFORD,premium_95,92.9,92.9,92.9,92.9,1
2004-02-23,BYFORD,premium_95,95.9,95.9,95.9,95.9,1
2004-02-24,BYFORD,premium_95,99.9,99.9,99.9,99.9,1
2004-02-25,BYFORD,premium_95,99.9,99.9,99.9,99.9,1
2004-02-26,BYFORD,premium_95,96.9,96.9,96.9,96.9,1
2004-02-27,BYFORD,premium_95,95.9,95.9,95.9,95.9,1
2004-02-28,BYFORD,premium_95,95.9,95.9,95.9,95.9,1
2004-02-29,BYFORD,premium_95,95.9,95.9,95.9,95.9,1
2005-01-01,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2005-01-02,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2005-01-03,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2005-01-04,BYFORD,premium_95,108.8,108.8,108.8,108.8,1
2005-01-05,BYFORD,premium_95,106.9,106.9,106.9,106.9,1
2005-01-06,BYFORD,premium_95,103.9,103.9,103.9,103.9,1
2005-01-07,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2005-01-08,BYFORD,premium_95,99.9,99.9,99.9,99.9,1
2005-01-09,BYFORD,premium_95,99.5,99.5,99.5,99.5,1
2005-01-10,BYFORD,premium_95,97.9,97.9,97.9,97.9,1
2005-01-11,BYFORD,premium_95,106.9,106.9,106.9,106.9,1
2005-01-12,BYFORD,premium_95,105.9,105.9,105.9,105.9,1
2005-01-13,BYFORD,premium_95,100.9,100.9,100.9,100.9,1
2005-01-14,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2005-01-15,BYFORD,premium_95,98.9,98.9,98.9,98.9,1
2005-01-16,BYFORD,premium_95,97.5,97.5,97.5,97.5,1
