date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-02,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-03,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-04,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-05,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-06,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-07,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-08,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-09,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-10,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-11,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-12,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-13,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-14,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-15,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-16,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-17,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-18,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-19,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-20,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-21,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-22,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-23,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-24,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-25,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-26,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-27,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-28,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-29,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-30,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-01-31,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-02-01,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-02-02,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-02-03,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-02-04,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-02-05,CALISTA,diesel,85.9,85.9,85.9,85.9,1
2002-02-06,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-07,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-08,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-09,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-10,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-11,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-12,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-13,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-14,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-15,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-16,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-17,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-18,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-19,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-20,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-21,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-22,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-23,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-24,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-25,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-26,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-27,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2002-02-28,CALISTA,diesel,82.9,82.9,82.9,82.9,1
2003-01-01,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-02,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-03,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-04,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-05,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-06,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-07,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-08,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-09,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-10,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-11,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-12,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-13,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-14,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-15,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-16,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-17,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-18,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-19,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-20,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-21,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-22,CALISTA,diesel,93.9,93.9,93.9,93.9,1
2003-01-23,CALISTA,diesel,94.9,94.9,94.9,94.9,1
2003-01-24,CALISTA,diesel,94.9,94.9,94.9,94.9,1
2003-01-25,CALISTA,diesel,94.9,94.9,94.9,94.9,1
2003-01-26,CALISTA,diesel,94.9,94.9,94.9,94.9,1
2003-01-27,CALISTA,diesel,94.9,94.9,94.9,94.9,1
2003-01-28,CALISTA,diesel,94.9,94.9,94.9,94.9,1
2003-01-29,CALISTA,diesel,94.5,94.5,94.5,94.5,1
2003-01-30,CALISTA,diesel,94.5,94.5,94.5,94.5,1
2003-01-31,CALISTA,diesel,94.5,94.5,94.5,94.5,1
2003-02-01,CALISTA,diesel,94.5,94.5,94.5,94.5,1
2003-02-02,CALISTA,diesel,94.5,94.5,94.5,94.5,1
2003-02-03,CALISTA,diesel,94.5,94.5,94.5,94.5,1
2003-02-04,CALISTA,diesel,94.5,94.5,94.5,94.5,1
2003-02-05,CALISTA,diesel,94.5,94.5,94.5,94.5,1
2003-02-06,CALISTA,diesel,94.9,94.9,94.9,94.9,1
2003-02-07,CALISTA,diesel,94.9,94.9,94.9,94.9,1
2003-02-08,CALISTA,diesel,96.9,96.9,96.9,96.9,1
2003-02-09,CALISTA,diesel,96.9,96.9,96.9,96.9,1
2003-02-10,CALISTA,diesel,96.9,96.9,96.9,96.9,1
2003-02-11,CALISTA,diesel,96.9,96.9,96.9,96.9,1
2003-02-12,CALISTA,diesel,96.9,96.9,96.9,96.9,1
2003-02-13,CALISTA,diesel,96.9,96.9,96.9,96.9,1
2003-02-14,CALISTA,diesel,96.9,96.9,96.9,96.9,1
2003-02-15,CALISTA,diesel,97.9,97.9,97.9,97.9,1
2003-02-16,CALISTA,diesel,97.9,97.9,97.9,97.9,1
2003-02-17,CALISTA,diesel,97.9,97.9,97.9,97.9,1
2003-02-18,CALISTA,diesel,98.9,98.9,98.9,98.9,1
