date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2021-01-01,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-02,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-03,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-04,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-05,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-06,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-07,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-08,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-09,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-10,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-11,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-12,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-13,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-14,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-15,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-16,CALISTA,premium_98,132.8,132.8,132.8,132.8,1
2021-01-17,CALISTA,premium_98,132.8,132.8,132.8,132.8,1
2021-01-18,CALISTA,premium_98,132.8,132.8,132.8,132.8,1
2021-01-19,CALISTA,premium_98,132.8,132.8,132.8,132.8,1
2021-01-20,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-21,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-22,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-23,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-24,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-25,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-26,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-27,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-28,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
2021-01-29,CALISTA,premium_98,129.8,129.8,129.8,129.8,1
