date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2024-01-01,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-02,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2024-01-03,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2024-01-04,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2024-01-05,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2024-01-06,CAMILLO,diesel,171.3,171.3,171.3,171.3,1
2024-01-07,CAMILLO,diesel,171.3,171.3,171.3,171.3,1
2024-01-08,CAMILLO,diesel,171.3,171.3,171.3,171.3,1
2024-01-09,CAMILLO,diesel,171.3,171.3,171.3,171.3,1
2024-01-10,CAMILLO,diesel,171.3,171.3,171.3,171.3,1
2024-01-11,CAMILLO,diesel,173.3,173.3,173.3,173.3,1
2024-01-12,CAMILLO,diesel,173.3,173.3,173.3,173.3,1
2024-01-13,CAMILLO,diesel,173.3,173.3,173.3,173.3,1
2024-01-14,CAMILLO,diesel,173.3,173.3,173.3,173.3,1
2024-01-15,CAMILLO,diesel,173.3,173.3,173.3,173.3,1
2024-01-16,CAMILLO,diesel,173.3,173.3,173.3,173.3,1
2024-01-17,CAMILLO,diesel,173.3,173.3,173.3,173.3,1
2024-01-18,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2024-01-19,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2024-01-20,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2024-01-21,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-22,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-23,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-24,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-25,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-26,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-27,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-28,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-29,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-30,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2024-01-31,CAMILLO,diesel,179.3,179.3,179.3,179.3,1
2025-01-01,CAMILLO,diesel,167.3,167.3,167.3,167.3,1
2025-01-02,CAMILLO,diesel,167.3,167.3,167.3,167.3,1
2025-01-03,CAMILLO,diesel,167.3,167.3,167.3,167.3,1
2025-01-04,CAMILLO,diesel,171.3,171.3,171.3,171.3,1
2025-01-05,CAMILLO,diesel,171.3,171.3,171.3,171.3,1
2025-01-06,CAMILLO,diesel,171.3,171.3,171.3,171.3,1
2025-01-07,CAMILLO,diesel,166.3,166.3,166.3,166.3,1
2025-01-08,CAMILLO,diesel,166.3,166.3,166.3,166.3,1
2025-01-09,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2025-01-10,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2025-01-11,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2025-01-12,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2025-01-13,CAMILLO,diesel,175.3,175.3,175.3,175.3,1
2025-01-14,CAMILLO,diesel,169.3,169.3,169.3,169.3,1
2025-01-15,CAMILLO,diesel,169.3,169.3,169.3,169.3,1
2025-01-16,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2025-01-17,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2025-01-18,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2025-01-19,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2025-01-20,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2025-01-21,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2025-01-22,CAMILLO,diesel,176.3,176.3,176.3,176.3,1
2025-01-23,CAMILLO,diesel,179.3,179.3,179.3,179.3,1
2025-01-24,CAMILLO,diesel,179.3,179.3,179.3,179.3,1
2025-01-25,CAMILLO,diesel,179.3,179.3,179.3,179.3,1
2025-01-26,CAMILLO,diesel,179.3,179.3,179.3,179.3,1
2025-01-27,CAMILLO,diesel,179.3,179.3,179.3,179.3,1
2025-01-28,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2025-01-29,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2025-01-30,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2025-01-31,CAMILLO,diesel,177.3,177.3,177.3,177.3,1
2026-01-01,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-02,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-03,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-04,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-05,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-06,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-07,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-08,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-09,CAMILLO,diesel,157.3,157.3,157.3,157.3,1
2026-01-10,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-11,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-12,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-13,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-14,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-15,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-16,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-17,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-18,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-19,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-20,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-21,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-22,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-23,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-24,CAMILLO,diesel,161.3,161.3,161.3,161.3,1
2026-01-25,CAMILLO,diesel,161.3,161.3,161.3,161.3,1
2026-01-26,CAMILLO,diesel,161.3,161.3,161.3,161.3,1
2026-01-27,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-28,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-29,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-30,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
2026-01-31,CAMILLO,diesel,159.3,159.3,159.3,159.3,1
