date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CANNING VALE,lpg,40.5,41.5,43.5,40.5,4
2002-01-02,CANNING VALE,lpg,40.5,41.5,43.5,40.5,4
2002-01-03,CANNING VALE,lpg,40.5,41.5,43.5,40.5,4
2002-01-04,CANNING VALE,lpg,40.5,41.5,43.5,40.5,4
2002-01-05,CANNING VALE,lpg,40.5,41.5,43.5,40.5,4
2002-01-06,CANNING VALE,lpg,40.5,41.5,43.5,40.5,4
2002-01-07,CANNING VALE,lpg,40.5,41.5,43.5,40.5,4
2002-01-08,CANNING VALE,lpg,40.5,41.5,43.5,40.5,4
2002-01-09,CANNING VALE,lpg,40.5,43.5,48.9,40.5,4
2002-01-10,CANNING VALE,lpg,40.5,44.5,48.9,40.5,4
2002-01-11,CANNING VALE,lpg,40.5,46.0,47.9,40.5,4
2002-01-12,CANNING VALE,lpg,47.5,47.8,47.9,47.5,4
2002-01-13,CANNING VALE,lpg,47.5,47.8,47.9,47.5,4
2002-01-14,CANNING VALE,lpg,47.5,47.8,47.9,47.5,4
2002-01-15,CANNING VALE,lpg,47.5,47.8,47.9,47.5,4
2002-01-16,CANNING VALE,lpg,47.2,47.6,47.9,47.2,4
2002-01-17,CANNING VALE,lpg,44.9,46.9,47.9,44.9,4
2002-01-18,CANNING VALE,lpg,44.9,46.9,47.9,44.9,4
2002-01-19,CANNING VALE,lpg,44.9,45.5,47.2,44.9,4
2002-01-20,CANNING VALE,lpg,44.9,45.5,47.2,44.9,4
2002-01-21,CANNING VALE,lpg,44.9,45.5,47.2,44.9,4
2002-01-22,CANNING VALE,lpg,44.9,45.0,45.5,44.9,4
2002-01-23,CANNING VALE,lpg,43.3,44.1,44.9,43.3,4
2002-01-24,CANNING VALE,lpg,43.3,44.1,44.9,43.3,4
2002-01-25,CANNING VALE,lpg,43.3,43.7,44.9,43.3,4
2002-01-26,CANNING VALE,lpg,42.9,43.2,43.3,42.9,4
2002-01-27,CANNING VALE,lpg,42.9,43.2,43.3,42.9,4
2002-01-28,CANNING VALE,lpg,42.9,43.2,43.3,42.9,4
2002-01-29,CANNING VALE,lpg,42.9,43.2,43.3,42.9,4
2002-01-30,CANNING VALE,lpg,42.9,43.0,43.3,42.9,4
2002-01-31,CANNING VALE,lpg,42.9,43.0,43.3,42.9,4
2002-02-01,CANNING VALE,lpg,42.9,43.0,43.3,42.9,4
2002-02-02,CANNING VALE,lpg,42.9,44.5,45.9,42.9,4
2002-02-03,CANNING VALE,lpg,42.9,44.5,45.9,42.9,4
2002-02-04,CANNING VALE,lpg,42.9,44.5,45.9,42.9,4
2002-02-05,CANNING VALE,lpg,42.9,45.1,45.9,42.9,4
2002-02-06,CANNING VALE,lpg,42.9,45.1,45.9,42.9,4
2002-02-07,CANNING VALE,lpg,42.9,45.1,45.9,42.9,4
2002-02-08,CANNING VALE,lpg,45.9,45.9,45.9,45.9,4
2002-02-09,CANNING VALE,lpg,45.9,45.9,45.9,45.9,4
2002-02-10,CANNING VALE,lpg,45.9,45.9,45.9,45.9,4
2002-02-11,CANNING VALE,lpg,45.9,45.9,45.9,45.9,4
2002-02-12,CANNING VALE,lpg,42.9,45.1,45.9,42.9,4
2002-02-13,CANNING VALE,lpg,42.9,43.6,45.9,42.9,4
2002-02-14,CANNING VALE,lpg,42.9,42.9,42.9,42.9,4
2002-02-15,CANNING VALE,lpg,42.9,42.9,42.9,42.9,4
2002-02-16,CANNING VALE,lpg,41.9,42.4,42.9,41.9,4
2002-02-17,CANNING VALE,lpg,41.9,42.4,42.9,41.9,4
2002-02-18,CANNING VALE,lpg,41.9,42.4,42.9,41.9,4
2002-02-19,CANNING VALE,lpg,40.9,41.8,42.9,40.9,4
2002-02-20,CANNING VALE,lpg,40.9,41.2,41.5,40.9,4
2002-02-21,CANNING VALE,lpg,40.9,41.2,41.5,40.9,4
2002-02-22,CANNING VALE,lpg,40.9,40.9,40.9,40.9,4
2002-02-23,CANNING VALE,lpg,39.9,40.4,40.9,39.9,4
2002-02-24,CANNING VALE,lpg,39.5,40.2,40.9,39.5,4
