date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CANNING VALE,premium_95,87.8,88.2,88.9,87.8,3
2002-01-02,CANNING VALE,premium_95,84.9,85.4,85.9,84.9,3
2002-01-03,CANNING VALE,premium_95,82.2,84.3,85.9,82.2,3
2002-01-04,CANNING VALE,premium_95,82.2,83.2,83.9,82.2,3
2002-01-05,CANNING VALE,premium_95,79.9,82.2,83.5,79.9,3
2002-01-06,CANNING VALE,premium_95,79.5,82.1,83.5,79.5,3
2002-01-07,CANNING VALE,premium_95,79.5,82.0,83.7,79.5,3
2002-01-08,CANNING VALE,premium_95,79.9,88.9,93.9,79.9,3
2002-01-09,CANNING VALE,premium_95,91.5,92.6,93.5,91.5,3
2002-01-10,CANNING VALE,premium_95,89.9,90.3,91.0,89.9,3
2002-01-11,CANNING VALE,premium_95,87.9,89.2,90.3,87.9,3
2002-01-12,CANNING VALE,premium_95,86.9,87.8,88.7,86.9,3
2002-01-13,CANNING VALE,premium_95,85.9,86.5,87.3,85.9,3
2002-01-14,CANNING VALE,premium_95,83.9,85.1,86.4,83.9,3
2002-01-15,CANNING VALE,premium_95,83.5,84.0,84.7,83.5,3
2002-01-16,CANNING VALE,premium_95,82.9,85.5,89.9,82.9,3
2002-01-17,CANNING VALE,premium_95,89.9,90.6,91.5,89.9,3
2002-01-18,CANNING VALE,premium_95,87.5,88.7,89.6,87.5,3
2002-01-19,CANNING VALE,premium_95,86.5,87.0,87.5,86.5,3
2002-01-20,CANNING VALE,premium_95,84.9,86.3,87.5,84.9,3
2002-01-21,CANNING VALE,premium_95,84.9,85.9,86.9,84.9,3
2002-01-22,CANNING VALE,premium_95,82.9,83.7,84.7,82.9,3
2002-01-23,CANNING VALE,premium_95,81.9,82.4,83.3,81.9,3
2002-01-24,CANNING VALE,premium_95,80.5,87.8,91.9,80.5,3
2002-01-25,CANNING VALE,premium_95,88.9,89.9,90.9,88.9,3
2002-01-26,CANNING VALE,premium_95,86.5,87.5,88.2,86.5,3
2002-01-27,CANNING VALE,premium_95,84.9,86.2,87.3,84.9,3
2002-01-28,CANNING VALE,premium_95,83.9,84.4,85.5,83.9,3
2002-01-29,CANNING VALE,premium_95,82.9,83.4,84.3,82.9,3
2002-01-30,CANNING VALE,premium_95,80.5,82.0,83.6,80.5,3
2002-01-31,CANNING VALE,premium_95,80.5,81.2,82.3,80.5,3
