date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CANNINGTON,lpg,40.9,41.9,42.9,40.9,2
2002-01-02,CANNINGTON,lpg,39.9,40.4,40.9,39.9,2
2002-01-03,CANNINGTON,lpg,39.9,39.9,39.9,39.9,2
2002-01-04,CANNINGTON,lpg,39.9,39.9,39.9,39.9,2
2002-01-05,CANNINGTON,lpg,39.9,39.9,39.9,39.9,2
2002-01-06,CANNINGTON,lpg,39.9,39.9,39.9,39.9,2
2002-01-07,CANNINGTON,lpg,39.9,39.9,39.9,39.9,2
2002-01-08,CANNINGTON,lpg,39.9,39.9,39.9,39.9,2
2002-01-09,CANNINGTON,lpg,39.9,43.9,47.9,39.9,2
2002-01-10,CANNINGTON,lpg,39.9,43.9,47.9,39.9,2
2002-01-11,CANNINGTON,lpg,47.9,47.9,47.9,47.9,2
2002-01-12,CANNINGTON,lpg,47.9,47.9,47.9,47.9,2
2002-01-13,CANNINGTON,lpg,44.7,46.3,47.9,44.7,2
2002-01-14,CANNINGTON,lpg,44.7,46.3,47.9,44.7,2
2002-01-15,CANNINGTON,lpg,43.9,45.9,47.9,43.9,2
2002-01-16,CANNINGTON,lpg,43.9,45.9,47.9,43.9,2
2002-01-17,CANNINGTON,lpg,43.9,45.9,47.9,43.9,2
2002-01-18,CANNINGTON,lpg,43.9,45.9,47.9,43.9,2
2002-01-19,CANNINGTON,lpg,42.9,43.4,43.9,42.9,2
2002-01-20,CANNINGTON,lpg,42.9,43.2,43.5,42.9,2
2002-01-21,CANNINGTON,lpg,42.9,43.2,43.5,42.9,2
2002-01-22,CANNINGTON,lpg,42.9,43.2,43.5,42.9,2
2002-01-23,CANNINGTON,lpg,42.9,43.2,43.5,42.9,2
2002-01-24,CANNINGTON,lpg,42.9,43.2,43.5,42.9,2
2002-01-25,CANNINGTON,lpg,42.9,43.2,43.5,42.9,2
2002-01-26,CANNINGTON,lpg,42.9,43.2,43.5,42.9,2
2002-01-27,CANNINGTON,lpg,42.9,43.2,43.5,42.9,2
2002-01-28,CANNINGTON,lpg,42.9,42.9,42.9,42.9,2
2002-01-29,CANNINGTON,lpg,42.9,42.9,42.9,42.9,2
2002-01-30,CANNINGTON,lpg,41.5,42.2,42.9,41.5,2
2002-01-31,CANNINGTON,lpg,41.5,42.2,42.9,41.5,2
2002-02-01,CANNINGTON,lpg,42.9,44.4,45.9,42.9,2
2002-02-02,CANNINGTON,lpg,42.9,44.4,45.9,42.9,2
2002-02-03,CANNINGTON,lpg,42.9,44.4,45.9,42.9,2
2002-02-04,CANNINGTON,lpg,45.9,45.9,45.9,45.9,2
2002-02-05,CANNINGTON,lpg,45.9,45.9,45.9,45.9,2
2002-02-06,CANNINGTON,lpg,41.5,42.2,42.9,41.5,2
2002-02-07,CANNINGTON,lpg,42.9,44.4,45.9,42.9,2
2002-02-08,CANNINGTON,lpg,42.9,44.4,45.9,42.9,2
2002-02-09,CANNINGTON,lpg,42.9,44.4,45.9,42.9,2
