date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-02,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-03,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-04,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-05,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-06,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-07,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-08,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-09,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-10,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-11,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-12,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-13,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-14,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-15,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-16,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-17,CAPEL,premium_95,95.7,95.7,95.7,95.7,1
2002-01-18,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-19,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-20,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-21,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-22,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-23,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-24,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-25,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-26,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-27,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-28,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-29,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-30,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-01-31,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-01,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-02,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-03,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-04,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-05,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-06,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-07,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-08,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-09,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-10,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-11,CAPEL,premium_95,93.5,93.5,93.5,93.5,1
2002-02-12,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-13,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-14,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-15,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-16,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-17,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-18,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-19,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-20,CAPEL,premium_95,96.9,96.9,96.9,96.9,1
2002-02-21,CAPEL,premium_95,98.5,98.5,98.5,98.5,1
2002-02-22,CAPEL,premium_95,98.5,98.5,98.5,98.5,1
2002-02-23,CAPEL,premium_95,98.5,98.5,98.5,98.5,1
2002-02-24,CAPEL,premium_95,98.5,98.5,98.5,98.5,1
2002-02-25,CAPEL,premium_95,98.5,98.5,98.5,98.5,1
2002-02-26,CAPEL,premium_95,98.5,98.5,98.5,98.5,1
