date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2015-01-01,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-02,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-03,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-04,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-05,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-06,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-07,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-08,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-09,CAREY PARK,premium_98,146.9,146.9,146.9,146.9,1
2015-01-10,CAREY PARK,premium_98,144.9,144.9,144.9,144.9,1
2015-01-11,CAREY PARK,premium_98,144.9,144.9,144.9,144.9,1
2015-01-12,CAREY PARK,premium_98,144.9,144.9,144.9,144.9,1
2015-01-13,CAREY PARK,premium_98,144.9,144.9,144.9,144.9,1
2015-01-14,CAREY PARK,premium_98,143.9,143.9,143.9,143.9,1
2015-01-15,CAREY PARK,premium_98,143.9,143.9,143.9,143.9,1
2015-01-16,CAREY PARK,premium_98,143.9,143.9,143.9,143.9,1
2015-01-17,CAREY PARK,premium_98,139.9,139.9,139.9,139.9,1
2015-01-18,CAREY PARK,premium_98,139.9,139.9,139.9,139.9,1
2015-01-19,CAREY PARK,premium_98,136.9,136.9,136.9,136.9,1
2015-01-20,CAREY PARK,premium_98,136.9,136.9,136.9,136.9,1
2015-01-21,CAREY PARK,premium_98,135.9,135.9,135.9,135.9,1
2015-01-22,CAREY PARK,premium_98,135.9,135.9,135.9,135.9,1
2015-01-23,CAREY PARK,premium_98,135.9,135.9,135.9,135.9,1
2015-01-24,CAREY PARK,premium_98,135.9,135.9,135.9,135.9,1
2015-01-25,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-01-26,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-01-27,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-01-28,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-01-29,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-01-30,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-01-31,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-02-01,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-02-02,CAREY PARK,premium_98,134.9,134.9,134.9,134.9,1
2015-02-03,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-04,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-05,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-06,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-07,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-08,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-09,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-10,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-11,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-12,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
2015-02-13,CAREY PARK,premium_98,132.9,132.9,132.9,132.9,1
