date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CARINE,diesel,84.9,86.4,87.9,84.9,2
2002-01-02,CARINE,diesel,84.9,86.4,87.9,84.9,2
2002-01-03,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-04,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-05,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-06,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-07,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-08,CARINE,diesel,84.9,86.4,87.9,84.9,2
2002-01-09,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-10,CARINE,diesel,85.9,87.4,88.9,85.9,2
2002-01-11,CARINE,diesel,85.9,87.4,88.9,85.9,2
2002-01-12,CARINE,diesel,85.9,87.4,88.9,85.9,2
2002-01-13,CARINE,diesel,85.9,87.4,88.9,85.9,2
2002-01-14,CARINE,diesel,85.9,87.4,88.9,85.9,2
2002-01-15,CARINE,diesel,85.9,87.4,88.9,85.9,2
2002-01-16,CARINE,diesel,85.9,87.4,88.9,85.9,2
2002-01-17,CARINE,diesel,86.9,87.9,88.9,86.9,2
2002-01-18,CARINE,diesel,86.9,87.9,88.9,86.9,2
2002-01-19,CARINE,diesel,86.9,87.9,88.9,86.9,2
2002-01-20,CARINE,diesel,86.9,87.9,88.9,86.9,2
2002-01-21,CARINE,diesel,86.9,87.9,88.9,86.9,2
2002-01-22,CARINE,diesel,86.9,87.4,87.9,86.9,2
2002-01-23,CARINE,diesel,86.9,87.4,87.9,86.9,2
2002-01-24,CARINE,diesel,86.9,87.4,87.9,86.9,2
2002-01-25,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-26,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-27,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-28,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-29,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-01-30,CARINE,diesel,84.9,86.4,87.9,84.9,2
2002-01-31,CARINE,diesel,84.9,86.4,87.9,84.9,2
2002-02-01,CARINE,diesel,84.9,86.4,87.9,84.9,2
2002-02-02,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-02-03,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-02-04,CARINE,diesel,84.9,86.9,88.9,84.9,2
2002-02-05,CARINE,diesel,84.9,86.5,88.0,84.9,2
2002-02-06,CARINE,diesel,84.9,86.5,88.0,84.9,2
2002-02-07,CARINE,diesel,84.9,86.7,88.5,84.9,2
2002-02-08,CARINE,diesel,84.9,86.2,87.5,84.9,2
2002-02-09,CARINE,diesel,84.9,86.2,87.5,84.9,2
2002-02-10,CARINE,diesel,84.9,86.2,87.5,84.9,2
2002-02-11,CARINE,diesel,84.9,86.2,87.5,84.9,2
2002-02-12,CARINE,diesel,84.9,86.2,87.5,84.9,2
2002-02-13,CARINE,diesel,84.9,86.2,87.5,84.9,2
2002-02-14,CARINE,diesel,84.9,86.1,87.3,84.9,2
