date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-02,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-03,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-04,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-05,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-06,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-07,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-08,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-09,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-10,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-11,CARNARVON,diesel,91.5,92.5,93.5,91.5,2
2002-01-12,CARNARVON,diesel,91.5,91.7,91.8,91.5,2
2002-01-13,CARNARVON,diesel,91.5,91.7,91.8,91.5,2
2002-01-14,CARNARVON,diesel,91.5,91.7,91.8,91.5,2
2002-01-15,CARNARVON,diesel,91.5,91.7,91.8,91.5,2
2002-01-16,CARNARVON,diesel,91.5,91.7,91.8,91.5,2
2002-01-17,CARNARVON,diesel,91.5,91.7,91.8,91.5,2
2002-01-18,CARNARVON,diesel,91.5,91.7,91.8,91.5,2
2002-01-19,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-20,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-21,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-22,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-23,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-24,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-25,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-26,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-27,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-28,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-29,CARNARVON,diesel,91.0,91.2,91.5,91.0,2
2002-01-30,CARNARVON,diesel,91.5,91.6,91.7,91.5,2
2002-01-31,CARNARVON,diesel,91.5,91.6,91.7,91.5,2
2002-02-01,CARNARVON,diesel,91.5,91.6,91.7,91.5,2
