date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-02,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-03,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-04,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-05,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-06,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-07,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-08,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-09,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-10,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-11,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-12,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-13,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-14,CASTLETOWN,ulp_91,87.7,89.1,91.7,87.7,3
2002-01-15,CASTLETOWN,ulp_91,86.9,88.2,89.9,86.9,3
2002-01-16,CASTLETOWN,ulp_91,86.9,88.2,89.9,86.9,3
2002-01-17,CASTLETOWN,ulp_91,86.9,88.2,89.9,86.9,3
2002-01-18,CASTLETOWN,ulp_91,86.9,88.2,89.9,86.9,3
2002-01-19,CASTLETOWN,ulp_91,86.6,87.8,89.9,86.6,3
2002-01-20,CASTLETOWN,ulp_91,86.6,87.8,89.9,86.6,3
2002-01-21,CASTLETOWN,ulp_91,86.6,87.8,89.9,86.6,3
2002-01-22,CASTLETOWN,ulp_91,85.9,87.1,88.9,85.9,3
2002-01-23,CASTLETOWN,ulp_91,85.9,87.1,88.9,85.9,3
2002-01-24,CASTLETOWN,ulp_91,85.9,86.9,88.9,85.9,3
2002-01-25,CASTLETOWN,ulp_91,85.9,86.9,88.9,85.9,3
2002-01-26,CASTLETOWN,ulp_91,85.9,86.9,88.9,85.9,3
2002-01-27,CASTLETOWN,ulp_91,85.9,86.9,88.9,85.9,3
2002-01-28,CASTLETOWN,ulp_91,85.9,86.9,88.9,85.9,3
2002-01-29,CASTLETOWN,ulp_91,85.9,86.9,88.9,85.9,3
2002-01-30,CASTLETOWN,ulp_91,85.9,86.9,88.9,85.9,3
2002-01-31,CASTLETOWN,ulp_91,85.9,86.9,88.9,85.9,3
2002-02-01,CASTLETOWN,ulp_91,85.9,87.4,89.9,85.9,3
2002-02-02,CASTLETOWN,ulp_91,85.9,87.4,89.9,85.9,3
2002-02-03,CASTLETOWN,ulp_91,85.9,87.4,89.9,85.9,3
2002-02-04,CASTLETOWN,ulp_91,86.5,87.8,89.9,86.5,3
