date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-02,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-03,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-04,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-05,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-06,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-07,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-08,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-09,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-10,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-11,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-12,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-13,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-14,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-15,CATABY,diesel,102.0,102.5,103.0,102.0,2
2004-01-16,CATABY,diesel,103.0,103.0,103.0,103.0,2
2004-01-17,CATABY,diesel,103.0,103.0,103.0,103.0,2
2004-01-18,CATABY,diesel,103.0,103.0,103.0,103.0,2
2004-01-19,CATABY,diesel,103.0,103.8,104.5,103.0,2
2004-01-20,CATABY,diesel,103.0,103.8,104.5,103.0,2
2004-01-21,CATABY,diesel,103.0,103.8,104.5,103.0,2
2004-01-22,CATABY,diesel,103.0,103.8,104.5,103.0,2
2004-01-23,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-01-24,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-01-25,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-01-26,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-01-27,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-01-28,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-01-29,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-01-30,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-01-31,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-02-01,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-02-02,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-02-03,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-02-04,CATABY,diesel,103.0,104.0,105.0,103.0,2
2004-02-05,CATABY,diesel,103.0,103.5,104.0,103.0,2
2004-02-06,CATABY,diesel,103.0,103.5,104.0,103.0,2
2004-02-07,CATABY,diesel,103.0,103.5,104.0,103.0,2
2004-02-08,CATABY,diesel,103.0,103.5,104.0,103.0,2
2004-02-09,CATABY,diesel,103.0,103.5,104.0,103.0,2
2004-02-10,CATABY,diesel,103.0,103.5,104.0,103.0,2
2004-02-11,CATABY,diesel,104.0,106.5,109.0,104.0,2
2004-02-12,CATABY,diesel,104.0,106.5,109.0,104.0,2
2004-02-13,CATABY,diesel,103.0,106.0,109.0,103.0,2
2004-02-14,CATABY,diesel,103.0,106.0,109.0,103.0,2
2004-02-15,CATABY,diesel,103.0,106.0,109.0,103.0,2
2004-02-16,CATABY,diesel,103.0,106.0,109.0,103.0,2
2004-02-17,CATABY,diesel,103.0,106.0,109.0,103.0,2
2004-02-18,CATABY,diesel,102.0,105.5,109.0,102.0,2
2004-02-19,CATABY,diesel,102.0,105.5,109.0,102.0,2
2004-02-20,CATABY,diesel,102.0,105.5,109.0,102.0,2
2004-02-21,CATABY,diesel,102.0,105.5,109.0,102.0,2
2004-02-22,CATABY,diesel,101.0,105.0,109.0,101.0,2
2004-02-23,CATABY,diesel,101.0,105.0,109.0,101.0,2
2004-02-24,CATABY,diesel,102.0,105.5,109.0,102.0,2
2004-02-25,CATABY,diesel,102.0,105.5,109.0,102.0,2
2004-02-26,CATABY,diesel,102.0,103.0,104.0,102.0,2
2004-02-27,CATABY,diesel,102.0,103.0,104.0,102.0,2
2004-02-28,CATABY,diesel,102.0,103.0,104.0,102.0,2
2004-02-29,CATABY,diesel,102.0,103.0,104.0,102.0,2
2005-01-01,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-02,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-03,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-04,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-05,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-06,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-07,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-08,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-09,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-10,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-11,CATABY,diesel,113.0,113.5,114.0,113.0,2
2005-01-12,CATABY,diesel,110.0,111.5,113.0,110.0,2
2005-01-13,CATABY,diesel,110.0,111.5,113.0,110.0,2
2005-01-14,CATABY,diesel,110.0,111.5,113.0,110.0,2
2005-01-15,CATABY,diesel,110.0,111.5,113.0,110.0,2
2005-01-16,CATABY,diesel,110.0,111.5,113.0,110.0,2
2005-01-17,CATABY,diesel,110.0,111.5,113.0,110.0,2
2005-01-18,CATABY,diesel,112.0,112.5,113.0,112.0,2
