date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2003-01-01,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-02,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-03,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-04,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-05,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-06,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-07,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-08,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-09,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-10,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-11,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-12,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-13,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-14,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-15,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-16,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-17,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-18,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-19,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-20,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-21,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-22,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-23,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-24,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-25,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-26,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-27,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-28,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-29,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-30,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-01-31,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-02-01,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-02-02,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-02-03,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-02-04,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-02-05,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-02-06,CAVERSHAM,diesel,96.9,96.9,96.9,96.9,1
2003-02-07,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-08,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-09,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-10,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-11,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-12,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-13,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-14,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-15,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-16,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-17,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-18,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-19,CAVERSHAM,diesel,98.9,98.9,98.9,98.9,1
2003-02-20,CAVERSHAM,diesel,104.9,104.9,104.9,104.9,1
2003-02-21,CAVERSHAM,diesel,104.9,104.9,104.9,104.9,1
2003-02-22,CAVERSHAM,diesel,104.9,104.9,104.9,104.9,1
2003-02-23,CAVERSHAM,diesel,104.9,104.9,104.9,104.9,1
2003-02-24,CAVERSHAM,diesel,104.9,104.9,104.9,104.9,1
