date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2017-01-01,CAVERSHAM,premium_95,136.9,136.9,136.9,136.9,1
2017-01-02,CAVERSHAM,premium_95,134.9,134.9,134.9,134.9,1
2017-01-03,CAVERSHAM,premium_95,147.9,147.9,147.9,147.9,1
2017-01-04,CAVERSHAM,premium_95,143.9,143.9,143.9,143.9,1
2017-01-05,CAVERSHAM,premium_95,143.9,143.9,143.9,143.9,1
2017-01-06,CAVERSHAM,premium_95,140.9,140.9,140.9,140.9,1
2017-01-07,CAVERSHAM,premium_95,138.9,138.9,138.9,138.9,1
2017-01-08,CAVERSHAM,premium_95,136.9,136.9,136.9,136.9,1
2017-01-09,CAVERSHAM,premium_95,134.9,134.9,134.9,134.9,1
2017-01-10,CAVERSHAM,premium_95,152.9,152.9,152.9,152.9,1
2017-01-11,CAVERSHAM,premium_95,150.9,150.9,150.9,150.9,1
2017-01-12,CAVERSHAM,premium_95,148.9,148.9,148.9,148.9,1
2017-01-13,CAVERSHAM,premium_95,146.9,146.9,146.9,146.9,1
2017-01-14,CAVERSHAM,premium_95,144.9,144.9,144.9,144.9,1
2017-01-15,CAVERSHAM,premium_95,142.9,142.9,142.9,142.9,1
2017-01-16,CAVERSHAM,premium_95,140.5,140.5,140.5,140.5,1
2017-01-17,CAVERSHAM,premium_95,150.9,150.9,150.9,150.9,1
2017-01-18,CAVERSHAM,premium_95,148.9,148.9,148.9,148.9,1
2017-01-19,CAVERSHAM,premium_95,146.9,146.9,146.9,146.9,1
2017-01-20,CAVERSHAM,premium_95,144.9,144.9,144.9,144.9,1
2017-01-21,CAVERSHAM,premium_95,142.9,142.9,142.9,142.9,1
2017-01-22,CAVERSHAM,premium_95,140.9,140.9,140.9,140.9,1
2017-01-23,CAVERSHAM,premium_95,138.9,138.9,138.9,138.9,1
2017-01-24,CAVERSHAM,premium_95,150.9,150.9,150.9,150.9,1
2017-01-25,CAVERSHAM,premium_95,148.9,148.9,148.9,148.9,1
2017-01-26,CAVERSHAM,premium_95,143.9,143.9,143.9,143.9,1
2017-01-27,CAVERSHAM,premium_95,141.9,141.9,141.9,141.9,1
2017-01-28,CAVERSHAM,premium_95,138.9,138.9,138.9,138.9,1
2017-01-29,CAVERSHAM,premium_95,136.9,136.9,136.9,136.9,1
2017-01-30,CAVERSHAM,premium_95,134.7,134.7,134.7,134.7,1
2017-01-31,CAVERSHAM,premium_95,150.9,150.9,150.9,150.9,1
2017-02-01,CAVERSHAM,premium_95,148.9,148.9,148.9,148.9,1
2017-02-02,CAVERSHAM,premium_95,144.9,144.9,144.9,144.9,1
