date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-02,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-03,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-04,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-05,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-06,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-07,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-08,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-09,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-10,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-11,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-12,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-13,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-14,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-15,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-16,CAVERSHAM,ulp_91,81.5,82.8,84.2,81.5,2
2002-01-17,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-18,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-19,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-20,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-21,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-22,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-23,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-24,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-25,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-26,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-27,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-28,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-29,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-30,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-01-31,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-02-01,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-02-02,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-02-03,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-02-04,CAVERSHAM,ulp_91,79.9,80.7,81.5,79.9,2
2002-02-05,CAVERSHAM,ulp_91,81.5,82.1,82.7,81.5,2
2002-02-06,CAVERSHAM,ulp_91,81.5,82.1,82.7,81.5,2
2002-02-07,CAVERSHAM,ulp_91,81.5,82.1,82.7,81.5,2
2002-02-08,CAVERSHAM,ulp_91,81.5,82.1,82.7,81.5,2
2002-02-09,CAVERSHAM,ulp_91,81.5,82.1,82.7,81.5,2
2002-02-10,CAVERSHAM,ulp_91,81.5,82.1,82.7,81.5,2
2002-02-11,CAVERSHAM,ulp_91,81.5,82.1,82.7,81.5,2
2002-02-12,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-13,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-14,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-15,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-16,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-17,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-18,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-19,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-20,CAVERSHAM,ulp_91,83.5,84.1,84.7,83.5,2
2002-02-21,CAVERSHAM,ulp_91,86.5,87.5,88.5,86.5,2
2002-02-22,CAVERSHAM,ulp_91,86.5,87.5,88.5,86.5,2
2002-02-23,CAVERSHAM,ulp_91,86.5,87.5,88.5,86.5,2
2002-02-24,CAVERSHAM,ulp_91,86.5,87.5,88.5,86.5,2
2002-02-25,CAVERSHAM,ulp_91,86.5,87.5,88.5,86.5,2
2002-02-26,CAVERSHAM,ulp_91,86.5,87.5,88.5,86.5,2
