date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-01-30,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-01-31,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-01,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-02,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-03,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-04,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-05,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-06,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-07,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-08,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-09,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-10,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-11,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-12,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-13,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-14,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-15,CHADWICK,ulp_91,129.8,129.8,129.8,129.8,1
2016-02-16,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-17,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-18,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-19,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-20,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-21,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-22,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-23,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-24,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-25,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-26,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-27,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-28,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2016-02-29,CHADWICK,ulp_91,124.9,124.9,124.9,124.9,1
2017-01-01,CHADWICK,ulp_91,127.9,130.9,133.9,127.9,2
2017-01-02,CHADWICK,ulp_91,127.9,130.9,133.9,127.9,2
2017-01-03,CHADWICK,ulp_91,127.9,130.9,133.9,127.9,2
2017-01-04,CHADWICK,ulp_91,127.9,130.9,133.9,127.9,2
